Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,23929,23751,229326,156156,9.58,309
2,United States,Northern America,8725,8355,111930,36135,12.83,469
3,Russian Federation,Eastern Europe,8164,7975,17428,11015,2.13,117
4,Indonesia,Asiatic Region,7467,7441,10856,5756,1.45,84
5,India,Asiatic Region,3933,3761,37333,14586,9.49,198
6,United Kingdom,Western Europe,3808,3591,58963,12460,15.48,383
7,Germany,Western Europe,3070,2875,40613,8258,13.23,294
8,Spain,Western Europe,3066,2941,37370,8858,12.19,243
9,Italy,Western Europe,2760,2636,37930,10121,13.74,241
10,Brazil,Latin America,2527,2391,16536,5406,6.54,172
11,Australia,Pacific Region,2469,2336,42426,8098,17.18,282
12,Canada,Northern America,2192,2093,29694,5582,13.55,282
13,South Korea,Asiatic Region,2071,2031,21184,4203,10.23,156
14,France,Western Europe,1838,1683,21472,3730,11.68,263
15,Malaysia,Asiatic Region,1801,1765,15333,3803,8.51,143
16,Japan,Asiatic Region,1565,1517,16696,2417,10.67,197
17,Poland,Eastern Europe,1551,1510,13043,3685,8.41,129
18,Iran,Middle East,1495,1479,19822,5953,13.26,127
19,Netherlands,Western Europe,1368,1310,23677,3408,17.31,281
20,Sweden,Western Europe,1233,1188,18528,2613,15.03,249
21,Portugal,Western Europe,981,942,10516,1845,10.72,146
22,Turkey,Middle East,943,925,10706,2272,11.35,128
23,Taiwan,Asiatic Region,876,863,9215,1319,10.52,126
24,Saudi Arabia,Middle East,866,839,14607,3318,16.87,120
25,Pakistan,Asiatic Region,852,833,13346,3565,15.66,103
26,Switzerland,Western Europe,848,798,12845,1811,15.15,221
27,Egypt,Africa/Middle East,775,686,8709,2567,11.24,98
28,Thailand,Asiatic Region,743,732,4948,921,6.66,101
29,Norway,Western Europe,742,721,11084,1562,14.94,191
30,Ukraine,Eastern Europe,723,704,3000,1994,4.15,42
31,Denmark,Western Europe,706,683,12186,1441,17.26,198
32,South Africa,Africa,667,645,8425,1446,12.63,146
33,Viet Nam,Asiatic Region,662,650,9843,1739,14.87,85
34,Czech Republic,Eastern Europe,656,611,5993,1037,9.14,112
35,Belgium,Western Europe,640,610,9003,1062,14.07,179
36,Austria,Western Europe,623,585,8528,1102,13.69,174
37,Romania,Eastern Europe,623,593,5811,1049,9.33,80
38,Finland,Western Europe,622,591,10961,1255,17.62,178
39,Nigeria,Africa,600,592,5029,1201,8.38,72
40,Greece,Western Europe,595,576,7251,1321,12.19,151
41,Mexico,Latin America,580,564,5444,953,9.39,118
42,Hong Kong,Asiatic Region,546,537,11157,1265,20.43,159
43,Iraq,Middle East,482,460,2869,907,5.95,50
44,New Zealand,Pacific Region,429,411,5289,681,12.33,150
45,Chile,Latin America,415,407,4353,680,10.49,92
46,Singapore,Asiatic Region,364,353,7570,752,20.8,131
47,Colombia,Latin America,336,311,3030,594,9.02,86
48,Kazakhstan,Asiatic Region,326,324,1018,336,3.12,34
49,Uzbekistan,Asiatic Region,308,308,1976,1725,6.42,34
50,Slovakia,Eastern Europe,302,264,2399,515,7.94,60
51,Ireland,Western Europe,287,255,3796,395,13.23,118
52,Bangladesh,Asiatic Region,287,284,4538,927,15.81,78
53,Morocco,Africa,285,279,1984,604,6.96,54
54,Philippines,Asiatic Region,250,244,1664,264,6.66,71
55,Argentina,Latin America,250,237,2571,382,10.28,104
56,Israel,Middle East,241,232,2681,370,11.12,107
57,Ethiopia,Africa,225,225,2262,564,10.05,64
58,Hungary,Eastern Europe,214,210,3082,419,14.4,94
59,Algeria,Africa,212,207,1352,366,6.38,48
60,United Arab Emirates,Middle East,206,201,2673,390,12.98,63
61,Serbia,Eastern Europe,204,199,1910,300,9.36,60
62,Ecuador,Latin America,190,187,1872,391,9.85,61
63,Tunisia,Africa,190,186,1753,272,9.23,66
64,Lithuania,Eastern Europe,188,185,2432,322,12.94,64
65,Kenya,Africa,188,182,2101,243,11.18,86
66,Croatia,Eastern Europe,161,157,2099,332,13.04,57
67,Ghana,Africa,160,157,1789,291,11.18,60
68,Slovenia,Eastern Europe,159,151,2298,203,14.45,78
69,Estonia,Eastern Europe,157,151,2038,198,12.98,67
70,Bulgaria,Eastern Europe,142,138,606,103,4.27,61
71,Latvia,Eastern Europe,141,134,839,167,5.95,40
72,Cyprus,Western Europe,136,135,1919,178,14.11,58
73,Peru,Latin America,131,129,1234,223,9.42,60
74,Jordan,Middle East,107,106,980,187,9.16,50
75,Nepal,Asiatic Region,105,100,1401,240,13.34,56
76,Sri Lanka,Asiatic Region,101,100,1713,183,16.96,61
77,Belarus,Eastern Europe,98,97,151,36,1.54,23
78,Qatar,Middle East,96,92,2202,312,22.94,47
79,Cameroon,Africa,84,81,510,157,6.07,43
80,Tanzania,Africa,74,74,546,70,7.38,51
81,Kuwait,Middle East,70,70,576,102,8.23,41
82,Oman,Middle East,66,62,791,95,11.98,38
83,Lebanon,Middle East,65,61,443,75,6.82,44
84,Myanmar,Asiatic Region,58,58,168,7,2.9,19
85,Iceland,Western Europe,58,50,790,83,13.62,53
86,Costa Rica,Latin America,55,54,513,73,9.33,49
87,Kyrgyzstan,Asiatic Region,52,51,112,24,2.15,17
88,Uganda,Africa,51,51,597,64,11.71,40
89,Georgia,Eastern Europe,49,47,467,66,9.53,25
90,Luxembourg,Western Europe,48,47,717,54,14.94,46
91,Azerbaijan,Eastern Europe,47,46,302,47,6.43,18
92,Fiji,Pacific Region,40,39,739,54,18.48,33
93,Panama,Latin America,37,36,341,58,9.22,63
94,Yemen,Middle East,34,33,517,60,15.21,23
95,Albania,Eastern Europe,33,32,296,25,8.97,21
96,Democratic Republic Congo,Africa,33,7,49,5,1.48,13
97,Cuba,Latin America,32,32,190,33,5.94,36
98,Palestine,Middle East,31,30,502,88,16.19,33
99,Uruguay,Latin America,29,29,291,29,10.03,36
100,Sudan,Africa,29,28,113,16,3.9,21
101,Zambia,Africa,29,28,222,35,7.66,26
102,Tajikistan,Asiatic Region,29,27,296,71,10.21,16
103,Brunei Darussalam,Asiatic Region,28,28,377,82,13.46,26
104,Libya,Africa,28,28,231,13,8.25,18
105,Puerto Rico,Latin America,27,24,256,22,9.48,49
106,Bosnia and Herzegovina,Eastern Europe,27,26,210,31,7.78,27
107,Botswana,Africa,27,27,208,30,7.7,37
108,Zimbabwe,Africa,26,26,276,42,10.62,37
109,Macedonia,Eastern Europe,26,24,106,12,4.08,20
110,Macao,Asiatic Region,26,26,139,15,5.35,48
111,Rwanda,Africa,25,25,173,31,6.92,20
112,Côte d’Ivoire,Africa,25,24,254,17,10.16,26
113,Mongolia,Asiatic Region,25,23,90,14,3.6,27
114,Armenia,Eastern Europe,25,22,144,16,5.76,13
115,Senegal,Africa,24,24,355,16,14.79,33
116,Malawi,Africa,24,24,170,39,7.08,25
117,Mozambique,Africa,22,22,160,10,7.27,24
118,Benin,Africa,22,21,146,24,6.64,22
119,Malta,Western Europe,22,21,312,14,14.18,30
120,Burkina Faso,Africa,21,21,150,23,7.14,31
121,Venezuela,Latin America,21,21,247,13,11.76,49
122,Bahrain,Middle East,20,20,269,45,13.45,20
123,Syrian Arab Republic,Middle East,19,16,126,6,6.63,18
124,Namibia,Africa,18,17,149,17,8.28,24
125,Moldova,Eastern Europe,18,10,25,3,1.39,12
126,New Caledonia,Pacific Region,18,18,288,21,16.0,34
127,Cambodia,Asiatic Region,17,17,132,6,7.76,20
128,Bermuda,Latin America,14,13,105,17,7.5,32
129,Montenegro,Eastern Europe,14,14,120,4,8.57,19
130,Afghanistan,Asiatic Region,14,13,94,11,6.71,15
131,Laos,Asiatic Region,13,13,51,10,3.92,27
132,Bolivia,Latin America,13,13,319,10,24.54,39
133,Mali,Africa,13,13,109,11,8.38,24
134,Niger,Africa,13,13,67,7,5.15,24
135,Barbados,Latin America,12,12,127,8,10.58,19
136,Trinidad and Tobago,Latin America,12,12,79,7,6.58,26
137,North Korea,Asiatic Region,12,12,29,2,2.42,6
138,Burundi,Africa,11,11,40,7,3.64,8
139,Mauritius,Africa,11,11,59,7,5.36,20
140,French Polynesia,Pacific Region,11,11,85,2,7.73,22
141,Monaco,Western Europe,10,10,203,6,20.3,30
142,Madagascar,Africa,10,10,122,38,12.2,26
143,Congo,Africa,10,10,75,4,7.5,18
144,Papua New Guinea,Pacific Region,9,9,110,8,12.22,22
145,Greenland,Western Europe,9,9,75,11,8.33,31
146,Guatemala,Latin America,8,8,155,0,19.38,18
147,Sierra Leone,Africa,8,8,104,3,13.0,14
148,Bhutan,Asiatic Region,8,8,35,12,4.38,16
149,Jamaica,Latin America,8,6,245,9,30.63,21
150,Angola,Africa,7,7,11,2,1.57,12
151,Seychelles,Africa,7,7,74,12,10.57,19
152,Dominican Republic,Latin America,7,7,42,2,6.0,10
153,Togo,Africa,6,5,38,10,6.33,12
154,French Guiana,Latin America,6,5,119,2,19.83,22
155,Bahamas,Latin America,6,5,122,5,20.33,16
156,Cape Verde,Africa,5,5,166,6,33.2,16
157,Faroe Islands,Western Europe,5,5,51,1,10.2,24
158,Guinea,Africa,5,5,9,2,1.8,6
159,Paraguay,Latin America,4,4,11,2,2.75,9
160,Vanuatu,Pacific Region,4,4,114,2,28.5,13
161,Saint Kitts and Nevis,Latin America,4,4,27,1,6.75,5
162,Palau,Pacific Region,4,4,37,7,9.25,9
163,Guyana,Latin America,4,4,139,2,34.75,13
164,Guam,Pacific Region,4,4,41,1,10.25,8
165,Solomon Islands,Pacific Region,3,3,13,3,4.33,18
166,Haïti,Latin America,3,3,14,1,4.67,6
167,Falkland Islands (Malvinas),Latin America,3,3,88,3,29.33,10
168,Samoa,Pacific Region,3,3,17,2,5.67,7
169,Nicaragua,Latin America,3,3,13,1,4.33,19
170,Gabon,Africa,3,3,16,2,5.33,17
171,Mauritania,Africa,3,3,33,2,11.0,8
172,Djibouti,Africa,2,2,5,0,2.5,6
173,Lesotho,Africa,2,2,1,1,0.5,9
174,Guadeloupe,Latin America,2,2,16,0,8.0,14
175,Grenada,Latin America,2,2,15,0,7.5,6
176,El Salvador,Latin America,2,2,11,0,5.5,11
177,Turks and Caicos Islands,Latin America,2,2,9,1,4.5,5
178,Chad,Africa,2,2,6,0,3.0,5
179,Federated States of Micronesia,Pacific Region,2,2,78,1,39.0,7
180,Turkmenistan,Asiatic Region,2,2,0,0,0.0,5
181,Tonga,Pacific Region,2,2,1,0,0.5,7
182,Eritrea,Africa,2,2,1,0,0.5,8
183,Cook Islands,Pacific Region,2,2,3,0,1.5,7
184,Belize,Latin America,2,2,19,0,9.5,13
185,Virgin Islands (U.S.),Latin America,2,2,14,1,7.0,5
186,Mayotte,Africa,1,1,7,0,7.0,3
187,Somalia,Africa,1,1,5,4,5.0,4
188,Gibraltar,Western Europe,1,1,26,0,26.0,3
189,Maldives,Asiatic Region,1,1,11,2,11.0,12
