Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2538,2317,132120,52557,52.06,437
2,China,Asiatic Region,899,890,53487,25506,59.5,294
3,Japan,Asiatic Region,684,681,20247,3547,29.6,179
4,India,Asiatic Region,653,643,33105,9976,50.7,218
5,Germany,Western Europe,570,527,23366,4148,40.99,237
6,United Kingdom,Western Europe,547,528,29968,3987,54.79,272
7,Canada,Northern America,444,430,20448,3531,46.05,218
8,Italy,Western Europe,393,376,19757,4020,50.27,199
9,France,Western Europe,391,379,19451,3010,49.75,205
10,Spain,Western Europe,346,342,21407,3951,61.87,196
11,Turkey,Middle East,323,320,19879,3035,61.54,177
12,South Korea,Asiatic Region,253,251,11599,1731,45.85,175
13,Taiwan,Asiatic Region,243,239,12300,1520,50.62,151
14,Brazil,Latin America,228,226,12000,2941,52.63,149
15,Netherlands,Western Europe,205,198,10069,1234,49.12,184
16,Australia,Pacific Region,185,174,11354,2090,61.37,193
17,Sweden,Western Europe,177,171,10199,1118,57.62,171
18,Switzerland,Western Europe,156,141,10625,1037,68.11,155
19,Iran,Middle East,140,139,7159,2401,51.14,143
20,Belgium,Western Europe,136,131,6391,644,46.99,160
21,Denmark,Western Europe,131,128,7688,1111,58.69,158
22,Mexico,Latin America,131,124,6169,852,47.09,116
23,Portugal,Western Europe,128,123,6070,1190,47.42,130
24,Czech Republic,Eastern Europe,125,123,4121,811,32.97,112
25,Greece,Western Europe,123,117,6166,560,50.13,133
26,Norway,Western Europe,122,120,6723,821,55.11,138
27,Poland,Eastern Europe,111,111,4222,674,38.04,125
28,Finland,Western Europe,100,99,4512,555,45.12,122
29,Hong Kong,Asiatic Region,97,97,8047,593,82.96,153
30,Austria,Western Europe,84,80,3811,301,45.37,114
31,Russian Federation,Eastern Europe,70,70,1784,460,25.49,80
32,Argentina,Latin America,64,64,2395,666,37.42,90
33,Egypt,Africa/Middle East,57,56,3150,442,55.26,110
34,Nigeria,Africa,48,47,2311,483,48.15,75
35,Bangladesh,Asiatic Region,46,42,2231,387,48.5,91
36,New Zealand,Pacific Region,45,41,2258,276,50.18,96
37,South Africa,Africa,43,43,2152,362,50.05,98
38,Pakistan,Asiatic Region,41,40,2358,423,57.51,130
39,Thailand,Asiatic Region,41,41,2533,173,61.78,84
40,Slovakia,Eastern Europe,40,40,1552,193,38.8,75
41,Malaysia,Asiatic Region,34,33,3485,504,102.5,122
42,Hungary,Eastern Europe,34,34,1469,128,43.21,79
43,Slovenia,Eastern Europe,33,33,1713,158,51.91,76
44,Israel,Middle East,30,30,1421,104,47.37,78
45,Bulgaria,Eastern Europe,29,29,716,47,24.69,53
46,Tunisia,Africa,27,27,1684,374,62.37,77
47,Ireland,Western Europe,24,24,685,64,28.54,82
48,Morocco,Africa,22,22,936,118,42.55,62
49,Saudi Arabia,Middle East,20,20,278,45,13.9,102
50,Ukraine,Eastern Europe,19,19,432,58,22.74,59
51,Croatia,Eastern Europe,19,19,795,192,41.84,71
52,Romania,Eastern Europe,18,18,752,64,41.78,71
53,Chile,Latin America,17,16,714,121,42.0,73
54,Jordan,Middle East,16,16,695,25,43.44,48
55,Singapore,Asiatic Region,14,14,951,59,67.93,92
56,Viet Nam,Asiatic Region,13,13,586,161,45.08,76
57,Algeria,Africa,13,13,1649,93,126.85,59
58,Kenya,Africa,13,10,676,103,52.0,51
59,Indonesia,Asiatic Region,13,12,840,71,64.62,58
60,Serbia,Eastern Europe,12,12,330,96,27.5,69
61,Cuba,Latin America,12,12,384,44,32.0,34
62,Colombia,Latin America,8,8,546,80,68.25,56
63,Lithuania,Eastern Europe,8,8,157,40,19.63,49
64,Cyprus,Western Europe,7,7,221,17,31.57,49
65,Ghana,Africa,7,7,257,82,36.71,51
66,Sri Lanka,Asiatic Region,7,7,185,16,26.43,45
67,Venezuela,Latin America,7,7,150,27,21.43,31
68,Estonia,Eastern Europe,6,6,242,12,40.33,54
69,Philippines,Asiatic Region,6,6,146,12,24.33,56
70,Kuwait,Middle East,6,6,161,24,26.83,38
71,Uzbekistan,Asiatic Region,6,6,54,11,9.0,18
72,United Arab Emirates,Middle East,5,5,55,10,11.0,47
73,Nepal,Asiatic Region,5,4,120,28,24.0,40
74,Syrian Arab Republic,Middle East,5,5,54,7,10.8,23
75,Senegal,Africa,4,4,15,4,3.75,21
76,Belarus,Eastern Europe,4,4,86,13,21.5,34
77,Cameroon,Africa,4,4,103,28,25.75,33
78,Luxembourg,Western Europe,4,4,73,8,18.25,39
79,Libya,Africa,4,4,38,4,9.5,20
80,Ecuador,Latin America,4,4,131,27,32.75,40
81,Puerto Rico,Latin America,4,3,152,2,38.0,35
82,Peru,Latin America,4,3,55,2,13.75,34
83,Fiji,Pacific Region,4,4,410,23,102.5,22
84,Iceland,Western Europe,3,3,312,4,104.0,29
