Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1984,1928,78950,32771,39.79,374
2,United Kingdom,Western Europe,749,735,32440,7543,43.31,301
3,Canada,Northern America,385,376,14363,3332,37.31,223
4,Australia,Pacific Region,383,343,12597,4446,32.89,226
5,Germany,Western Europe,355,343,8174,1795,23.03,228
6,Netherlands,Western Europe,213,209,9424,1173,44.24,224
7,France,Western Europe,169,162,6634,842,39.25,186
8,Japan,Asiatic Region,126,124,3018,486,23.95,152
9,India,Asiatic Region,118,117,6173,1371,52.31,182
10,Sweden,Western Europe,113,113,6777,803,59.97,199
11,Italy,Western Europe,110,110,3059,691,27.81,191
12,Spain,Western Europe,98,98,4571,1242,46.64,183
13,South Africa,Africa,92,88,5361,679,58.27,127
14,China,Asiatic Region,92,90,5911,2325,64.25,249
15,Finland,Western Europe,91,91,3675,556,40.38,135
16,Norway,Western Europe,89,89,6395,561,71.85,156
17,Denmark,Western Europe,89,88,3878,377,43.57,169
18,Switzerland,Western Europe,75,73,3013,420,40.17,164
19,New Zealand,Pacific Region,62,59,2834,546,45.71,123
20,Brazil,Latin America,61,59,2970,1189,48.69,140
21,Hong Kong,Asiatic Region,60,59,2786,468,46.43,142
22,Belgium,Western Europe,60,60,4381,306,73.02,152
23,South Korea,Asiatic Region,57,57,1340,225,23.51,139
24,Turkey,Middle East,56,56,3037,1626,54.23,150
25,Greece,Western Europe,52,51,2350,380,45.19,129
26,Taiwan,Asiatic Region,49,48,1807,239,36.88,129
27,Austria,Western Europe,47,47,4597,333,97.81,150
28,Mexico,Latin America,43,42,3942,477,91.67,97
29,Israel,Middle East,37,37,1296,137,35.03,87
30,Lithuania,Eastern Europe,33,33,66,37,2.0,60
31,Poland,Eastern Europe,32,31,650,148,20.31,98
32,Croatia,Eastern Europe,26,26,115,27,4.42,65
33,Argentina,Latin America,26,26,638,121,24.54,78
34,Portugal,Western Europe,24,24,1618,265,67.42,124
35,Jordan,Middle East,22,21,562,108,25.55,55
36,Czech Republic,Eastern Europe,22,21,1213,396,55.14,97
37,Ireland,Western Europe,21,21,566,73,26.95,106
38,Singapore,Asiatic Region,20,20,883,54,44.15,130
39,Thailand,Asiatic Region,20,20,617,73,30.85,94
40,Malaysia,Asiatic Region,18,18,582,155,32.33,146
41,Hungary,Eastern Europe,16,16,952,79,59.5,82
42,Egypt,Africa/Middle East,15,14,620,69,41.33,90
43,Indonesia,Asiatic Region,13,12,993,126,76.38,89
44,Nigeria,Africa,12,12,2752,68,229.33,74
45,Saudi Arabia,Middle East,11,11,1055,28,95.91,100
46,Slovenia,Eastern Europe,11,11,165,35,15.0,76
47,Lebanon,Middle East,11,11,274,33,24.91,53
