Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1895,1776,72438,35587,38.23,335
2,United Kingdom,Western Europe,570,539,26972,7109,47.32,244
3,Australia,Pacific Region,465,438,15281,6108,32.86,211
4,China,Asiatic Region,432,427,11363,7130,26.3,162
5,Canada,Northern America,373,366,14671,3488,39.33,187
6,Spain,Western Europe,250,246,8796,2920,35.18,149
7,Germany,Western Europe,246,242,11166,2581,45.39,184
8,India,Asiatic Region,215,212,2566,926,11.93,106
9,Italy,Western Europe,197,189,6076,1751,30.84,137
10,France,Western Europe,188,184,6929,1449,36.86,155
11,Netherlands,Western Europe,170,160,9078,1251,53.4,169
12,Japan,Asiatic Region,170,166,4044,1209,23.79,100
13,Brazil,Latin America,149,144,10176,6659,68.3,159
14,Sweden,Western Europe,122,119,5590,952,45.82,143
15,Switzerland,Western Europe,99,91,5050,711,51.01,136
16,New Zealand,Pacific Region,97,93,3766,741,38.82,118
17,South Africa,Africa,96,91,5341,1347,55.64,127
18,Finland,Western Europe,89,88,2960,687,33.26,121
19,Mexico,Latin America,89,87,3945,1207,44.33,102
20,Czech Republic,Eastern Europe,82,82,1877,514,22.89,91
21,Belgium,Western Europe,74,73,2856,410,38.59,118
22,Argentina,Latin America,72,71,2926,1064,40.64,85
23,Norway,Western Europe,67,66,2477,424,36.97,108
24,Turkey,Middle East,66,66,1346,421,20.39,64
25,Portugal,Western Europe,64,62,2852,744,44.56,94
26,Denmark,Western Europe,60,60,3436,325,57.27,120
27,Greece,Western Europe,56,55,1306,231,23.32,71
28,Poland,Eastern Europe,56,56,2871,525,51.27,79
29,Austria,Western Europe,52,51,1785,245,34.33,108
30,Hungary,Eastern Europe,46,46,926,133,20.13,75
31,Romania,Eastern Europe,45,45,309,163,6.87,57
32,Kenya,Africa,42,39,1898,270,45.19,81
33,Hong Kong,Asiatic Region,39,39,1326,197,34.0,93
34,Iran,Middle East,38,37,506,125,13.32,52
35,Malaysia,Asiatic Region,33,31,928,248,28.12,75
36,Chile,Latin America,32,32,1106,385,34.56,70
37,Ireland,Western Europe,32,32,1135,194,35.47,66
38,South Korea,Asiatic Region,30,29,1462,165,48.73,61
39,Lithuania,Eastern Europe,30,29,786,259,26.2,42
40,Taiwan,Asiatic Region,30,30,844,117,28.13,66
41,Indonesia,Asiatic Region,30,29,1919,371,63.97,87
42,Tanzania,Africa,25,25,1385,183,55.4,69
43,Israel,Middle East,23,23,1148,172,49.91,66
44,Russian Federation,Eastern Europe,22,21,677,88,30.77,58
45,Thailand,Asiatic Region,21,21,936,92,44.57,55
46,Estonia,Eastern Europe,19,18,1264,116,66.53,71
47,Nigeria,Africa,18,18,253,56,14.06,38
48,Nepal,Asiatic Region,17,17,1208,200,71.06,49
49,Panama,Latin America,15,14,1871,88,124.73,60
50,Colombia,Latin America,15,15,824,108,54.93,61
51,Bangladesh,Asiatic Region,15,15,525,106,35.0,37
52,Slovakia,Eastern Europe,15,15,177,67,11.8,54
