Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,6092,6075,209028,129395,34.31,399
2,United States,Northern America,5191,5082,164269,48631,31.64,445
3,India,Asiatic Region,1914,1899,45681,15019,23.87,253
4,Germany,Western Europe,1298,1249,39994,7476,30.81,279
5,United Kingdom,Western Europe,1235,1194,55443,8772,44.89,317
6,Spain,Western Europe,1109,1096,45369,9238,40.91,250
7,Canada,Northern America,1101,1082,37573,6090,34.13,250
8,France,Western Europe,1049,1027,42692,6533,40.7,233
9,Italy,Western Europe,970,956,36236,8748,37.36,231
10,Japan,Asiatic Region,929,917,25248,4702,27.18,217
11,South Korea,Asiatic Region,867,858,32049,5082,36.97,227
12,Australia,Pacific Region,782,767,40174,6660,51.37,256
13,Brazil,Latin America,715,710,16029,4762,22.42,160
14,Iran,Middle East,693,690,19743,5977,28.49,169
15,Turkey,Middle East,651,650,12612,2615,19.37,195
16,Poland,Eastern Europe,527,524,10949,3381,20.78,142
17,Taiwan,Asiatic Region,527,516,12484,1617,23.69,185
18,Netherlands,Western Europe,443,423,23818,2373,53.77,230
19,Sweden,Western Europe,428,419,16329,2042,38.15,186
20,Portugal,Western Europe,423,415,14781,2832,34.94,170
21,Switzerland,Western Europe,421,381,19031,1922,45.2,202
22,Denmark,Western Europe,334,328,13321,1661,39.88,177
23,Malaysia,Asiatic Region,324,321,9752,2226,30.1,163
24,Greece,Western Europe,300,293,9277,1232,30.92,163
25,Belgium,Western Europe,286,284,13485,1137,47.15,174
26,Hong Kong,Asiatic Region,283,275,12757,1174,45.08,206
27,Russian Federation,Eastern Europe,279,271,3302,1150,11.84,99
28,Finland,Western Europe,276,268,7715,1426,27.95,149
29,Romania,Eastern Europe,262,260,3230,1169,12.33,90
30,Morocco,Africa,255,255,2742,939,10.75,77
31,Saudi Arabia,Middle East,247,246,10006,1266,40.51,141
32,Egypt,Africa/Middle East,241,240,5377,1294,22.31,119
33,Mexico,Latin America,231,231,4745,1022,20.54,119
34,Norway,Western Europe,226,223,7859,1097,34.77,157
35,Austria,Western Europe,210,202,6972,782,33.2,134
36,Pakistan,Asiatic Region,204,202,10587,2121,51.9,152
37,Czech Republic,Eastern Europe,191,191,5296,1056,27.73,120
38,Tunisia,Africa,174,174,3658,870,21.02,85
39,South Africa,Africa,165,165,5376,993,32.58,117
40,Algeria,Africa,148,147,2201,498,14.87,75
41,Argentina,Latin America,140,139,3216,895,22.97,98
42,Singapore,Asiatic Region,140,140,14778,974,105.56,182
43,New Zealand,Pacific Region,116,115,4103,503,35.37,121
44,Thailand,Asiatic Region,114,112,3030,419,26.58,102
45,Nigeria,Africa,110,109,2728,565,24.8,85
46,Serbia,Eastern Europe,110,109,2487,364,22.61,78
47,Ireland,Western Europe,105,104,3499,386,33.32,114
48,Hungary,Eastern Europe,104,101,1573,265,15.13,87
49,Slovenia,Eastern Europe,96,95,3418,374,35.6,88
50,Israel,Middle East,82,82,4214,483,51.39,108
51,Slovakia,Eastern Europe,80,80,1374,273,17.18,66
52,Indonesia,Asiatic Region,67,67,1947,354,29.06,78
53,Croatia,Eastern Europe,63,60,2177,367,34.56,81
54,Chile,Latin America,63,61,2447,408,38.84,92
55,Jordan,Middle East,60,59,1128,203,18.8,65
56,Viet Nam,Asiatic Region,58,58,1566,301,27.0,101
57,Lebanon,Middle East,52,52,993,131,19.1,60
58,Colombia,Latin America,50,50,1656,225,33.12,78
59,Bangladesh,Asiatic Region,49,49,1458,333,29.76,93
60,Bulgaria,Eastern Europe,47,47,509,59,10.83,57
61,Cyprus,Western Europe,46,46,1840,193,40.0,74
62,Philippines,Asiatic Region,39,39,1084,113,27.79,65
63,Lithuania,Eastern Europe,37,35,706,136,19.08,58
64,United Arab Emirates,Middle East,36,36,1563,141,43.42,75
65,Iraq,Middle East,34,34,640,118,18.82,53
66,Ethiopia,Africa,34,34,756,240,22.24,61
67,Albania,Eastern Europe,33,33,312,51,9.45,29
68,Estonia,Eastern Europe,33,33,503,104,15.24,63
69,Sri Lanka,Asiatic Region,33,33,3966,300,120.18,59
70,Ukraine,Eastern Europe,31,28,381,89,12.29,55
71,Qatar,Middle East,30,30,728,76,24.27,61
72,Ghana,Africa,27,27,969,145,35.89,61
73,Kenya,Africa,27,27,909,85,33.67,56
74,Oman,Middle East,24,24,400,64,16.67,54
75,Luxembourg,Western Europe,23,23,653,71,28.39,43
76,Cuba,Latin America,21,21,217,23,10.33,41
77,Palestine,Middle East,21,21,412,40,19.62,37
78,Kuwait,Middle East,21,21,257,39,12.24,45
79,Tanzania,Africa,20,20,1004,74,50.2,45
80,Syrian Arab Republic,Middle East,20,20,272,44,13.6,34
81,Nepal,Asiatic Region,16,16,476,81,29.75,48
82,Cameroon,Africa,15,15,296,40,19.73,37
83,Macedonia,Eastern Europe,13,12,246,67,18.92,36
84,Kazakhstan,Asiatic Region,13,13,193,21,14.85,33
85,Puerto Rico,Latin America,12,12,419,18,34.92,33
86,Ecuador,Latin America,11,11,288,31,26.18,50
87,Uganda,Africa,11,11,286,77,26.0,43
88,Latvia,Eastern Europe,11,10,197,45,17.91,34
89,Iceland,Western Europe,10,8,252,7,25.2,44
90,Belarus,Eastern Europe,9,9,114,15,12.67,34
91,Yemen,Middle East,9,9,208,19,23.11,26
92,Senegal,Africa,8,8,177,23,22.13,29
93,Côte d’Ivoire,Africa,8,8,136,24,17.0,24
94,Burkina Faso,Africa,8,8,254,12,31.75,28
95,Malawi,Africa,8,8,615,17,76.88,23
96,Costa Rica,Latin America,7,7,288,31,41.14,38
97,Malta,Western Europe,7,7,98,12,14.0,25
98,Montenegro,Eastern Europe,7,7,76,7,10.86,21
99,Libya,Africa,7,7,199,5,28.43,22
100,Cambodia,Asiatic Region,7,7,141,22,20.14,37
101,Monaco,Western Europe,7,7,157,6,22.43,48
102,Jamaica,Latin America,7,7,84,21,12.0,21
103,Uruguay,Latin America,7,7,139,16,19.86,36
104,Zimbabwe,Africa,6,6,144,30,24.0,33
105,Benin,Africa,6,6,199,2,33.17,23
106,Bolivia,Latin America,6,6,143,13,23.83,37
107,Congo,Africa,6,6,126,18,21.0,20
108,Peru,Latin America,6,6,126,11,21.0,46
109,Mongolia,Asiatic Region,5,5,791,8,158.2,28
110,Bosnia and Herzegovina,Eastern Europe,5,5,48,11,9.6,28
111,New Caledonia,Pacific Region,5,5,171,32,34.2,33
112,Haïti,Latin America,5,5,22,2,4.4,10
113,Brunei Darussalam,Asiatic Region,5,5,291,54,58.2,29
114,Cape Verde,Africa,5,5,227,8,45.4,12
115,Madagascar,Africa,5,4,177,19,35.4,14
116,Macao,Asiatic Region,5,5,119,9,23.8,35
117,Turkmenistan,Asiatic Region,4,4,7,0,1.75,3
118,Sudan,Africa,4,4,31,8,7.75,25
119,Uzbekistan,Asiatic Region,4,4,76,11,19.0,26
120,Mozambique,Africa,4,3,23,6,5.75,18
121,Niger,Africa,4,4,14,0,3.5,9
122,Zambia,Africa,4,4,105,16,26.25,24
123,Venezuela,Latin America,4,4,54,2,13.5,33
124,Botswana,Africa,4,4,160,9,40.0,24
125,Azerbaijan,Eastern Europe,3,3,19,1,6.33,15
126,Maldives,Asiatic Region,3,3,47,13,15.67,15
127,Nicaragua,Latin America,3,3,61,2,20.33,18
128,Laos,Asiatic Region,3,3,85,9,28.33,22
129,Panama,Latin America,3,3,55,28,18.33,24
130,Guadeloupe,Latin America,3,3,9,0,3.0,14
131,Greenland,Western Europe,3,3,118,3,39.33,31
