Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,6093,6064,92237,62468,15.14,261
2,United States,Northern America,5612,5373,104630,41911,18.64,448
3,India,Asiatic Region,1624,1566,28498,11945,17.55,195
4,Germany,Western Europe,1595,1480,28158,6918,17.65,258
5,United Kingdom,Western Europe,1436,1320,32223,7520,22.44,292
6,Canada,Northern America,1300,1228,22670,5715,17.44,242
7,Australia,Pacific Region,1177,1116,28947,6041,24.59,258
8,Iran,Middle East,1167,1139,20452,7064,17.53,142
9,France,Western Europe,997,950,20268,4201,20.33,235
10,Italy,Western Europe,938,901,19891,5800,21.21,207
11,Spain,Western Europe,798,767,16368,3961,20.51,205
12,Japan,Asiatic Region,778,760,10433,2158,13.41,187
13,South Korea,Asiatic Region,705,700,9750,1971,13.83,156
14,Brazil,Latin America,704,695,8543,3184,12.13,137
15,Russian Federation,Eastern Europe,652,625,4423,2501,6.78,99
16,Netherlands,Western Europe,611,591,16993,2695,27.81,235
17,Switzerland,Western Europe,450,419,12007,1941,26.68,204
18,Turkey,Middle East,449,436,5993,1271,13.35,144
19,Poland,Eastern Europe,403,402,4843,1589,12.02,112
20,Sweden,Western Europe,359,346,8286,1234,23.08,169
21,Mexico,Latin America,346,334,2891,727,8.36,92
22,Malaysia,Asiatic Region,336,332,6737,1593,20.05,128
23,Egypt,Africa/Middle East,332,285,5307,1675,15.98,102
24,South Africa,Africa,331,310,4462,1100,13.48,106
25,Norway,Western Europe,327,300,7542,1383,23.06,150
26,Indonesia,Asiatic Region,304,293,2999,1294,9.87,66
27,Saudi Arabia,Middle East,301,293,8000,1280,26.58,110
28,Belgium,Western Europe,275,259,8228,939,29.92,154
29,Taiwan,Asiatic Region,270,268,4533,579,16.79,136
30,Denmark,Western Europe,270,264,7130,1161,26.41,152
31,Portugal,Western Europe,246,239,5015,997,20.39,126
32,Greece,Western Europe,245,231,3987,833,16.27,133
33,Austria,Western Europe,224,212,5268,683,23.52,150
34,Pakistan,Asiatic Region,216,216,3903,946,18.07,82
35,Algeria,Africa,204,199,2307,612,11.31,75
36,Singapore,Asiatic Region,197,193,5979,544,30.35,124
37,New Zealand,Pacific Region,194,170,3908,708,20.14,141
38,Czech Republic,Eastern Europe,171,170,2600,520,15.2,92
39,Finland,Western Europe,167,166,4399,587,26.34,118
40,Israel,Middle East,149,145,2793,524,18.74,122
41,Hong Kong,Asiatic Region,144,140,4674,550,32.46,145
42,Thailand,Asiatic Region,140,127,1583,226,11.31,89
43,Chile,Latin America,140,140,2390,741,17.07,82
44,Tunisia,Africa,132,128,1945,341,14.73,74
45,Nigeria,Africa,127,126,2673,614,21.05,66
46,Ukraine,Eastern Europe,122,120,418,233,3.43,43
47,Argentina,Latin America,116,110,1487,406,12.82,85
48,Croatia,Eastern Europe,110,104,972,294,8.84,59
49,Viet Nam,Asiatic Region,109,104,1860,615,17.06,68
50,Morocco,Africa,109,94,1946,490,17.85,71
51,Bangladesh,Asiatic Region,101,101,2495,576,24.7,67
52,Ireland,Western Europe,99,92,2343,303,23.67,89
53,United Arab Emirates,Middle East,99,91,1819,239,18.37,79
54,Colombia,Latin America,91,87,1271,204,13.97,65
55,Ethiopia,Africa,86,86,1748,582,20.33,62
56,Iraq,Middle East,74,74,1478,429,19.97,53
57,Serbia,Eastern Europe,67,60,1046,170,15.61,51
58,Jordan,Middle East,62,58,947,117,15.27,72
59,Qatar,Middle East,60,58,1823,161,30.38,61
60,Slovenia,Eastern Europe,58,56,725,92,12.5,62
61,Ghana,Africa,56,56,561,152,10.02,49
62,Sri Lanka,Asiatic Region,54,51,730,116,13.52,77
63,Philippines,Asiatic Region,51,50,1133,126,22.22,52
64,Slovakia,Eastern Europe,51,48,778,154,15.25,63
65,Oman,Middle East,49,40,467,74,9.53,57
66,Hungary,Eastern Europe,49,46,988,169,20.16,72
67,Romania,Eastern Europe,47,46,713,156,15.17,63
68,Kenya,Africa,47,47,850,116,18.09,57
69,Ecuador,Latin America,41,40,648,145,15.8,45
70,Estonia,Eastern Europe,35,35,461,45,13.17,52
71,Nepal,Asiatic Region,33,32,985,168,29.85,60
72,Peru,Latin America,32,31,673,155,21.03,43
73,Kazakhstan,Asiatic Region,32,30,361,120,11.28,27
74,Cameroon,Africa,31,31,618,227,19.94,42
75,Zimbabwe,Africa,31,31,652,123,21.03,36
76,Kuwait,Middle East,29,28,261,44,9.0,45
77,Tanzania,Africa,29,29,520,132,17.93,40
78,Montenegro,Eastern Europe,29,6,123,75,4.24,13
79,Cyprus,Western Europe,27,26,664,49,24.59,51
80,Costa Rica,Latin America,26,25,1019,80,39.19,40
81,Georgia,Eastern Europe,26,25,607,99,23.35,36
82,Latvia,Eastern Europe,25,23,274,27,10.96,27
83,Uganda,Africa,24,24,420,51,17.5,39
84,Iceland,Western Europe,23,22,670,113,29.13,41
85,Lebanon,Middle East,21,20,326,35,15.52,52
86,Senegal,Africa,21,21,474,44,22.57,34
87,Benin,Africa,21,21,345,56,16.43,28
88,Lithuania,Eastern Europe,20,20,193,31,9.65,34
89,Luxembourg,Western Europe,19,17,455,58,23.95,61
90,Bulgaria,Eastern Europe,18,16,162,16,9.0,45
91,Laos,Asiatic Region,16,16,463,31,28.94,32
92,Uruguay,Latin America,16,14,367,24,22.94,31
93,Palestine,Middle East,13,12,67,13,5.15,37
94,Sudan,Africa,13,12,174,22,13.38,27
95,Mongolia,Asiatic Region,12,10,169,45,14.08,30
96,Kyrgyzstan,Asiatic Region,12,9,240,55,20.0,20
97,Malawi,Africa,12,12,230,24,19.17,21
98,Brunei Darussalam,Asiatic Region,12,12,195,58,16.25,27
99,Bolivia,Latin America,11,10,212,50,19.27,39
100,Namibia,Africa,11,11,147,18,13.36,26
101,Armenia,Eastern Europe,11,11,121,34,11.0,15
102,Venezuela,Latin America,11,11,102,9,9.27,39
103,Puerto Rico,Latin America,9,9,64,7,7.11,37
104,Faroe Islands,Western Europe,9,9,168,30,18.67,13
105,Belarus,Eastern Europe,9,9,158,16,17.56,23
106,Botswana,Africa,8,8,127,11,15.88,37
107,Uzbekistan,Asiatic Region,8,5,78,25,9.75,34
108,Burkina Faso,Africa,8,7,86,12,10.75,37
109,Panama,Latin America,7,7,116,15,16.57,34
110,Monaco,Western Europe,7,6,173,25,24.71,26
111,Mozambique,Africa,7,7,81,14,11.57,22
112,Libya,Africa,6,5,17,2,2.83,23
113,Rwanda,Africa,6,6,120,13,20.0,17
114,Democratic Republic Congo,Africa,6,6,123,12,20.5,12
115,New Caledonia,Pacific Region,6,6,97,20,16.17,19
116,Niger,Africa,6,6,109,10,18.17,41
117,Syrian Arab Republic,Middle East,6,6,93,18,15.5,42
118,Azerbaijan,Eastern Europe,6,5,63,13,10.5,15
119,Côte d’Ivoire,Africa,6,6,76,11,12.67,24
120,Albania,Eastern Europe,5,5,15,4,3.0,15
121,Bosnia and Herzegovina,Eastern Europe,5,5,121,16,24.2,14
122,Trinidad and Tobago,Latin America,5,5,67,9,13.4,24
123,Macedonia,Eastern Europe,5,5,39,2,7.8,19
124,Burundi,Africa,5,5,167,5,33.4,12
125,Cambodia,Asiatic Region,5,5,42,12,8.4,26
126,Seychelles,Africa,4,4,69,6,17.25,9
127,Bermuda,Latin America,4,4,47,7,11.75,28
128,Congo,Africa,4,4,84,1,21.0,21
129,Bahrain,Middle East,4,4,29,3,7.25,25
130,Sierra Leone,Africa,4,4,103,2,25.75,8
131,Cuba,Latin America,4,4,10,1,2.5,31
132,Barbados,Latin America,4,4,22,2,5.5,17
133,Bahamas,Latin America,3,3,69,17,23.0,10
134,Afghanistan,Asiatic Region,3,3,77,2,25.67,14
135,Fiji,Pacific Region,3,3,106,7,35.33,25
136,Greenland,Western Europe,3,3,58,11,19.33,24
137,Madagascar,Africa,3,3,54,7,18.0,17
138,Macao,Asiatic Region,3,3,38,12,12.67,16
139,Malta,Western Europe,3,2,39,12,13.0,26
140,Swaziland,Africa,3,3,40,1,13.33,9
141,Vanuatu,Pacific Region,3,3,32,3,10.67,7
142,Yemen,Middle East,3,3,13,3,4.33,24
143,Zambia,Africa,3,3,142,6,47.33,22
144,Haïti,Latin America,2,2,9,2,4.5,8
145,Togo,Africa,2,2,11,4,5.5,11
146,Guatemala,Latin America,2,2,12,0,6.0,11
147,Tajikistan,Asiatic Region,2,1,57,7,28.5,12
148,Eritrea,Africa,2,2,7,1,3.5,8
149,Timor-Leste,Asiatic Region,2,2,18,2,9.0,6
150,Cook Islands,Pacific Region,2,2,42,0,21.0,4
151,Central African Republic,Africa,2,2,19,2,9.5,9
152,Belize,Latin America,2,2,37,4,18.5,9
153,Mauritius,Africa,2,2,6,0,3.0,11
154,Jamaica,Latin America,2,2,18,0,9.0,19
155,Angola,Africa,2,2,16,4,8.0,7
156,Mali,Africa,2,2,27,1,13.5,23
157,French Polynesia,Pacific Region,2,2,159,7,79.5,14
158,Guinea,Africa,2,2,64,0,32.0,6
159,Nicaragua,Latin America,2,2,7,0,3.5,12
160,Gambia,Africa,1,1,61,0,61.0,4
161,French Guiana,Latin America,1,1,16,0,16.0,12
162,Gabon,Africa,1,1,27,6,27.0,6
163,Falkland Islands (Malvinas),Latin America,1,1,27,1,27.0,7
164,Dominica,Latin America,1,1,30,1,30.0,2
165,Bhutan,Asiatic Region,1,1,0,0,0.0,12
166,Reunion,Africa,1,1,11,0,11.0,7
167,Papua New Guinea,Pacific Region,1,1,0,0,0.0,11
168,Paraguay,Latin America,1,1,0,0,0.0,8
169,Andorra,Western Europe,1,0,23,3,23.0,6
170,Maldives,Asiatic Region,1,1,1,0,1.0,8
171,Mauritania,Africa,1,1,61,0,61.0,9
172,Martinique,Latin America,1,1,16,0,16.0,5
173,Myanmar,Asiatic Region,1,1,4,1,4.0,13
174,Moldova,Eastern Europe,1,0,0,0,0.0,14
175,Lesotho,Africa,1,1,16,0,16.0,8
176,Cayman Islands,Latin America,1,1,6,0,6.0,7
177,Svalbard and Jan Mayen,Western Europe,1,1,21,0,21.0,3
178,Honduras,Latin America,1,1,11,0,11.0,12
179,Guyana,Latin America,1,1,18,0,18.0,8
180,Guinea-Bissau,Africa,1,1,61,3,61.0,4
181,Mayotte,Africa,1,1,16,0,16.0,3
182,Turkmenistan,Asiatic Region,1,1,19,0,19.0,6
183,Guadeloupe,Latin America,1,1,11,1,11.0,10
184,Tonga,Pacific Region,1,1,16,2,16.0,4
