Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,19100,18547,911175,0,47.71,853
2,United Kingdom,Western Europe,5177,5056,283179,0,54.7,603
3,Germany,Western Europe,3960,3887,171975,0,43.43,512
4,Canada,Northern America,3454,3382,188448,0,54.56,472
5,Japan,Asiatic Region,3120,3106,97190,0,31.15,341
6,China,Asiatic Region,2665,2657,91579,0,34.36,516
7,France,Western Europe,2542,2520,118513,0,46.62,445
8,India,Asiatic Region,2424,2375,64826,0,26.74,375
9,Australia,Pacific Region,2377,2333,114785,0,48.29,486
10,Italy,Western Europe,1843,1829,81970,0,44.48,382
11,Spain,Western Europe,1715,1701,89069,0,51.94,405
12,Netherlands,Western Europe,1464,1442,96427,0,65.87,466
13,Sweden,Western Europe,1301,1281,84525,0,64.97,397
14,Russian Federation,Eastern Europe,1101,1096,16588,0,15.07,203
15,South Korea,Asiatic Region,991,989,34908,0,35.23,305
16,Poland,Eastern Europe,985,980,25680,0,26.07,230
17,Switzerland,Western Europe,926,905,62935,0,67.96,402
18,Brazil,Latin America,856,853,32606,0,38.09,288
19,Belgium,Western Europe,821,807,51084,0,62.22,319
20,Finland,Western Europe,807,800,38949,0,48.26,290
21,Turkey,Middle East,755,752,29066,0,38.5,267
22,Denmark,Western Europe,736,729,42761,0,58.1,341
23,New Zealand,Pacific Region,724,717,30676,0,42.37,270
24,Taiwan,Asiatic Region,718,716,28634,0,39.88,261
25,Norway,Western Europe,685,675,39488,0,57.65,306
26,South Africa,Africa,577,564,23771,0,41.2,245
27,Austria,Western Europe,552,545,28527,0,51.68,293
28,Mexico,Latin America,528,524,18370,0,34.79,222
29,Greece,Western Europe,495,493,27302,0,55.16,253
30,Hong Kong,Asiatic Region,462,449,30769,0,66.6,288
31,Israel,Middle East,398,390,18556,0,46.62,209
32,Czech Republic,Eastern Europe,379,377,12884,0,33.99,217
33,Argentina,Latin America,364,363,13607,0,37.38,198
34,Portugal,Western Europe,339,339,15007,0,44.27,263
35,Egypt,Africa/Middle East,245,245,7369,0,30.08,178
36,Ukraine,Eastern Europe,237,236,2173,0,9.17,101
37,Chile,Latin America,235,233,10962,0,46.65,173
38,Ireland,Western Europe,234,230,9400,0,40.17,207
39,Singapore,Asiatic Region,229,226,11637,0,50.82,258
40,Thailand,Asiatic Region,215,213,12865,0,59.84,193
41,Slovakia,Eastern Europe,208,208,4215,0,20.26,127
42,Iran,Middle East,196,196,6477,0,33.05,231
43,Hungary,Eastern Europe,188,187,7645,0,40.66,169
44,Nigeria,Africa,169,162,3013,0,17.83,132
45,Romania,Eastern Europe,150,148,3361,0,22.41,147
46,Malaysia,Asiatic Region,148,145,6145,0,41.52,261
