Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,240,177,3552,1636,14.8,83
2,India,Asiatic Region,104,104,1303,970,12.53,41
3,Germany,Western Europe,52,44,262,126,5.04,36
4,United Kingdom,Western Europe,30,21,461,138,15.37,55
5,Australia,Pacific Region,18,16,338,73,18.78,45
6,Canada,Northern America,17,17,288,36,16.94,31
7,Italy,Western Europe,9,9,195,73,21.67,31
8,New Zealand,Pacific Region,9,9,154,8,17.11,17
9,Austria,Western Europe,8,7,19,11,2.38,13
10,South Korea,Asiatic Region,7,4,76,2,10.86,28
11,Israel,Middle East,6,6,111,3,18.5,23
12,Iran,Middle East,4,4,73,25,18.25,36
13,Belgium,Western Europe,4,4,58,5,14.5,15
14,Spain,Western Europe,4,4,126,31,31.5,25
15,Nigeria,Africa,4,4,18,7,4.5,8
16,Portugal,Western Europe,4,4,128,3,32.0,13
17,Sweden,Western Europe,4,4,55,6,13.75,22
18,Taiwan,Asiatic Region,3,3,50,19,16.67,23
19,China,Asiatic Region,3,3,61,33,20.33,29
20,Switzerland,Western Europe,3,3,71,18,23.67,17
21,Brazil,Latin America,3,3,101,11,33.67,27
22,France,Western Europe,2,2,25,2,12.5,14
23,Nepal,Asiatic Region,2,2,17,5,8.5,7
24,Pakistan,Asiatic Region,2,2,33,8,16.5,11
25,Romania,Eastern Europe,2,2,57,2,28.5,10
26,Hong Kong,Asiatic Region,2,2,44,8,22.0,23
27,Palestine,Middle East,1,1,36,9,36.0,2
28,South Africa,Africa,1,1,23,0,23.0,12
29,Indonesia,Asiatic Region,1,1,2,2,2.0,6
30,Serbia,Eastern Europe,1,1,39,4,39.0,6
31,Zambia,Africa,1,1,3,0,3.0,1
32,Thailand,Asiatic Region,1,1,27,7,27.0,19
33,Turkey,Middle East,1,1,39,14,39.0,29
34,Netherlands,Western Europe,1,1,38,2,38.0,14
35,Bangladesh,Asiatic Region,1,1,3,1,3.0,6
36,Bulgaria,Eastern Europe,1,1,39,11,39.0,6
37,Hungary,Eastern Europe,1,1,18,15,18.0,11
