Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,Australia,Pacific Region,82,76,1085,640,13.23,44
2,United Kingdom,Western Europe,20,17,80,28,4.0,19
3,United States,Northern America,8,8,55,22,6.88,30
4,Canada,Northern America,7,7,88,32,12.57,29
5,Greece,Western Europe,3,3,45,6,15.0,12
6,India,Asiatic Region,2,2,58,27,29.0,12
7,Sweden,Western Europe,2,1,6,1,3.0,7
8,New Zealand,Pacific Region,2,2,22,16,11.0,14
9,Malaysia,Asiatic Region,2,2,34,12,17.0,3
10,Norway,Western Europe,1,1,62,3,62.0,8
11,Thailand,Asiatic Region,1,1,0,0,0.0,5
12,South Africa,Africa,1,1,3,0,3.0,14
13,Zambia,Africa,1,1,24,5,24.0,2
14,Belgium,Western Europe,1,1,9,3,9.0,2
15,Croatia,Eastern Europe,1,1,19,8,19.0,3
16,Iraq,Middle East,1,1,27,4,27.0,2
17,Iran,Middle East,1,1,41,9,41.0,6
18,Iceland,Western Europe,1,1,6,0,6.0,2
19,Cambodia,Asiatic Region,1,1,8,0,8.0,3
20,Sri Lanka,Asiatic Region,1,1,27,2,27.0,4
21,Malawi,Africa,1,1,30,4,30.0,3
