Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1186,1129,29687,17368,25.03,272
2,China,Asiatic Region,292,291,4001,1429,13.7,90
3,Germany,Western Europe,164,161,1738,580,10.6,64
4,United Kingdom,Western Europe,164,155,3979,1009,24.26,112
5,Netherlands,Western Europe,120,88,732,172,6.1,60
6,Canada,Northern America,120,117,1909,370,15.91,78
7,Taiwan,Asiatic Region,118,118,2419,294,20.5,55
8,France,Western Europe,115,112,1168,297,10.16,60
9,Australia,Pacific Region,106,101,1530,311,14.43,76
10,Italy,Western Europe,104,103,1198,476,11.52,63
11,Spain,Western Europe,97,97,1622,417,16.72,61
12,Turkey,Middle East,80,79,1264,149,15.8,46
13,South Korea,Asiatic Region,79,75,2221,296,28.11,58
14,India,Asiatic Region,65,65,1654,674,25.45,65
15,Japan,Asiatic Region,62,62,548,78,8.84,41
16,Brazil,Latin America,53,51,247,74,4.66,34
17,Portugal,Western Europe,51,50,386,105,7.57,34
18,Switzerland,Western Europe,50,47,964,143,19.28,58
19,Hong Kong,Asiatic Region,49,47,914,52,18.65,51
20,Iran,Middle East,47,43,737,146,15.68,46
21,Greece,Western Europe,47,47,1434,177,30.51,57
22,Singapore,Asiatic Region,43,43,1309,211,30.44,46
23,Denmark,Western Europe,41,40,537,124,13.1,39
24,Sweden,Western Europe,40,40,275,80,6.88,43
25,Cuba,Latin America,34,29,75,47,2.21,15
26,Poland,Eastern Europe,32,32,294,74,9.19,28
27,Mexico,Latin America,29,28,287,39,9.9,26
28,Austria,Western Europe,28,27,297,36,10.61,33
29,Malaysia,Asiatic Region,28,28,763,149,27.25,44
30,Belgium,Western Europe,26,25,974,73,37.46,45
31,Norway,Western Europe,25,25,456,44,18.24,37
32,Finland,Western Europe,25,24,234,38,9.36,37
33,Russian Federation,Eastern Europe,22,22,130,75,5.91,17
34,Saudi Arabia,Middle East,20,19,388,122,19.4,43
35,Israel,Middle East,13,13,259,36,19.92,28
36,Slovenia,Eastern Europe,12,12,72,5,6.0,22
37,Colombia,Latin America,11,11,67,9,6.09,19
38,Pakistan,Asiatic Region,11,11,398,30,36.18,33
39,South Africa,Africa,11,9,238,49,21.64,35
40,Ireland,Western Europe,10,10,380,12,38.0,31
41,New Zealand,Pacific Region,10,10,83,17,8.3,26
42,Czech Republic,Eastern Europe,10,10,27,21,2.7,15
43,Serbia,Eastern Europe,7,7,96,49,13.71,14
44,Thailand,Asiatic Region,7,6,93,4,13.29,22
45,Lithuania,Eastern Europe,6,6,33,5,5.5,10
46,Egypt,Africa/Middle East,6,6,108,44,18.0,23
47,Romania,Eastern Europe,6,6,30,6,5.0,17
48,Algeria,Africa,5,5,123,9,24.6,12
49,Argentina,Latin America,5,5,85,15,17.0,17
50,Cyprus,Western Europe,5,5,167,48,33.4,24
51,Kenya,Africa,4,3,59,19,14.75,23
52,Jordan,Middle East,4,4,39,5,9.75,16
53,Qatar,Middle East,4,4,166,4,41.5,17
54,Malta,Western Europe,4,4,31,2,7.75,7
55,Lebanon,Middle East,3,3,59,0,19.67,14
56,Croatia,Eastern Europe,3,3,10,4,3.33,15
57,Luxembourg,Western Europe,3,3,13,0,4.33,10
58,United Arab Emirates,Middle East,3,3,80,11,26.67,21
59,Chile,Latin America,3,3,32,4,10.67,17
60,Bangladesh,Asiatic Region,3,3,1,1,0.33,20
61,Mongolia,Asiatic Region,3,3,24,2,8.0,3
62,Uruguay,Latin America,3,3,58,41,19.33,8
63,Slovakia,Eastern Europe,2,2,66,1,33.0,9
64,Armenia,Eastern Europe,2,2,2,0,1.0,2
65,Botswana,Africa,2,2,95,14,47.5,11
66,Congo,Africa,2,2,38,0,19.0,15
67,Estonia,Eastern Europe,2,2,7,5,3.5,11
68,Hungary,Eastern Europe,2,2,2,1,1.0,14
69,Indonesia,Asiatic Region,2,2,49,5,24.5,17
70,Cambodia,Asiatic Region,2,2,19,6,9.5,6
71,Macao,Asiatic Region,2,2,25,1,12.5,15
72,Nigeria,Africa,2,2,36,6,18.0,19
73,Papua New Guinea,Pacific Region,2,2,5,1,2.5,3
74,Philippines,Asiatic Region,2,2,50,1,25.0,16
75,Tunisia,Africa,2,2,37,11,18.5,8
76,Trinidad and Tobago,Latin America,2,2,6,0,3.0,6
77,Venezuela,Latin America,2,2,8,2,4.0,5
78,Kuwait,Middle East,1,1,0,0,0.0,8
79,Haïti,Latin America,1,0,19,6,19.0,8
80,Honduras,Latin America,1,1,110,0,110.0,3
81,Guatemala,Latin America,1,1,0,0,0.0,5
82,Georgia,Eastern Europe,1,1,8,2,8.0,34
83,Fiji,Pacific Region,1,1,19,0,19.0,5
84,Ethiopia,Africa,1,1,0,0,0.0,12
85,Zimbabwe,Africa,1,0,13,4,13.0,13
86,Ecuador,Latin America,1,1,8,3,8.0,10
87,Azerbaijan,Eastern Europe,1,1,9,7,9.0,1
88,Bulgaria,Eastern Europe,1,1,0,0,0.0,8
89,Uganda,Africa,1,1,12,1,12.0,17
90,Burkina Faso,Africa,1,1,12,6,12.0,9
91,Bosnia and Herzegovina,Eastern Europe,1,1,13,1,13.0,10
92,Mozambique,Africa,1,1,1,0,1.0,10
93,Morocco,Africa,1,1,20,3,20.0,16
94,Libya,Africa,1,1,0,0,0.0,1
