Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,491,470,10399,5944,21.18,142
2,United Kingdom,Western Europe,219,184,5967,1996,27.25,111
3,Canada,Northern America,56,53,1598,397,28.54,82
4,Australia,Pacific Region,48,47,1548,395,32.25,70
5,Netherlands,Western Europe,47,44,537,134,11.43,59
6,New Zealand,Pacific Region,14,11,344,27,24.57,36
7,France,Western Europe,13,13,419,96,32.23,41
8,Israel,Middle East,11,11,143,32,13.0,46
9,Germany,Western Europe,10,9,402,90,40.2,55
10,Sweden,Western Europe,9,8,133,9,14.78,48
11,Belgium,Western Europe,8,8,440,97,55.0,34
12,Japan,Asiatic Region,7,7,123,21,17.57,26
13,Hong Kong,Asiatic Region,7,7,146,46,20.86,35
14,China,Asiatic Region,5,5,20,9,4.0,36
15,Ireland,Western Europe,5,5,148,35,29.6,39
16,Denmark,Western Europe,5,4,28,11,5.6,25
17,Spain,Western Europe,5,5,167,40,33.4,48
18,Norway,Western Europe,5,5,166,20,33.2,35
19,Greece,Western Europe,5,5,43,14,8.6,38
20,Switzerland,Western Europe,4,4,60,1,15.0,24
21,Finland,Western Europe,4,4,30,2,7.5,36
22,South Africa,Africa,4,4,124,52,31.0,29
23,Singapore,Asiatic Region,3,3,112,2,37.33,18
24,Mexico,Latin America,3,3,82,15,27.33,23
25,Italy,Western Europe,3,3,33,20,11.0,50
26,Turkey,Middle East,3,3,113,10,37.67,31
27,Austria,Western Europe,3,3,125,9,41.67,23
28,South Korea,Asiatic Region,3,3,55,25,18.33,32
29,Taiwan,Asiatic Region,3,3,81,8,27.0,29
30,Thailand,Asiatic Region,2,2,6,1,3.0,20
31,Cyprus,Western Europe,2,2,15,6,7.5,16
32,Croatia,Eastern Europe,2,2,9,5,4.5,19
33,India,Asiatic Region,2,2,38,6,19.0,28
34,Iceland,Western Europe,2,2,39,6,19.5,13
35,Poland,Eastern Europe,2,2,27,8,13.5,25
36,Portugal,Western Europe,1,1,66,2,66.0,31
37,Romania,Eastern Europe,1,1,86,5,86.0,20
38,Saudi Arabia,Middle East,1,1,0,0,0.0,17
39,Pakistan,Asiatic Region,1,1,12,7,12.0,18
40,Oman,Middle East,1,1,12,0,12.0,6
41,Argentina,Latin America,1,1,4,0,4.0,13
42,Jordan,Middle East,1,1,12,5,12.0,15
43,Guam,Pacific Region,1,1,6,0,6.0,1
44,Botswana,Africa,1,1,17,3,17.0,10
45,Viet Nam,Asiatic Region,1,1,26,0,26.0,13
46,Brazil,Latin America,1,1,24,1,24.0,25
