Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,39,33,115,77,2.95,16
2,Greece,Western Europe,14,1,33,26,2.36,5
3,Cyprus,Western Europe,9,0,31,23,3.44,6
4,Bulgaria,Eastern Europe,5,4,3,2,0.6,2
5,Serbia,Eastern Europe,4,4,4,0,1.0,1
6,Portugal,Western Europe,4,0,3,1,0.75,2
7,Spain,Western Europe,3,0,15,1,5.0,5
8,Hungary,Eastern Europe,2,2,2,1,1.0,1
9,Bosnia and Herzegovina,Eastern Europe,2,2,0,0,0.0,0
10,United Kingdom,Western Europe,2,0,2,0,1.0,3
11,Albania,Eastern Europe,2,2,0,0,0.0,0
12,Nepal,Asiatic Region,2,1,0,0,0.0,0
13,Romania,Eastern Europe,2,1,6,0,3.0,3
14,Italy,Western Europe,1,0,6,0,6.0,2
15,Moldova,Eastern Europe,1,1,0,0,0.0,0
16,Macedonia,Eastern Europe,1,1,0,0,0.0,2
17,Russian Federation,Eastern Europe,1,1,0,0,0.0,0
18,Pakistan,Asiatic Region,1,0,23,2,23.0,2
19,China,Asiatic Region,1,0,8,6,8.0,3
20,Armenia,Eastern Europe,1,1,4,4,4.0,1
21,Georgia,Eastern Europe,1,1,0,0,0.0,0
22,Brazil,Latin America,1,0,1,0,1.0,3
23,Iran,Middle East,1,0,1,0,1.0,3
