Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,252,232,5083,2400,20.17,100
2,Australia,Pacific Region,116,99,1833,566,15.8,63
3,Canada,Northern America,87,77,1854,519,21.31,85
4,United Kingdom,Western Europe,83,62,854,278,10.29,52
5,Sweden,Western Europe,27,26,658,184,24.37,51
6,Netherlands,Western Europe,20,19,683,182,34.15,54
7,Germany,Western Europe,20,17,237,30,11.85,18
8,Ireland,Western Europe,17,17,112,11,6.59,20
9,Israel,Middle East,14,14,324,84,23.14,34
10,Hong Kong,Asiatic Region,14,13,157,26,11.21,29
11,Switzerland,Western Europe,10,10,233,70,23.3,15
12,Taiwan,Asiatic Region,8,8,134,12,16.75,25
13,Brazil,Latin America,6,6,155,44,25.83,19
14,China,Asiatic Region,5,4,19,1,3.8,11
15,Japan,Asiatic Region,5,5,100,6,20.0,18
16,New Zealand,Pacific Region,5,5,78,20,15.6,27
17,Norway,Western Europe,4,4,129,20,32.25,22
18,Iran,Middle East,4,4,49,2,12.25,13
19,Singapore,Asiatic Region,4,4,42,3,10.5,13
20,Italy,Western Europe,3,3,100,4,33.33,12
21,Denmark,Western Europe,3,3,27,6,9.0,18
22,South Africa,Africa,3,3,13,4,4.33,12
23,France,Western Europe,3,3,141,13,47.0,10
24,Austria,Western Europe,3,3,21,5,7.0,10
25,South Korea,Asiatic Region,2,2,20,1,10.0,14
26,Belgium,Western Europe,2,2,13,3,6.5,15
27,Colombia,Latin America,2,2,71,0,35.5,7
28,Finland,Western Europe,2,2,7,0,3.5,13
29,India,Asiatic Region,2,2,45,13,22.5,8
30,Jordan,Middle East,2,2,19,11,9.5,8
31,Argentina,Latin America,2,2,0,0,0.0,1
32,Lebanon,Middle East,2,2,71,0,35.5,2
33,Malaysia,Asiatic Region,2,2,9,5,4.5,8
34,Philippines,Asiatic Region,1,1,1,1,1.0,5
35,Puerto Rico,Latin America,1,1,17,0,17.0,7
36,Portugal,Western Europe,1,1,26,2,26.0,6
37,Saudi Arabia,Middle East,1,1,0,0,0.0,5
38,Nigeria,Africa,1,1,1,1,1.0,3
39,Iceland,Western Europe,1,1,1,0,1.0,6
40,Thailand,Asiatic Region,1,0,1,0,1.0,9
41,Greece,Western Europe,1,1,35,0,35.0,8
42,Chile,Latin America,1,1,1,0,1.0,6
43,Bangladesh,Asiatic Region,1,1,2,1,2.0,5
