Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,5168,4725,72736,27692,14.07,99
2,United Kingdom,Western Europe,2543,2226,45197,10979,17.77,83
3,Australia,Pacific Region,2219,1939,36924,9097,16.64,80
4,Canada,Northern America,909,877,13378,2659,14.72,54
5,Spain,Western Europe,803,772,10732,2743,13.36,46
6,France,Western Europe,474,402,1550,205,3.27,25
7,India,Asiatic Region,422,389,2978,652,7.06,26
8,China,Asiatic Region,406,397,6285,2433,15.48,41
9,Hong Kong,Asiatic Region,387,367,7282,1067,18.82,43
10,South Africa,Africa,353,345,2170,712,6.15,21
11,Germany,Western Europe,309,296,5473,1218,17.71,33
12,New Zealand,Pacific Region,262,240,3578,501,13.66,31
13,Turkey,Middle East,252,232,2047,325,8.12,22
14,Italy,Western Europe,229,207,2192,459,9.57,26
15,Iran,Middle East,208,191,1961,396,9.43,24
16,Netherlands,Western Europe,200,184,3681,517,18.41,33
17,Japan,Asiatic Region,190,184,2848,469,14.99,30
18,Portugal,Western Europe,166,160,3016,446,18.17,29
19,Singapore,Asiatic Region,157,147,5013,598,31.93,32
20,Greece,Western Europe,146,134,1232,88,8.44,19
21,South Korea,Asiatic Region,122,121,1205,192,9.88,18
22,Saudi Arabia,Middle East,107,107,870,178,8.13,16
23,Poland,Eastern Europe,91,87,1193,306,13.11,21
24,Taiwan,Asiatic Region,88,87,1244,156,14.14,18
25,Switzerland,Western Europe,84,78,1284,84,15.29,19
26,Israel,Middle East,83,75,805,61,9.7,15
27,Sweden,Western Europe,78,77,1294,237,16.59,21
28,Ireland,Western Europe,72,70,673,86,9.35,17
29,Malaysia,Asiatic Region,71,71,861,83,12.13,18
30,Brazil,Latin America,55,53,619,133,11.25,15
31,Belgium,Western Europe,50,46,356,62,7.12,12
32,Ghana,Africa,49,48,341,76,6.96,10
33,Nigeria,Africa,48,45,356,27,7.42,12
34,Egypt,Africa/Middle East,46,45,306,28,6.65,7
35,Norway,Western Europe,42,41,693,51,16.5,16
36,Nepal,Asiatic Region,38,38,385,37,10.13,12
37,Austria,Western Europe,37,34,822,88,22.22,12
38,Mexico,Latin America,34,33,352,29,10.35,9
39,Hungary,Eastern Europe,26,25,208,24,8.0,8
40,Russian Federation,Eastern Europe,23,22,173,30,7.52,7
41,Denmark,Western Europe,22,21,318,30,14.45,8
42,Colombia,Latin America,21,21,455,14,21.67,10
43,Jordan,Middle East,18,18,202,23,11.22,6
44,Finland,Western Europe,15,13,141,30,9.4,7
45,Argentina,Latin America,14,12,119,15,8.5,7
46,Thailand,Asiatic Region,14,14,112,8,8.0,6
47,Pakistan,Asiatic Region,11,10,169,9,15.36,7
48,Qatar,Middle East,10,10,129,28,12.9,7
49,Indonesia,Asiatic Region,10,10,18,3,1.8,2
50,United Arab Emirates,Middle East,10,9,56,3,5.6,4
51,Oman,Middle East,9,9,51,7,5.67,4
52,Chile,Latin America,9,8,144,10,16.0,6
53,Croatia,Eastern Europe,9,8,49,2,5.44,3
