Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,121,112,2641,1040,21.83,99
2,United Kingdom,Western Europe,66,61,2096,612,31.76,83
3,Australia,Pacific Region,52,42,1092,225,21.0,80
4,Hong Kong,Asiatic Region,18,17,511,86,28.39,43
5,Canada,Northern America,16,16,620,133,38.75,54
6,Spain,Western Europe,12,12,332,90,27.67,46
7,New Zealand,Pacific Region,5,2,90,1,18.0,31
8,Germany,Western Europe,4,4,142,37,35.5,33
9,Singapore,Asiatic Region,3,3,134,10,44.67,32
10,Netherlands,Western Europe,3,3,87,14,29.0,33
11,Japan,Asiatic Region,3,3,101,22,33.67,30
12,South Africa,Africa,2,2,24,4,12.0,21
13,China,Asiatic Region,2,2,17,2,8.5,41
14,Malaysia,Asiatic Region,2,2,42,8,21.0,18
15,Italy,Western Europe,1,1,4,3,4.0,26
16,Norway,Western Europe,1,1,22,4,22.0,16
17,Greece,Western Europe,1,1,73,2,73.0,19
18,Poland,Eastern Europe,1,1,32,1,32.0,21
19,Portugal,Western Europe,1,1,54,12,54.0,29
20,Russian Federation,Eastern Europe,1,1,10,0,10.0,7
21,France,Western Europe,1,1,53,0,53.0,25
22,Turkey,Middle East,1,1,75,9,75.0,22
23,Austria,Western Europe,1,1,5,0,5.0,12
24,Argentina,Latin America,1,1,21,0,21.0,7
