Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3435,3044,86356,40969,25.14,365
2,United Kingdom,Western Europe,1316,1222,39207,11060,29.79,254
3,Australia,Pacific Region,1117,1031,41104,10613,36.8,255
4,Spain,Western Europe,838,807,12802,4373,15.28,142
5,Canada,Northern America,797,726,23909,4722,30.0,221
6,Brazil,Latin America,694,685,11695,4069,16.85,116
7,Germany,Western Europe,568,521,8374,1904,14.74,152
8,Japan,Asiatic Region,554,543,5392,1521,9.73,117
9,France,Western Europe,439,401,8911,1536,20.3,146
10,South Korea,Asiatic Region,432,429,6791,1332,15.72,88
11,Netherlands,Western Europe,381,361,11991,1822,31.47,172
12,Italy,Western Europe,345,324,7597,2197,22.02,141
13,Russian Federation,Eastern Europe,338,337,806,457,2.38,38
14,Sweden,Western Europe,298,282,10034,1612,33.67,164
15,Norway,Western Europe,267,250,11433,1750,42.82,162
16,Turkey,Middle East,260,234,2041,353,7.85,74
17,Switzerland,Western Europe,257,238,6172,911,24.02,144
18,Portugal,Western Europe,253,244,5671,1341,22.42,96
19,New Zealand,Pacific Region,251,242,6564,758,26.15,137
20,Denmark,Western Europe,215,205,7994,1486,37.18,143
21,Poland,Eastern Europe,210,210,2472,632,11.77,55
22,Belgium,Western Europe,177,169,5339,879,30.16,138
23,Greece,Western Europe,143,139,2653,377,18.55,87
24,China,Asiatic Region,138,133,2765,821,20.04,73
25,Czech Republic,Eastern Europe,134,134,994,233,7.42,40
26,South Africa,Africa,129,120,2895,553,22.44,100
27,Ireland,Western Europe,128,122,3873,386,30.26,99
28,Iran,Middle East,127,122,1764,452,13.89,60
29,Taiwan,Asiatic Region,120,116,1943,294,16.19,91
30,Finland,Western Europe,104,100,3374,453,32.44,122
31,Austria,Western Europe,103,97,1664,207,16.16,80
32,Qatar,Middle East,102,94,4878,501,47.82,92
33,Hong Kong,Asiatic Region,100,89,2645,240,26.45,94
34,India,Asiatic Region,64,63,1135,261,17.73,49
35,Israel,Middle East,63,61,1976,97,31.37,74
36,Tunisia,Africa,51,49,1403,227,27.51,67
37,Slovakia,Eastern Europe,45,42,318,54,7.07,19
38,Slovenia,Eastern Europe,45,44,583,82,12.96,46
39,Singapore,Asiatic Region,39,38,965,70,24.74,64
40,Chile,Latin America,38,37,948,177,24.95,53
41,Saudi Arabia,Middle East,37,37,600,52,16.22,39
42,Croatia,Eastern Europe,36,35,532,90,14.78,48
43,Malaysia,Asiatic Region,31,31,537,39,17.32,41
44,Egypt,Africa/Middle East,29,28,517,41,17.83,30
45,Serbia,Eastern Europe,26,26,384,49,14.77,38
46,Hungary,Eastern Europe,26,26,420,31,16.15,46
47,Thailand,Asiatic Region,24,24,636,75,26.5,38
48,Nigeria,Africa,23,23,355,49,15.43,28
49,Colombia,Latin America,19,19,248,41,13.05,42
50,Mexico,Latin America,18,16,175,17,9.72,33
51,Romania,Eastern Europe,14,14,151,11,10.79,19
52,Argentina,Latin America,14,14,236,11,16.86,34
53,Bosnia and Herzegovina,Eastern Europe,13,13,84,14,6.46,18
