Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,105,99,1593,692,15.17,60
2,France,Western Europe,37,31,27,1,0.73,9
3,United Kingdom,Western Europe,23,22,278,37,12.09,38
4,India,Asiatic Region,7,7,33,6,4.71,15
5,Australia,Pacific Region,6,4,83,12,13.83,39
6,Spain,Western Europe,5,5,44,3,8.8,18
7,Turkey,Middle East,5,5,51,8,10.2,19
8,Singapore,Asiatic Region,4,4,85,13,21.25,11
9,Israel,Middle East,4,4,47,2,11.75,10
10,Italy,Western Europe,3,3,34,10,11.33,15
11,South Korea,Asiatic Region,3,3,46,0,15.33,8
12,China,Asiatic Region,3,3,78,16,26.0,9
13,Hong Kong,Asiatic Region,2,2,71,5,35.5,8
14,Morocco,Africa,2,2,9,1,4.5,2
15,Greece,Western Europe,2,2,19,0,9.5,16
16,Japan,Asiatic Region,2,2,7,5,3.5,12
17,Netherlands,Western Europe,2,2,82,8,41.0,15
18,Belgium,Western Europe,1,1,9,0,9.0,9
19,Germany,Western Europe,1,1,0,0,0.0,14
20,Denmark,Western Europe,1,1,50,5,50.0,8
21,Egypt,Africa/Middle East,1,1,19,2,19.0,11
22,Switzerland,Western Europe,1,1,5,4,5.0,11
23,Canada,Northern America,1,1,5,1,5.0,16
24,Ireland,Western Europe,1,1,3,0,3.0,8
25,Brazil,Latin America,1,1,10,1,10.0,11
26,Nigeria,Africa,1,1,27,1,27.0,4
27,Qatar,Middle East,1,1,2,0,2.0,5
