Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1392,1287,43024,18670,30.91,295
2,United Kingdom,Western Europe,448,408,13899,3614,31.02,222
3,Germany,Western Europe,438,425,15361,4331,35.07,192
4,France,Western Europe,397,374,8059,1689,20.3,154
5,China,Asiatic Region,303,298,7270,3383,23.99,130
6,Canada,Northern America,287,275,7265,1508,25.31,161
7,Japan,Asiatic Region,230,225,4364,1357,18.97,112
8,Italy,Western Europe,197,181,5759,1520,29.23,132
9,Netherlands,Western Europe,178,175,7113,1390,39.96,161
10,South Korea,Asiatic Region,160,159,3435,662,21.47,99
11,Australia,Pacific Region,154,146,3048,772,19.79,117
12,Spain,Western Europe,147,136,4365,715,29.69,113
13,India,Asiatic Region,144,139,3076,1043,21.36,99
14,Iran,Middle East,141,135,1588,452,11.26,59
15,Switzerland,Western Europe,113,110,4034,590,35.7,124
16,Sweden,Western Europe,109,107,2728,477,25.03,102
17,Belgium,Western Europe,93,87,3490,552,37.53,120
18,Turkey,Middle East,81,74,1143,266,14.11,65
19,Brazil,Latin America,70,67,1883,344,26.9,78
20,Taiwan,Asiatic Region,64,61,1369,218,21.39,81
21,Romania,Eastern Europe,62,46,885,123,14.27,44
22,Denmark,Western Europe,50,47,1830,282,36.6,88
23,Austria,Western Europe,50,49,1246,182,24.92,89
24,Norway,Western Europe,48,48,1264,134,26.33,81
25,Greece,Western Europe,42,39,1177,198,28.02,71
26,Israel,Middle East,41,36,764,75,18.63,78
27,Finland,Western Europe,38,38,1129,149,29.71,80
28,Poland,Eastern Europe,37,37,872,235,23.57,55
29,Hong Kong,Asiatic Region,37,36,1270,139,34.32,85
30,Ireland,Western Europe,33,31,625,59,18.94,47
31,Hungary,Eastern Europe,30,29,549,56,18.3,41
32,Egypt,Africa/Middle East,26,26,375,65,14.42,42
33,Singapore,Asiatic Region,25,24,599,59,23.96,65
34,Argentina,Latin America,24,23,472,90,19.67,46
35,Chile,Latin America,23,22,629,127,27.35,52
36,Morocco,Africa,23,23,50,5,2.17,19
37,New Zealand,Pacific Region,22,22,400,92,18.18,52
38,Malaysia,Asiatic Region,22,21,303,71,13.77,41
39,Russian Federation,Eastern Europe,22,22,631,155,28.68,61
40,Czech Republic,Eastern Europe,21,20,478,75,22.76,50
41,Thailand,Asiatic Region,19,17,312,47,16.42,32
42,Portugal,Western Europe,18,18,555,81,30.83,55
43,Slovenia,Eastern Europe,15,15,809,102,53.93,45
44,South Africa,Africa,14,14,451,62,32.21,52
45,Serbia,Eastern Europe,14,14,215,32,15.36,27
46,Tunisia,Africa,13,13,83,6,6.38,23
47,Mexico,Latin America,11,11,275,17,25.0,37
48,Bulgaria,Eastern Europe,11,11,233,31,21.18,33
49,Pakistan,Asiatic Region,11,11,218,40,19.82,46
50,Saudi Arabia,Middle East,11,11,140,29,12.73,52
51,Ghana,Africa,9,9,68,15,7.56,14
52,Nigeria,Africa,8,8,156,11,19.5,20
53,Algeria,Africa,7,6,46,7,6.57,16
54,Colombia,Latin America,7,7,107,13,15.29,28
