Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,29620,26937,631330,304559,21.31,215
2,United Kingdom,Western Europe,6609,6314,142754,34538,21.6,132
3,Germany,Western Europe,4882,4626,64567,18394,13.23,98
4,Australia,Pacific Region,4770,4564,93270,23695,19.55,108
5,Canada,Northern America,3829,3706,86636,15558,22.63,117
6,Brazil,Latin America,2447,2392,18866,6571,7.71,48
7,Japan,Asiatic Region,2195,2182,19515,5366,8.89,59
8,Netherlands,Western Europe,2139,2096,46533,7830,21.75,88
9,France,Western Europe,2071,2032,35823,7387,17.3,82
10,South Korea,Asiatic Region,2004,1997,11472,3378,5.72,43
11,China,Asiatic Region,1901,1889,21811,9702,11.47,55
12,Sweden,Western Europe,1855,1819,38941,7029,20.99,77
13,Italy,Western Europe,1575,1517,24092,5834,15.3,66
14,Spain,Western Europe,1436,1364,17622,4032,12.27,55
15,Belgium,Western Europe,1353,1331,26436,4631,19.54,71
16,Israel,Middle East,1001,940,17460,3731,17.44,61
17,India,Asiatic Region,952,920,6312,1880,6.63,33
18,Hong Kong,Asiatic Region,939,911,13003,4015,13.85,52
19,Denmark,Western Europe,843,812,15844,2310,18.79,57
20,Finland,Western Europe,795,784,16696,3352,21.0,60
21,South Africa,Africa,788,764,7020,1852,8.91,39
22,Taiwan,Asiatic Region,751,744,7559,1490,10.07,41
23,New Zealand,Pacific Region,741,713,11663,1581,15.74,50
24,Switzerland,Western Europe,724,703,11993,1510,16.56,50
25,Iran,Middle East,593,579,3237,901,5.46,25
26,Norway,Western Europe,537,523,7269,1012,13.54,41
27,Turkey,Middle East,504,496,4493,753,8.91,31
28,Austria,Western Europe,481,471,8076,953,16.79,45
29,Poland,Eastern Europe,412,405,4425,877,10.74,31
30,Ireland,Western Europe,412,394,5192,639,12.6,35
31,Greece,Western Europe,364,356,3959,679,10.88,31
32,Portugal,Western Europe,337,325,3702,559,10.99,31
33,Chile,Latin America,273,265,2075,456,7.6,25
34,Singapore,Asiatic Region,247,240,3944,539,15.97,33
35,Malaysia,Asiatic Region,219,211,1485,388,6.78,20
36,Czech Republic,Eastern Europe,204,196,7055,610,34.58,31
37,Egypt,Africa/Middle East,177,177,1402,143,7.92,20
38,Thailand,Asiatic Region,155,146,800,91,5.16,14
39,Russian Federation,Eastern Europe,151,148,1045,270,6.92,18
40,Colombia,Latin America,144,143,872,126,6.06,16
41,Macao,Asiatic Region,139,137,1742,591,12.53,25
42,Hungary,Eastern Europe,136,135,1912,266,14.06,20
43,Saudi Arabia,Middle East,120,116,1084,176,9.03,19
44,Mexico,Latin America,113,109,875,122,7.74,15
45,Cyprus,Western Europe,100,97,1107,151,11.07,19
