Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,668,651,23778,12040,35.6,215
2,United Kingdom,Western Europe,192,188,4734,1048,24.66,132
3,Japan,Asiatic Region,64,64,489,70,7.64,59
4,Germany,Western Europe,61,61,1063,373,17.43,98
5,Canada,Northern America,53,53,2812,474,53.06,117
6,Australia,Pacific Region,50,49,1811,416,36.22,108
7,France,Western Europe,32,32,1012,199,31.63,82
8,Sweden,Western Europe,30,29,1158,129,38.6,77
9,Netherlands,Western Europe,27,27,1072,196,39.7,88
10,Israel,Middle East,14,14,253,17,18.07,61
11,Finland,Western Europe,13,13,502,116,38.62,60
12,Belgium,Western Europe,12,12,231,40,19.25,71
13,Italy,Western Europe,11,10,312,84,28.36,66
14,Spain,Western Europe,11,11,245,37,22.27,55
15,Hong Kong,Asiatic Region,10,10,260,39,26.0,52
16,Norway,Western Europe,10,10,77,9,7.7,41
17,South Africa,Africa,10,10,83,13,8.3,39
18,Denmark,Western Europe,8,8,549,21,68.63,57
19,Poland,Eastern Europe,7,7,69,15,9.86,31
20,Ireland,Western Europe,7,7,164,5,23.43,35
21,Switzerland,Western Europe,5,5,150,40,30.0,50
22,Austria,Western Europe,5,5,152,20,30.4,45
23,Turkey,Middle East,5,5,204,37,40.8,31
24,New Zealand,Pacific Region,4,4,33,0,8.25,50
25,Singapore,Asiatic Region,4,4,203,53,50.75,33
26,Serbia,Eastern Europe,4,4,23,0,5.75,14
27,India,Asiatic Region,3,2,17,0,5.67,33
28,Czech Republic,Eastern Europe,3,3,344,50,114.67,31
29,South Korea,Asiatic Region,2,2,147,29,73.5,43
30,Saudi Arabia,Middle East,2,2,54,5,27.0,19
31,Russian Federation,Eastern Europe,2,2,7,2,3.5,18
32,Hungary,Eastern Europe,1,1,3,2,3.0,20
33,Latvia,Eastern Europe,1,1,18,0,18.0,7
34,Cuba,Latin America,1,1,260,17,260.0,11
35,Slovakia,Eastern Europe,1,1,0,0,0.0,14
36,Thailand,Asiatic Region,1,1,14,1,14.0,14
37,Bulgaria,Eastern Europe,1,1,4,0,4.0,11
38,Colombia,Latin America,1,1,28,0,28.0,16
39,Dominican Republic,Latin America,1,1,1,0,1.0,1
40,Greece,Western Europe,1,1,30,0,30.0,31
41,Nigeria,Africa,1,1,10,2,10.0,9
42,Pakistan,Asiatic Region,1,1,12,2,12.0,7
