Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,861,759,31074,0,36.09,215
2,United Kingdom,Western Europe,233,225,8701,0,37.34,132
3,Germany,Western Europe,193,188,2580,0,13.37,98
4,Italy,Western Europe,182,181,939,0,5.16,66
5,France,Western Europe,142,140,2010,0,14.15,82
6,Sweden,Western Europe,97,93,2650,0,27.32,77
7,Canada,Northern America,89,83,4619,0,51.9,117
8,Australia,Pacific Region,85,80,2479,0,29.16,108
9,Netherlands,Western Europe,67,65,1841,0,27.48,88
10,Japan,Asiatic Region,63,63,965,0,15.32,59
11,Belgium,Western Europe,46,45,1176,0,25.57,71
12,Spain,Western Europe,37,37,494,0,13.35,55
13,Finland,Western Europe,30,30,528,0,17.6,60
14,Israel,Middle East,25,25,1006,0,40.24,61
15,Norway,Western Europe,23,23,562,0,24.43,41
16,Denmark,Western Europe,22,21,827,0,37.59,57
17,Portugal,Western Europe,22,22,294,0,13.36,31
18,Switzerland,Western Europe,21,21,576,0,27.43,50
19,Poland,Eastern Europe,17,17,140,0,8.24,31
20,Brazil,Latin America,17,17,172,0,10.12,48
21,Russian Federation,Eastern Europe,16,16,92,0,5.75,18
22,Austria,Western Europe,16,16,387,0,24.19,45
23,New Zealand,Pacific Region,12,12,401,0,33.42,50
24,Hong Kong,Asiatic Region,11,11,377,0,34.27,52
25,South Korea,Asiatic Region,9,9,149,0,16.56,43
26,Turkey,Middle East,8,8,21,0,2.63,31
27,Hungary,Eastern Europe,7,7,85,0,12.14,20
28,Taiwan,Asiatic Region,7,7,209,0,29.86,41
29,China,Asiatic Region,7,7,159,0,22.71,55
30,Greece,Western Europe,7,7,174,0,24.86,31
31,South Africa,Africa,7,7,62,0,8.86,39
32,Algeria,Africa,6,6,14,0,2.33,6
33,Tunisia,Africa,5,5,3,0,0.6,6
34,Czech Republic,Eastern Europe,5,5,10,0,2.0,31
35,India,Asiatic Region,5,5,61,0,12.2,33
36,Ukraine,Eastern Europe,5,5,0,0,0.0,2
37,Slovenia,Eastern Europe,4,4,9,0,2.25,10
38,Lithuania,Eastern Europe,2,2,0,0,0.0,13
39,Iran,Middle East,2,2,18,0,9.0,25
40,Ireland,Western Europe,2,2,56,0,28.0,35
41,Singapore,Asiatic Region,2,2,30,0,15.0,33
42,Argentina,Latin America,2,2,24,0,12.0,21
43,Croatia,Eastern Europe,2,2,0,0,0.0,14
44,Chile,Latin America,2,2,4,0,2.0,25
45,Palestine,Middle East,1,1,3,0,3.0,3
46,Iceland,Western Europe,1,1,37,0,37.0,16
47,Romania,Eastern Europe,1,1,8,0,8.0,7
48,Serbia,Eastern Europe,1,1,103,0,103.0,14
49,Tanzania,Africa,1,1,21,0,21.0,6
50,Saudi Arabia,Middle East,1,1,0,0,0.0,19
51,Bulgaria,Eastern Europe,1,1,3,0,3.0,11
52,Uganda,Africa,1,1,7,0,7.0,7
53,Morocco,Africa,1,1,4,0,4.0,6
54,Slovakia,Eastern Europe,1,1,0,0,0.0,14
55,Thailand,Asiatic Region,1,1,22,0,22.0,14
56,Latvia,Eastern Europe,1,1,12,0,12.0,7
57,Venezuela,Latin America,1,1,14,0,14.0,5
58,Estonia,Eastern Europe,1,1,10,0,10.0,12
59,Mexico,Latin America,1,1,2,0,2.0,15
60,Sri Lanka,Asiatic Region,1,1,13,0,13.0,4
61,Kuwait,Middle East,1,1,17,0,17.0,10
62,Jordan,Middle East,1,1,44,0,44.0,14
63,Jamaica,Latin America,1,1,5,0,5.0,5
64,Puerto Rico,Latin America,1,1,21,0,21.0,7
