Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,12822,11628,393292,183253,30.67,565
2,United Kingdom,Western Europe,3720,3175,105399,26375,28.33,379
3,Canada,Northern America,2312,2103,81541,15445,35.27,336
4,Australia,Pacific Region,2294,2001,76726,18443,33.45,310
5,Germany,Western Europe,1763,1650,50528,12477,28.66,281
6,France,Western Europe,1584,1434,35109,6749,22.16,243
7,China,Asiatic Region,1458,1440,19183,6186,13.16,167
8,Japan,Asiatic Region,1284,1258,25561,6265,19.91,212
9,Spain,Western Europe,1093,1037,28265,7124,25.86,189
10,Italy,Western Europe,1033,958,31771,6757,30.76,224
11,Netherlands,Western Europe,976,914,41078,6960,42.09,257
12,Brazil,Latin America,900,867,18411,6148,20.46,145
13,South Korea,Asiatic Region,664,656,16518,2834,24.88,159
14,Sweden,Western Europe,663,628,23261,3777,35.08,230
15,Switzerland,Western Europe,647,611,25909,3458,40.04,248
16,Belgium,Western Europe,506,477,18823,2509,37.2,203
17,India,Asiatic Region,459,439,8108,2946,17.66,124
18,Taiwan,Asiatic Region,439,426,9426,1258,21.47,132
19,Turkey,Middle East,421,410,7224,1194,17.16,116
20,Norway,Western Europe,417,396,17185,2463,41.21,192
21,Denmark,Western Europe,383,360,17599,3016,45.95,206
22,New Zealand,Pacific Region,371,353,14065,1600,37.91,155
23,Hong Kong,Asiatic Region,288,269,7728,1146,26.83,139
24,Greece,Western Europe,284,265,8441,1010,29.72,131
25,Finland,Western Europe,271,266,8698,1131,32.1,173
26,Poland,Eastern Europe,269,264,3659,989,13.6,86
27,Austria,Western Europe,250,236,7063,934,28.25,145
28,Israel,Middle East,243,227,7717,990,31.76,135
29,Portugal,Western Europe,230,221,6202,1439,26.97,113
30,Ireland,Western Europe,221,217,7177,671,32.48,129
31,Iran,Middle East,216,212,4616,938,21.37,89
32,South Africa,Africa,179,167,3859,668,21.56,128
33,Czech Republic,Eastern Europe,163,154,5563,460,34.13,78
34,Singapore,Asiatic Region,162,150,4942,394,30.51,118
35,Mexico,Latin America,94,85,1484,155,15.79,71
36,Cuba,Latin America,94,87,411,88,4.37,37
37,Malaysia,Asiatic Region,88,73,1309,195,14.88,77
38,Thailand,Asiatic Region,86,80,1010,162,11.74,64
39,Hungary,Eastern Europe,86,82,2349,193,27.31,89
40,Russian Federation,Eastern Europe,74,73,934,273,12.62,84
41,Slovenia,Eastern Europe,74,73,1668,331,22.54,78
42,Romania,Eastern Europe,73,72,855,116,11.71,55
43,Serbia,Eastern Europe,63,62,866,190,13.75,52
44,Croatia,Eastern Europe,62,54,1421,128,22.92,65
45,Tunisia,Africa,61,58,2621,223,42.97,72
46,Egypt,Africa/Middle East,59,59,1719,153,29.14,63
47,Argentina,Latin America,56,53,1014,159,18.11,70
48,Chile,Latin America,55,50,1304,132,23.71,83
49,Morocco,Africa,51,45,231,31,4.53,29
50,Qatar,Middle East,48,43,2800,332,58.33,100
51,Saudi Arabia,Middle East,37,33,406,28,10.97,82
52,Nigeria,Africa,36,36,421,69,11.69,39
53,Colombia,Latin America,35,35,668,84,19.09,59
54,Estonia,Eastern Europe,31,30,645,55,20.81,52
55,Pakistan,Asiatic Region,31,28,722,98,23.29,65
56,Lithuania,Eastern Europe,30,30,567,107,18.9,41
57,Slovakia,Eastern Europe,29,29,343,85,11.83,41
58,Bulgaria,Eastern Europe,27,26,248,24,9.19,46
59,Jordan,Middle East,22,21,415,52,18.86,45
60,Cyprus,Western Europe,22,21,914,68,41.55,50
61,Luxembourg,Western Europe,21,19,711,45,33.86,49
62,Nepal,Asiatic Region,20,18,529,73,26.45,33
63,Iceland,Western Europe,18,17,505,35,28.06,48
64,Lebanon,Middle East,17,15,444,13,26.12,38
65,Bosnia and Herzegovina,Eastern Europe,17,17,75,8,4.41,24
66,Peru,Latin America,15,15,93,29,6.2,37
67,Kuwait,Middle East,14,14,188,20,13.43,39
68,Indonesia,Asiatic Region,13,13,245,11,18.85,32
69,Bangladesh,Asiatic Region,13,13,358,34,27.54,32
70,Philippines,Asiatic Region,12,11,203,1,16.92,30
71,Venezuela,Latin America,11,10,98,17,8.91,29
72,Puerto Rico,Latin America,11,11,191,3,17.36,42
73,United Arab Emirates,Middle East,10,10,149,26,14.9,48
74,Ghana,Africa,10,10,80,7,8.0,27
75,Malta,Western Europe,10,10,381,35,38.1,27
76,Georgia,Eastern Europe,10,9,106,2,10.6,39
77,Uganda,Africa,10,10,186,27,18.6,27
78,Macao,Asiatic Region,10,10,251,85,25.1,36
79,Sri Lanka,Asiatic Region,8,8,92,5,11.5,25
80,Cameroon,Africa,8,8,72,16,9.0,21
81,Ukraine,Eastern Europe,8,8,108,21,13.5,42
82,Algeria,Africa,7,7,225,7,32.14,29
83,Tanzania,Africa,7,7,155,9,22.14,26
84,Azerbaijan,Eastern Europe,7,7,10,1,1.43,10
85,Viet Nam,Asiatic Region,6,6,33,10,5.5,34
86,Kenya,Africa,6,6,158,29,26.33,42
87,Oman,Middle East,6,6,316,3,52.67,31
88,Belarus,Eastern Europe,6,6,100,16,16.67,26
89,Uruguay,Latin America,5,5,27,12,5.4,29
90,Rwanda,Africa,5,5,61,10,12.2,15
91,Sudan,Africa,5,5,68,3,13.6,20
92,Palestine,Middle East,5,5,115,8,23.0,22
93,Côte d’Ivoire,Africa,5,5,20,0,4.0,12
94,Botswana,Africa,4,4,18,0,4.5,18
95,Jamaica,Latin America,4,4,290,23,72.5,20
96,Monaco,Western Europe,4,4,328,29,82.0,37
97,Macedonia,Eastern Europe,4,4,81,20,20.25,23
98,Malawi,Africa,4,3,57,10,14.25,24
99,Burkina Faso,Africa,3,2,2,0,0.67,11
100,Ethiopia,Africa,3,3,36,3,12.0,30
101,Syrian Arab Republic,Middle East,3,3,70,3,23.33,13
102,Panama,Latin America,3,3,2,0,0.67,10
103,Latvia,Eastern Europe,3,3,45,12,15.0,25
104,Guadeloupe,Latin America,2,2,65,12,32.5,17
105,Paraguay,Latin America,2,2,86,5,43.0,14
106,Bahrain,Middle East,2,2,23,1,11.5,15
107,Senegal,Africa,2,2,0,0,0.0,11
108,Zambia,Africa,2,2,19,0,9.5,23
109,Mali,Africa,2,2,13,4,6.5,5
