Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,3239,3226,61322,26492,18.93,226
2,United States,Northern America,2102,2003,139032,49999,66.14,511
3,India,Asiatic Region,1233,1226,29208,9766,23.69,211
4,Japan,Asiatic Region,1135,1128,27969,5933,24.64,231
5,South Korea,Asiatic Region,1108,1070,24255,5500,21.89,184
6,Germany,Western Europe,720,701,33862,7329,47.03,307
7,Iran,Middle East,554,553,8803,2079,15.89,94
8,United Kingdom,Western Europe,496,473,25452,3579,51.31,282
9,France,Western Europe,400,389,17331,2754,43.33,220
10,Turkey,Middle East,369,367,5408,1087,14.66,117
11,Spain,Western Europe,367,355,13725,2861,37.4,207
12,Brazil,Latin America,357,350,11755,3445,32.93,137
13,Italy,Western Europe,350,335,11491,2569,32.83,167
14,Malaysia,Asiatic Region,335,333,6153,1632,18.37,91
15,Canada,Northern America,335,327,16925,2604,50.52,226
16,Pakistan,Asiatic Region,276,276,4272,1032,15.48,84
17,Australia,Pacific Region,271,267,11686,1427,43.12,205
18,Netherlands,Western Europe,256,245,14858,2204,58.04,230
19,Russian Federation,Eastern Europe,245,244,4658,1022,19.01,106
20,South Africa,Africa,234,224,5268,1143,22.51,118
21,Taiwan,Asiatic Region,221,220,5210,627,23.57,116
22,Belgium,Western Europe,191,181,8490,1151,44.45,172
23,Nigeria,Africa,188,188,1803,329,9.59,77
24,Mexico,Latin America,173,169,5368,1023,31.03,124
25,Thailand,Asiatic Region,172,171,4570,784,26.57,90
26,Denmark,Western Europe,161,156,8197,890,50.91,189
27,Portugal,Western Europe,156,155,8755,1127,56.12,131
28,Switzerland,Western Europe,148,145,9240,963,62.43,187
29,Egypt,Africa/Middle East,145,145,2777,515,19.15,84
30,Sweden,Western Europe,141,134,19600,1141,139.01,189
31,Argentina,Latin America,132,131,3346,581,25.35,92
32,Romania,Eastern Europe,128,126,1260,254,9.84,48
33,Ireland,Western Europe,128,120,5159,888,40.3,138
34,Tunisia,Africa,125,125,2399,436,19.19,69
35,Saudi Arabia,Middle East,121,121,2567,231,21.21,75
36,Austria,Western Europe,114,106,5816,1010,51.02,150
37,Poland,Eastern Europe,107,107,2288,625,21.38,94
38,Finland,Western Europe,104,100,4889,672,47.01,137
39,Serbia,Eastern Europe,70,70,888,176,12.69,42
40,Singapore,Asiatic Region,65,62,3268,232,50.28,124
41,Norway,Western Europe,60,56,2120,242,35.33,113
42,Czech Republic,Eastern Europe,59,58,3229,477,54.73,101
43,Colombia,Latin America,57,55,1096,149,19.23,54
44,New Zealand,Pacific Region,55,54,2745,270,49.91,119
45,Israel,Middle East,55,53,16624,537,302.25,134
46,Chile,Latin America,52,52,1796,333,34.54,83
