Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,9885,8944,227603,87564,23.03,825
2,China,Asiatic Region,6426,6044,115500,64727,17.97,271
3,United Kingdom,Western Europe,2624,2329,65502,11107,24.96,506
4,Germany,Western Europe,2424,2256,64030,11404,26.42,491
5,Italy,Western Europe,1887,1601,44035,9182,23.34,417
6,France,Western Europe,1777,1577,42760,6523,24.06,433
7,Canada,Northern America,1431,1316,32311,4224,22.58,374
8,Japan,Asiatic Region,1421,1285,27603,4503,19.43,408
9,Netherlands,Western Europe,1201,1087,32853,3923,27.35,396
10,Australia,Pacific Region,1164,1054,28759,4044,24.71,358
11,Spain,Western Europe,1162,1056,28545,4079,24.57,312
12,Brazil,Latin America,966,888,14460,2726,14.97,197
13,Russian Federation,Eastern Europe,879,854,6321,1495,7.19,141
14,Switzerland,Western Europe,839,748,23086,2473,27.52,369
15,Sweden,Western Europe,826,753,20983,2172,25.4,316
16,India,Asiatic Region,799,751,10522,2057,13.17,155
17,South Korea,Asiatic Region,794,763,12686,1905,15.98,205
18,Iran,Middle East,546,528,7703,1959,14.11,101
19,Belgium,Western Europe,541,489,18235,1660,33.71,286
20,Denmark,Western Europe,493,455,13126,1218,26.62,258
21,Poland,Eastern Europe,451,420,9438,936,20.93,195
22,Austria,Western Europe,407,369,13824,1131,33.97,280
23,Israel,Middle East,354,328,8650,759,24.44,239
24,Turkey,Middle East,328,296,7328,788,22.34,172
25,Mexico,Latin America,325,311,6717,651,20.67,163
26,South Africa,Africa,299,273,6069,999,20.3,172
27,Taiwan,Asiatic Region,292,275,4962,688,16.99,153
28,Norway,Western Europe,289,266,8167,631,28.26,214
29,Czech Republic,Eastern Europe,277,258,7098,427,25.62,161
30,Portugal,Western Europe,272,251,6845,560,25.17,176
31,Greece,Western Europe,268,216,9078,829,33.87,192
32,Egypt,Africa/Middle East,239,230,4945,731,20.69,101
33,Singapore,Asiatic Region,226,211,7670,501,33.94,169
34,Ireland,Western Europe,214,193,7252,480,33.89,217
35,Thailand,Asiatic Region,207,192,3644,453,17.6,135
36,Argentina,Latin America,202,197,4089,315,20.24,164
37,Finland,Western Europe,193,176,5118,504,26.52,209
38,Saudi Arabia,Middle East,168,154,2607,260,15.52,102
39,Hong Kong,Asiatic Region,139,130,3970,214,28.56,148
40,Chile,Latin America,139,133,2882,266,20.73,102
41,New Zealand,Pacific Region,139,121,4031,301,29.0,147
42,Hungary,Eastern Europe,132,122,4397,214,33.31,163
43,Colombia,Latin America,124,116,2117,178,17.07,95
44,Ukraine,Eastern Europe,86,86,809,139,9.41,55
45,Romania,Eastern Europe,83,75,2385,207,28.73,99
46,Pakistan,Asiatic Region,81,59,1381,186,17.05,64
47,Malaysia,Asiatic Region,77,73,1614,134,20.96,78
