Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,6688,6390,104270,35422,15.59,555
2,China,Asiatic Region,6089,5987,86316,39903,14.18,234
3,Germany,Western Europe,2074,2021,32287,6298,15.57,357
4,United Kingdom,Western Europe,1926,1815,29091,5173,15.1,370
5,Spain,Western Europe,1593,1542,21668,3859,13.6,246
6,France,Western Europe,1566,1504,20435,3421,13.05,306
7,Italy,Western Europe,1536,1489,22792,5418,14.84,215
8,India,Asiatic Region,1503,1472,13923,4248,9.26,181
9,Brazil,Latin America,1246,1219,10959,3199,8.8,167
10,South Korea,Asiatic Region,1161,1149,9586,2003,8.26,166
11,Canada,Northern America,1110,1064,17098,2259,15.4,281
12,Japan,Asiatic Region,1105,1062,10068,1995,9.11,219
13,Australia,Pacific Region,1042,1008,16408,2597,15.75,248
14,Iran,Middle East,775,738,7033,2050,9.07,88
15,Netherlands,Western Europe,726,710,16506,1733,22.74,272
16,Russian Federation,Eastern Europe,604,599,8764,1495,14.51,130
17,Switzerland,Western Europe,539,519,8610,944,15.97,239
18,Belgium,Western Europe,518,502,8908,947,17.2,226
19,Mexico,Latin America,477,461,4552,768,9.54,131
20,Portugal,Western Europe,473,461,5823,1130,12.31,137
21,Sweden,Western Europe,452,444,5906,669,13.07,222
22,Denmark,Western Europe,449,436,6333,768,14.1,212
23,Egypt,Africa/Middle East,439,430,5048,1286,11.5,92
24,South Africa,Africa,397,374,4831,915,12.17,139
25,Poland,Eastern Europe,366,360,4331,803,11.83,112
26,Turkey,Middle East,342,335,3035,504,8.87,92
27,Austria,Western Europe,341,333,5601,579,16.43,179
28,Argentina,Latin America,313,309,2606,339,8.33,119
29,Thailand,Asiatic Region,312,309,2827,552,9.06,115
30,Pakistan,Asiatic Region,309,296,3681,756,11.91,86
31,Saudi Arabia,Middle East,307,305,4646,822,15.13,88
32,Taiwan,Asiatic Region,288,283,3324,383,11.54,125
33,Czech Republic,Eastern Europe,282,278,2554,419,9.06,115
34,Malaysia,Asiatic Region,278,271,2345,635,8.44,81
35,Ireland,Western Europe,270,261,5363,570,19.86,174
36,Israel,Middle East,246,229,2954,376,12.01,155
37,Greece,Western Europe,242,225,5642,565,23.31,113
38,Norway,Western Europe,223,218,2822,292,12.65,153
39,Chile,Latin America,221,217,2219,384,10.04,86
40,New Zealand,Pacific Region,220,214,2782,340,12.65,147
41,Singapore,Asiatic Region,205,197,3094,271,15.09,123
42,Finland,Western Europe,199,196,2165,302,10.88,155
43,Nigeria,Africa,186,178,1519,251,8.17,59
44,Colombia,Latin America,180,177,1605,238,8.92,81
45,Hong Kong,Asiatic Region,163,157,3450,281,21.17,116
46,Viet Nam,Asiatic Region,140,135,1448,166,10.34,70
47,Hungary,Eastern Europe,135,132,1768,268,13.1,95
48,Indonesia,Asiatic Region,127,123,1126,263,8.87,67
49,Bangladesh,Asiatic Region,114,108,1567,259,13.75,63
50,Ethiopia,Africa,107,104,977,190,9.13,51
51,Slovakia,Eastern Europe,102,102,780,170,7.65,71
52,Ukraine,Eastern Europe,97,97,307,85,3.16,42
53,Tunisia,Africa,95,93,889,118,9.36,69
54,Iraq,Middle East,91,90,660,131,7.25,32
55,Serbia,Eastern Europe,90,88,995,109,11.06,44
56,Kenya,Africa,87,86,968,124,11.13,77
57,Morocco,Africa,85,84,823,190,9.68,56
58,Slovenia,Eastern Europe,83,82,1121,78,13.51,79
59,Romania,Eastern Europe,82,81,2771,319,33.79,52
60,Croatia,Eastern Europe,75,75,867,134,11.56,56
61,Algeria,Africa,71,71,511,97,7.2,43
62,Ghana,Africa,62,59,672,128,10.84,57
63,Lebanon,Middle East,58,56,878,107,15.14,45
64,United Arab Emirates,Middle East,58,55,849,109,14.64,44
65,Philippines,Asiatic Region,57,55,323,42,5.67,50
66,Estonia,Eastern Europe,54,53,781,94,14.46,69
67,Peru,Latin America,52,49,552,45,10.62,51
68,Uruguay,Latin America,50,46,442,39,8.84,60
69,Nepal,Asiatic Region,50,44,391,54,7.82,36
70,Ecuador,Latin America,49,46,403,82,8.22,39
71,Uganda,Africa,47,46,358,67,7.62,55
72,Tanzania,Africa,46,44,427,50,9.28,54
73,Jordan,Middle East,42,41,566,88,13.48,39
74,Cameroon,Africa,41,38,426,50,10.39,58
75,Bulgaria,Eastern Europe,35,33,222,25,6.34,57
76,Lithuania,Eastern Europe,35,34,1241,92,35.46,40
77,Qatar,Middle East,34,31,469,45,13.79,35
78,Sudan,Africa,32,31,207,43,6.47,36
79,Sri Lanka,Asiatic Region,29,29,356,25,12.28,42
80,Costa Rica,Latin America,28,28,245,36,8.75,48
81,Senegal,Africa,26,23,321,10,12.35,50
82,Kazakhstan,Asiatic Region,26,26,191,29,7.35,20
83,Latvia,Eastern Europe,26,25,305,30,11.73,30
84,Luxembourg,Western Europe,24,24,159,9,6.63,42
85,Armenia,Eastern Europe,23,23,99,31,4.3,22
86,Cyprus,Western Europe,23,22,215,22,9.35,28
87,Burkina Faso,Africa,21,19,243,9,11.57,46
88,Oman,Middle East,20,20,303,27,15.15,43
89,Kuwait,Middle East,19,19,141,12,7.42,43
90,Syrian Arab Republic,Middle East,18,18,17,2,0.94,17
91,Mozambique,Africa,18,18,108,13,6.0,26
92,Cuba,Latin America,18,18,113,13,6.28,43
93,Malawi,Africa,18,15,197,12,10.94,50
94,Macao,Asiatic Region,17,17,169,15,9.94,18
95,Venezuela,Latin America,16,16,213,12,13.31,56
96,Panama,Latin America,16,16,342,9,21.38,37
97,Belarus,Eastern Europe,16,15,153,14,9.56,21
98,Benin,Africa,16,15,169,13,10.56,34
99,Bosnia and Herzegovina,Eastern Europe,16,16,104,10,6.5,19
100,Myanmar,Asiatic Region,16,15,80,9,5.0,22
101,Cambodia,Asiatic Region,16,15,282,8,17.63,28
102,Mongolia,Asiatic Region,15,14,104,5,6.93,23
