Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1744,1720,85893,39387,49.25,323
2,United Kingdom,Western Europe,624,607,31682,7839,50.77,234
3,Brazil,Latin America,444,437,12389,6203,27.9,141
4,France,Western Europe,370,365,12055,2489,32.58,182
5,Germany,Western Europe,257,252,11597,2339,45.12,190
6,Japan,Asiatic Region,219,217,7772,1392,35.49,141
7,Australia,Pacific Region,217,211,11610,2063,53.5,176
8,China,Asiatic Region,196,195,5948,2586,30.35,141
9,India,Asiatic Region,165,164,4965,1906,30.09,108
10,Canada,Northern America,161,158,9071,1346,56.34,165
11,Switzerland,Western Europe,152,141,8747,1355,57.55,173
12,Spain,Western Europe,149,146,5394,1357,36.2,124
13,Mexico,Latin America,128,128,3454,1138,26.98,90
14,Italy,Western Europe,123,119,6900,1210,56.1,148
15,Netherlands,Western Europe,112,107,4831,681,43.13,154
16,Denmark,Western Europe,92,91,4126,616,44.85,116
17,Argentina,Latin America,91,91,3170,976,34.84,85
18,Belgium,Western Europe,90,87,3221,488,35.79,121
19,Thailand,Asiatic Region,89,88,4050,638,45.51,125
20,Kenya,Africa,87,87,4470,915,51.38,126
21,South Korea,Asiatic Region,76,76,2955,577,38.88,90
22,Sweden,Western Europe,74,72,3908,542,52.81,124
23,Czech Republic,Eastern Europe,65,64,1537,512,23.65,82
24,South Africa,Africa,52,49,2415,420,46.44,111
25,New Zealand,Pacific Region,49,49,1832,278,37.39,90
26,Tanzania,Africa,48,45,2048,415,42.67,94
27,Poland,Eastern Europe,46,46,942,293,20.48,64
28,Israel,Middle East,45,44,1370,176,30.44,99
29,Taiwan,Asiatic Region,42,42,1719,158,40.93,71
30,Cuba,Latin America,42,42,324,96,7.71,44
31,Malaysia,Asiatic Region,42,42,1588,356,37.81,68
32,Ghana,Africa,41,40,1511,271,36.85,76
33,Senegal,Africa,37,36,1012,175,27.35,71
34,Nigeria,Africa,36,36,1112,315,30.89,63
35,Venezuela,Latin America,36,36,1152,174,32.0,62
36,Cameroon,Africa,36,36,1295,259,35.97,72
37,Turkey,Middle East,35,34,993,259,28.37,57
38,Peru,Latin America,35,34,1560,284,44.57,67
39,Egypt,Africa/Middle East,33,33,996,284,30.18,73
40,Uganda,Africa,31,31,1334,252,43.03,83
41,Colombia,Latin America,31,31,1098,284,35.42,69
42,Portugal,Western Europe,30,30,1272,182,42.4,86
43,Finland,Western Europe,30,30,871,193,29.03,72
44,Austria,Western Europe,28,27,1140,122,40.71,85
45,Iran,Middle East,28,25,1000,413,35.71,69
46,Chile,Latin America,27,27,551,182,20.41,48
47,Slovakia,Eastern Europe,26,26,644,135,24.77,47
48,Sudan,Africa,25,24,692,183,27.68,56
49,Burkina Faso,Africa,25,24,891,167,35.64,70
50,Russian Federation,Eastern Europe,23,23,798,161,34.7,61
51,Indonesia,Asiatic Region,23,23,1133,150,49.26,74
52,Viet Nam,Asiatic Region,22,22,1075,184,48.86,74
53,Ireland,Western Europe,22,22,1674,192,76.09,96
54,Philippines,Asiatic Region,21,20,1030,145,49.05,53
55,Malawi,Africa,20,20,876,92,43.8,68
56,Gabon,Africa,19,19,545,69,28.68,53
57,Sri Lanka,Asiatic Region,19,19,856,107,45.05,58
58,Bulgaria,Eastern Europe,15,14,200,27,13.33,36
59,Greece,Western Europe,15,15,603,55,40.2,65
60,Norway,Western Europe,15,15,690,80,46.0,73
61,Ethiopia,Africa,15,15,551,139,36.73,66
62,Tunisia,Africa,14,14,560,174,40.0,49
63,Mali,Africa,14,12,590,93,42.14,57
64,Singapore,Asiatic Region,14,14,1029,59,73.5,87
65,Côte d’Ivoire,Africa,13,13,602,119,46.31,55
66,Papua New Guinea,Pacific Region,13,13,431,34,33.15,49
67,Zambia,Africa,13,13,361,22,27.77,59
68,Zimbabwe,Africa,12,11,564,20,47.0,50
69,Cambodia,Asiatic Region,12,12,452,60,37.67,55
70,Ecuador,Latin America,12,12,508,99,42.33,44
71,Puerto Rico,Latin America,11,11,825,32,75.0,46
72,Bolivia,Latin America,11,11,331,51,30.09,50
73,Costa Rica,Latin America,11,11,311,72,28.27,39
74,Gambia,Africa,10,10,212,19,21.2,64
75,Guatemala,Latin America,10,10,450,37,45.0,39
76,Hungary,Eastern Europe,10,10,614,105,61.4,52
77,Congo,Africa,10,10,380,71,38.0,42
78,Uruguay,Latin America,10,10,198,37,19.8,54
79,Madagascar,Africa,10,9,138,20,13.8,43
80,Bangladesh,Asiatic Region,9,9,430,77,47.78,63
81,Benin,Africa,9,9,291,57,32.33,51
82,Morocco,Africa,8,8,219,100,27.38,40
83,Laos,Asiatic Region,8,7,382,66,47.75,44
84,New Caledonia,Pacific Region,8,8,235,55,29.38,28
85,Pakistan,Asiatic Region,8,7,340,49,42.5,59
86,French Guiana,Latin America,7,7,112,31,16.0,34
87,Saudi Arabia,Middle East,7,7,122,16,17.43,58
88,Iraq,Middle East,6,6,76,14,12.67,22
89,Ukraine,Eastern Europe,6,6,150,53,25.0,31
90,Nepal,Asiatic Region,6,6,181,13,30.17,46
91,Iceland,Western Europe,5,5,70,7,14.0,24
92,Central African Republic,Africa,5,5,106,25,21.2,23
93,Croatia,Eastern Europe,5,5,124,12,24.8,36
94,Lithuania,Eastern Europe,5,3,170,32,34.0,48
95,Oman,Middle East,4,3,155,25,38.75,23
96,Mozambique,Africa,4,2,90,23,22.5,50
97,Angola,Africa,4,4,136,16,34.0,26
98,Niger,Africa,4,4,92,16,23.0,31
99,Honduras,Latin America,4,4,96,8,24.0,26
100,Serbia,Eastern Europe,4,4,94,21,23.5,33
101,Nicaragua,Latin America,4,4,411,39,102.75,30
102,Haïti,Latin America,4,4,102,15,25.5,27
103,Chad,Africa,3,3,86,24,28.67,20
104,Guyana,Latin America,3,3,31,3,10.33,13
105,Hong Kong,Asiatic Region,3,3,68,6,22.67,44
106,Jordan,Middle East,3,3,66,3,22.0,31
107,Kuwait,Middle East,3,3,43,4,14.33,24
108,Lebanon,Middle East,3,3,57,10,19.0,27
109,Mongolia,Asiatic Region,3,3,81,13,27.0,23
110,Panama,Latin America,3,3,170,16,56.67,35
111,French Polynesia,Pacific Region,3,3,31,6,10.33,25
112,Paraguay,Latin America,3,3,291,18,97.0,23
113,Rwanda,Africa,3,2,37,11,12.33,36
114,Palestine,Middle East,2,2,13,9,6.5,22
115,Qatar,Middle East,2,2,52,7,26.0,25
116,Libya,Africa,2,2,85,2,42.5,28
117,Kazakhstan,Asiatic Region,2,2,29,0,14.5,19
118,Jamaica,Latin America,2,2,73,5,36.5,22
119,Guinea,Africa,2,2,49,23,24.5,23
120,Slovenia,Eastern Europe,2,2,90,7,45.0,32
121,Grenada,Latin America,2,2,308,14,154.0,25
122,United Arab Emirates,Middle East,2,2,39,3,19.5,31
123,Togo,Africa,2,2,27,0,13.5,21
124,Estonia,Eastern Europe,2,2,56,0,28.0,33
125,Trinidad and Tobago,Latin America,2,2,96,15,48.0,32
126,Algeria,Africa,2,2,58,11,29.0,31
127,Djibouti,Africa,2,2,22,0,11.0,11
128,Burundi,Africa,2,2,25,2,12.5,25
129,Bahrain,Middle East,2,2,123,0,61.5,14
130,Yemen,Middle East,2,2,48,4,24.0,27
131,Mayotte,Africa,2,2,3,0,1.5,6
132,Albania,Eastern Europe,2,2,55,7,27.5,17
133,Botswana,Africa,1,1,188,13,188.0,22
134,Brunei Darussalam,Asiatic Region,1,1,19,2,19.0,14
135,Myanmar,Asiatic Region,1,1,26,4,26.0,36
136,Antigua and Barbuda,Latin America,1,1,42,0,42.0,3
137,Fiji,Pacific Region,1,1,29,1,29.0,14
138,Reunion,Africa,1,1,1,0,1.0,13
139,Eritrea,Africa,1,1,54,6,54.0,14
140,Martinique,Latin America,1,1,21,0,21.0,15
141,Afghanistan,Asiatic Region,1,1,26,4,26.0,20
142,Comoros,Africa,1,1,2,0,2.0,10
143,Mauritania,Africa,1,1,112,9,112.0,22
144,Guinea-Bissau,Africa,1,1,11,3,11.0,20
145,Barbados,Latin America,1,0,1,0,1.0,10
146,Vanuatu,Pacific Region,1,1,30,4,30.0,18
147,Georgia,Eastern Europe,1,1,26,0,26.0,14
148,Sierra Leone,Africa,1,1,35,10,35.0,22
149,Democratic Republic Congo,Africa,1,1,20,5,20.0,23
150,Suriname,Latin America,1,1,11,1,11.0,16
151,Sao Tome and Principe,Africa,1,1,16,4,16.0,16
152,El Salvador,Latin America,1,1,48,0,48.0,11
