Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,16648,16034,1269493,558389,76.25,988
2,United Kingdom,Western Europe,4753,4538,335843,62056,70.66,628
3,Japan,Asiatic Region,4321,4266,208102,38859,48.16,470
4,Germany,Western Europe,3911,3798,265100,51905,67.78,601
5,France,Western Europe,3214,3102,203177,33896,63.22,517
6,China,Asiatic Region,2413,2401,74415,28104,30.84,372
7,Canada,Northern America,2105,2021,142971,19766,67.92,471
8,Italy,Western Europe,2048,1929,131569,24161,64.24,466
9,Spain,Western Europe,1966,1871,97734,18956,49.71,402
10,Netherlands,Western Europe,1726,1646,130555,16997,75.64,478
11,Australia,Pacific Region,1452,1408,95163,14189,65.54,435
12,Brazil,Latin America,1441,1420,50202,16192,34.84,257
13,India,Asiatic Region,1437,1395,48170,16300,33.52,285
14,South Korea,Asiatic Region,1352,1349,50118,9797,37.07,276
15,Sweden,Western Europe,1147,1118,72925,8287,63.58,389
16,Switzerland,Western Europe,1119,1071,90755,9233,81.1,447
17,Belgium,Western Europe,915,883,61899,6352,67.65,369
18,Denmark,Western Europe,769,743,56097,5789,72.95,335
19,Russian Federation,Eastern Europe,730,728,17931,2973,24.56,199
20,Turkey,Middle East,576,544,24142,4042,41.91,201
21,Austria,Western Europe,563,545,41633,4703,73.95,331
22,Taiwan,Asiatic Region,534,528,22422,3372,41.99,189
23,Poland,Eastern Europe,530,522,13271,2470,25.04,220
24,Finland,Western Europe,516,497,31939,3531,61.9,270
25,Israel,Middle East,487,467,30233,2769,62.08,294
26,Mexico,Latin America,484,468,19898,3496,41.11,213
27,Argentina,Latin America,454,448,17908,3049,39.44,194
28,Norway,Western Europe,416,406,24587,3014,59.1,258
29,South Africa,Africa,413,400,22459,3766,54.38,225
30,Czech Republic,Eastern Europe,370,365,10698,1950,28.91,207
31,Ireland,Western Europe,321,313,23591,2372,73.49,276
32,Thailand,Asiatic Region,316,310,14183,1949,44.88,179
33,Greece,Western Europe,314,297,15246,1477,48.55,217
34,New Zealand,Pacific Region,312,305,19849,1886,63.62,222
35,Portugal,Western Europe,299,296,15145,2101,50.65,230
36,Nigeria,Africa,232,231,8182,1745,35.27,102
37,Iran,Middle East,226,213,5951,1938,26.33,150
38,Hungary,Eastern Europe,224,213,11010,996,49.15,198
39,Singapore,Asiatic Region,221,216,11011,908,49.82,224
40,Hong Kong,Asiatic Region,181,176,11335,1083,62.62,194
41,Slovakia,Eastern Europe,154,151,3882,590,25.21,111
42,Kenya,Africa,147,146,7156,1240,48.68,148
43,Egypt,Africa/Middle East,147,145,6156,776,41.88,140
44,Malaysia,Asiatic Region,139,139,5276,1098,37.96,144
45,Cuba,Latin America,133,132,2471,541,18.58,88
46,Bulgaria,Eastern Europe,124,123,2762,273,22.27,104
47,Chile,Latin America,121,119,4734,648,39.12,136
48,Tunisia,Africa,99,99,3759,699,37.97,96
49,Colombia,Latin America,94,94,3718,576,39.55,127
50,Venezuela,Latin America,91,89,3198,317,35.14,101
51,Slovenia,Eastern Europe,89,86,3023,448,33.97,125
52,Uganda,Africa,74,66,3463,439,46.8,110
53,Tanzania,Africa,67,64,2614,490,39.01,109
54,Ghana,Africa,65,61,2643,373,40.66,91
55,Croatia,Eastern Europe,64,63,3547,349,55.42,111
56,Indonesia,Asiatic Region,62,62,3002,297,48.42,106
57,Cameroon,Africa,61,61,2454,402,40.23,90
58,Viet Nam,Asiatic Region,60,60,3643,404,60.72,111
59,Peru,Latin America,55,54,2230,350,40.55,100
60,Senegal,Africa,55,54,1690,221,30.73,90
61,Pakistan,Asiatic Region,54,52,1494,225,27.67,132
62,Burkina Faso,Africa,48,47,1661,254,34.6,83
63,Morocco,Africa,48,48,1836,292,38.25,85
64,Iceland,Western Europe,47,47,2535,155,53.94,98
65,Saudi Arabia,Middle East,45,44,1574,135,34.98,141
66,Bangladesh,Asiatic Region,45,43,2749,310,61.09,101
67,Ethiopia,Africa,43,42,1561,245,36.3,84
68,Ukraine,Eastern Europe,41,40,887,141,21.63,81
69,Uruguay,Latin America,39,39,1684,124,43.18,84
70,Philippines,Asiatic Region,38,37,1852,181,48.74,93
71,Estonia,Eastern Europe,36,36,1772,139,49.22,112
72,Lithuania,Eastern Europe,36,34,830,88,23.06,93
73,Zimbabwe,Africa,35,34,1743,157,49.8,79
74,Serbia,Eastern Europe,35,35,1233,162,35.23,101
75,Sudan,Africa,34,33,1032,204,30.35,68
76,Gabon,Africa,33,33,1131,111,34.27,72
77,Zambia,Africa,32,31,1019,107,31.84,82
78,Puerto Rico,Latin America,32,31,3510,72,109.69,95
79,Kuwait,Middle East,32,32,1028,120,32.13,72
80,Malawi,Africa,31,31,1091,111,35.19,89
81,Côte d’Ivoire,Africa,30,29,927,149,30.9,77
82,United Arab Emirates,Middle East,30,30,992,91,33.07,87
83,Lebanon,Middle East,28,25,672,61,24.0,79
84,Gambia,Africa,27,26,1101,105,40.78,86
85,Sri Lanka,Asiatic Region,25,25,1143,126,45.72,75
86,Costa Rica,Latin America,24,24,1672,143,69.67,75
87,Belarus,Eastern Europe,22,22,337,20,15.32,45
88,Romania,Eastern Europe,20,20,888,81,44.4,119
89,Bolivia,Latin America,20,20,733,75,36.65,60
90,Mali,Africa,20,18,976,146,48.8,70
91,Congo,Africa,19,19,749,90,39.42,60
92,Cambodia,Asiatic Region,19,18,643,73,33.84,68
93,Jordan,Middle East,19,19,432,31,22.74,66
94,Algeria,Africa,16,16,516,61,32.25,64
95,Benin,Africa,16,16,752,92,47.0,66
96,Latvia,Eastern Europe,16,16,358,29,22.38,71
97,Luxembourg,Western Europe,15,15,708,35,47.2,92
98,Ecuador,Latin America,15,15,576,102,38.4,69
99,Papua New Guinea,Pacific Region,14,14,511,39,36.5,55
100,Botswana,Africa,13,13,593,29,45.62,44
101,Nepal,Asiatic Region,13,11,239,22,18.38,61
102,Guinea-Bissau,Africa,12,11,459,127,38.25,41
103,Madagascar,Africa,12,11,185,23,15.42,57
104,French Guiana,Latin America,12,12,402,54,33.5,47
105,Guatemala,Latin America,12,12,457,37,38.08,49
106,New Caledonia,Pacific Region,11,11,393,76,35.73,44
107,Trinidad and Tobago,Latin America,11,11,406,43,36.91,47
108,Mozambique,Africa,10,8,208,34,20.8,60
109,Laos,Asiatic Region,10,9,490,76,49.0,50
110,Guadeloupe,Latin America,9,9,301,17,33.44,38
111,Cyprus,Western Europe,9,8,228,10,25.33,62
112,Oman,Middle East,9,8,242,26,26.89,64
113,Mongolia,Asiatic Region,8,8,277,52,34.63,41
114,Panama,Latin America,7,7,573,75,81.86,74
115,Libya,Africa,7,7,128,3,18.29,39
116,Honduras,Latin America,7,7,115,10,16.43,30
117,Iraq,Middle East,7,6,84,17,12.0,46
118,Barbados,Latin America,7,6,631,7,90.14,28
119,Nicaragua,Latin America,7,7,471,41,67.29,40
120,Georgia,Eastern Europe,6,6,121,9,20.17,56
121,Niger,Africa,6,6,121,16,20.17,46
122,Paraguay,Latin America,6,6,350,27,58.33,38
123,Central African Republic,Africa,6,6,128,26,21.33,38
124,Angola,Africa,6,6,180,34,30.0,29
125,Haïti,Latin America,5,5,124,20,24.8,31
126,Kazakhstan,Asiatic Region,5,5,62,11,12.4,42
127,Jamaica,Latin America,5,5,100,6,20.0,34
128,Chad,Africa,5,5,157,31,31.4,29
129,Armenia,Eastern Europe,5,5,200,22,40.0,38
130,Bahrain,Middle East,5,5,399,3,79.8,32
131,Palestine,Middle East,4,4,58,12,14.5,41
132,Mauritius,Africa,4,4,182,3,45.5,27
133,French Polynesia,Pacific Region,4,4,101,11,25.25,43
134,Martinique,Latin America,4,4,100,0,25.0,30
135,Myanmar,Asiatic Region,4,4,131,9,32.75,44
136,Albania,Eastern Europe,4,4,83,14,20.75,37
137,Rwanda,Africa,4,3,50,14,12.5,54
138,Togo,Africa,4,4,50,6,12.5,30
139,Uzbekistan,Asiatic Region,4,4,128,5,32.0,38
140,Qatar,Middle East,3,3,113,10,37.67,69
141,Guyana,Latin America,3,3,31,3,10.33,21
142,Fiji,Pacific Region,3,3,209,4,69.67,32
143,Syrian Arab Republic,Middle East,3,3,131,2,43.67,36
144,Antigua and Barbuda,Latin America,3,3,129,0,43.0,8
145,Yemen,Middle East,3,3,58,4,19.33,33
146,Guinea,Africa,3,3,252,23,84.0,41
147,Malta,Western Europe,3,3,56,14,18.67,51
148,Mayotte,Africa,2,2,3,0,1.5,7
149,Grenada,Latin America,2,2,308,14,154.0,30
150,Andorra,Western Europe,2,1,0,0,0.0,10
151,Dominican Republic,Latin America,2,2,37,1,18.5,25
152,Djibouti,Africa,2,2,22,0,11.0,13
153,El Salvador,Latin America,2,2,78,0,39.0,24
154,Namibia,Africa,2,2,39,4,19.5,33
155,Democratic Republic Congo,Africa,2,2,37,5,18.5,29
156,Burundi,Africa,2,2,25,2,12.5,27
157,Afghanistan,Asiatic Region,2,2,26,4,13.0,24
158,Macao,Asiatic Region,1,1,86,1,86.0,59
159,Maldives,Asiatic Region,1,1,13,0,13.0,7
160,Federated States of Micronesia,Pacific Region,1,1,5,0,5.0,8
161,Monaco,Western Europe,1,1,45,0,45.0,35
162,Brunei Darussalam,Asiatic Region,1,1,19,2,19.0,24
163,Mauritania,Africa,1,1,112,9,112.0,25
164,Comoros,Africa,1,1,2,0,2.0,12
165,Guam,Pacific Region,1,1,121,0,121.0,11
