Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2608,2585,131830,45388,50.55,450
2,China,Asiatic Region,963,959,43159,18500,44.82,374
3,Japan,Asiatic Region,813,811,40606,7755,49.95,250
4,Germany,Western Europe,733,731,36057,7358,49.19,264
5,United Kingdom,Western Europe,649,642,36404,5512,56.09,262
6,France,Western Europe,519,518,21419,3975,41.27,207
7,Italy,Western Europe,377,362,15682,3074,41.6,190
8,Canada,Northern America,360,358,17937,2512,49.83,200
9,South Korea,Asiatic Region,287,285,19127,2780,66.64,239
10,Spain,Western Europe,235,233,10810,2092,46.0,164
11,Netherlands,Western Europe,226,222,13529,1778,59.86,204
12,Switzerland,Western Europe,225,224,11153,1420,49.57,188
13,India,Asiatic Region,210,210,12372,3193,58.91,203
14,Australia,Pacific Region,198,197,8857,1419,44.73,215
15,Taiwan,Asiatic Region,196,196,8467,1118,43.2,170
16,Sweden,Western Europe,186,186,10081,1480,54.2,154
17,Poland,Eastern Europe,136,135,5334,780,39.22,103
18,Brazil,Latin America,134,133,3704,956,27.64,121
19,Singapore,Asiatic Region,126,125,10266,989,81.48,232
20,Israel,Middle East,97,97,4811,645,49.6,129
21,Austria,Western Europe,92,92,5185,636,56.36,114
22,Belgium,Western Europe,91,90,2749,309,30.21,141
23,Finland,Western Europe,90,90,2949,434,32.77,119
24,Russian Federation,Eastern Europe,89,89,1362,329,15.3,101
25,Turkey,Middle East,85,82,2777,510,32.67,110
26,Portugal,Western Europe,73,73,4368,630,59.84,148
27,Hong Kong,Asiatic Region,72,71,6024,413,83.67,171
28,Czech Republic,Eastern Europe,66,66,1305,436,19.77,83
29,Mexico,Latin America,57,57,2147,233,37.67,75
30,Ireland,Western Europe,54,54,2769,171,51.28,119
31,Greece,Western Europe,52,52,1731,196,33.29,86
32,Tunisia,Africa,50,50,1033,192,20.66,48
33,Ukraine,Eastern Europe,46,46,1041,262,22.63,52
34,Denmark,Western Europe,43,42,1127,159,26.21,95
35,Romania,Eastern Europe,42,42,628,141,14.95,61
36,Iran,Middle East,40,40,1407,349,35.18,126
37,Argentina,Latin America,40,39,1787,176,44.68,77
38,Norway,Western Europe,38,38,2297,266,60.45,83
39,Thailand,Asiatic Region,29,29,1619,228,55.83,77
40,Latvia,Eastern Europe,24,24,481,88,20.04,36
41,Bulgaria,Eastern Europe,24,24,760,214,31.67,54
42,Hungary,Eastern Europe,23,23,968,95,42.09,64
43,Egypt,Africa/Middle East,22,22,817,132,37.14,85
44,New Zealand,Pacific Region,18,18,4203,111,233.5,73
45,Slovakia,Eastern Europe,16,16,614,91,38.38,44
46,Belarus,Eastern Europe,13,13,106,13,8.15,27
47,South Africa,Africa,12,12,403,100,33.58,77
48,Slovenia,Eastern Europe,11,11,446,32,40.55,68
49,Chile,Latin America,10,10,215,55,21.5,56
50,Algeria,Africa,10,10,497,23,49.7,39
51,Croatia,Eastern Europe,9,9,244,48,27.11,46
52,Serbia,Eastern Europe,9,9,317,54,35.22,46
53,Indonesia,Asiatic Region,8,8,359,6,44.88,48
54,Cyprus,Western Europe,7,7,260,39,37.14,29
55,Lithuania,Eastern Europe,7,7,386,21,55.14,34
56,Jordan,Middle East,7,7,314,14,44.86,32
57,Saudi Arabia,Middle East,6,6,243,93,40.5,129
58,Malaysia,Asiatic Region,6,6,171,26,28.5,101
59,Lebanon,Middle East,6,6,151,14,25.17,29
60,Estonia,Eastern Europe,6,6,127,29,21.17,31
61,Venezuela,Latin America,6,6,231,9,38.5,33
62,Azerbaijan,Eastern Europe,5,5,14,5,2.8,15
63,Philippines,Asiatic Region,5,5,115,20,23.0,23
64,Cuba,Latin America,5,5,257,21,51.4,34
65,Nigeria,Africa,4,4,47,16,11.75,44
66,Puerto Rico,Latin America,3,3,137,16,45.67,30
67,Bangladesh,Asiatic Region,3,3,93,3,31.0,35
68,Colombia,Latin America,3,3,145,9,48.33,44
69,Kuwait,Middle East,3,3,263,5,87.67,32
70,Sri Lanka,Asiatic Region,3,3,86,29,28.67,21
71,Pakistan,Asiatic Region,3,3,169,27,56.33,71
72,Uruguay,Latin America,3,3,97,23,32.33,20
73,Viet Nam,Asiatic Region,3,3,35,2,11.67,47
74,Iceland,Western Europe,2,2,75,16,37.5,20
75,Iraq,Middle East,2,2,11,6,5.5,53
76,Bahrain,Middle East,2,2,35,0,17.5,16
77,United Arab Emirates,Middle East,2,2,14,1,7.0,42
78,Morocco,Africa,2,2,127,6,63.5,46
79,Uzbekistan,Asiatic Region,2,2,166,20,83.0,12
80,Armenia,Eastern Europe,2,2,49,27,24.5,12
81,Mali,Africa,2,2,123,24,61.5,6
82,Oman,Middle East,2,2,13,2,6.5,28
83,Kazakhstan,Asiatic Region,2,2,50,6,25.0,27
84,Syrian Arab Republic,Middle East,1,1,3,0,3.0,12
85,Georgia,Eastern Europe,1,1,24,1,24.0,22
86,Costa Rica,Latin America,1,1,73,2,73.0,17
87,Cameroon,Africa,1,1,32,4,32.0,13
88,Belize,Latin America,1,1,98,5,98.0,1
89,Bosnia and Herzegovina,Eastern Europe,1,1,103,7,103.0,11
90,Yemen,Middle East,1,1,0,0,0.0,20
91,Macedonia,Eastern Europe,1,1,20,1,20.0,13
92,Peru,Latin America,1,1,118,10,118.0,23
93,Albania,Eastern Europe,1,1,4,0,4.0,3
94,Moldova,Eastern Europe,1,1,3,0,3.0,11
95,Palestine,Middle East,1,1,21,1,21.0,27
96,Monaco,Western Europe,1,1,22,2,22.0,4
97,Luxembourg,Western Europe,1,1,9,0,9.0,22
98,Liechtenstein,Western Europe,1,1,137,8,137.0,14
99,Sudan,Africa,1,1,2,0,2.0,18
