Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,12100,12077,157928,115598,13.05,334
2,United States,Northern America,2809,2776,37963,9809,13.51,468
3,India,Asiatic Region,1932,1851,24107,9542,12.48,224
4,Japan,Asiatic Region,1337,1325,10450,2860,7.82,284
5,Germany,Western Europe,1299,1290,12655,2878,9.74,293
6,United Kingdom,Western Europe,1209,1191,14555,2557,12.04,295
7,Russian Federation,Eastern Europe,1074,1038,7081,2754,6.59,126
8,South Korea,Asiatic Region,1049,1046,13327,3132,12.7,237
9,France,Western Europe,912,903,8260,1677,9.06,238
10,Iran,Middle East,877,874,12490,4701,14.24,134
11,Australia,Pacific Region,628,624,13006,1989,20.71,223
12,Brazil,Latin America,614,609,5363,1402,8.73,123
13,Spain,Western Europe,538,511,4904,968,9.12,179
14,Italy,Western Europe,525,522,5871,1585,11.18,205
15,Saudi Arabia,Middle East,525,521,11364,4655,21.65,114
16,Turkey,Middle East,514,514,7562,2411,14.71,132
17,Canada,Northern America,510,505,6794,1224,13.32,197
18,Egypt,Africa/Middle East,432,428,8669,3454,20.07,97
19,Pakistan,Asiatic Region,412,412,6057,2089,14.7,69
20,Poland,Eastern Europe,381,379,4131,960,10.84,112
21,Ukraine,Eastern Europe,348,345,1098,439,3.16,75
22,Malaysia,Asiatic Region,325,320,4711,1421,14.5,112
23,Czech Republic,Eastern Europe,277,275,1628,338,5.88,93
24,Taiwan,Asiatic Region,257,251,2757,491,10.73,165
25,Viet Nam,Asiatic Region,240,221,4374,1087,18.23,69
26,Singapore,Asiatic Region,238,237,4046,532,17.0,199
27,Portugal,Western Europe,218,199,2332,404,10.7,152
28,Netherlands,Western Europe,214,211,2433,377,11.37,192
29,Belgium,Western Europe,209,205,2192,319,10.49,155
30,Thailand,Asiatic Region,204,203,2169,560,10.63,78
31,Hong Kong,Asiatic Region,204,203,4267,454,20.92,174
32,Switzerland,Western Europe,194,188,2614,323,13.47,191
33,Sweden,Western Europe,191,187,2238,332,11.72,156
34,Austria,Western Europe,188,188,1769,347,9.41,114
35,Indonesia,Asiatic Region,146,133,1294,364,8.86,43
36,Mexico,Latin America,127,124,964,147,7.59,82
37,Finland,Western Europe,121,121,1573,282,13.0,98
38,Slovakia,Eastern Europe,111,111,1009,164,9.09,62
39,Iraq,Middle East,108,107,1963,551,18.18,48
40,Denmark,Western Europe,107,107,1144,201,10.69,109
41,South Africa,Africa,97,96,1425,228,14.69,86
42,Algeria,Africa,94,94,935,236,9.95,63
43,Tunisia,Africa,80,80,797,153,9.96,57
44,Hungary,Eastern Europe,78,78,799,107,10.24,78
45,Greece,Western Europe,77,75,486,84,6.31,105
46,United Arab Emirates,Middle East,77,75,1434,269,18.62,59
47,Israel,Middle East,75,73,488,117,6.51,120
48,Romania,Eastern Europe,73,71,683,129,9.36,69
49,Ireland,Western Europe,72,72,1042,147,14.47,115
50,Norway,Western Europe,68,68,747,87,10.99,90
51,Nigeria,Africa,66,66,1035,287,15.68,40
52,Morocco,Africa,65,65,906,268,13.94,49
53,New Zealand,Pacific Region,64,64,936,87,14.63,93
54,Serbia,Eastern Europe,63,62,490,115,7.78,56
55,Argentina,Latin America,60,60,312,48,5.2,71
56,Colombia,Latin America,51,50,671,72,13.16,41
57,Qatar,Middle East,51,45,965,147,18.92,45
58,Slovenia,Eastern Europe,50,50,568,106,11.36,77
59,Bangladesh,Asiatic Region,49,49,595,83,12.14,45
60,Kazakhstan,Asiatic Region,48,48,644,101,13.42,27
61,Chile,Latin America,43,43,357,75,8.3,47
62,Lithuania,Eastern Europe,37,37,187,47,5.05,31
