Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,17010,16982,301527,173772,17.73,427
2,United States,Northern America,16597,16469,431501,153799,26.0,632
3,Japan,Asiatic Region,6773,6743,134383,39992,19.84,380
4,Germany,Western Europe,6151,6121,158238,43432,25.73,408
5,France,Western Europe,4353,4330,101538,24316,23.33,321
6,South Korea,Asiatic Region,4033,4016,84023,19083,20.83,273
7,United Kingdom,Western Europe,3465,3444,102904,19777,29.7,373
8,Taiwan,Asiatic Region,2993,2978,45303,9701,15.14,197
9,India,Asiatic Region,2714,2703,62506,22722,23.03,257
10,Russian Federation,Eastern Europe,2658,2654,34620,14582,13.02,220
11,Italy,Western Europe,2337,2318,53706,13015,22.98,254
12,Canada,Northern America,2039,2028,42590,8379,20.89,262
13,Spain,Western Europe,1987,1976,51224,10537,25.78,257
14,Australia,Pacific Region,1235,1223,42785,6548,34.64,276
15,Netherlands,Western Europe,1210,1200,34674,5263,28.66,254
16,Switzerland,Western Europe,1190,1180,37522,5423,31.53,271
17,Singapore,Asiatic Region,1088,1083,31809,3768,29.24,228
18,Poland,Eastern Europe,1028,1022,16141,4845,15.7,149
19,Belgium,Western Europe,1004,998,28967,4331,28.85,209
20,Brazil,Latin America,845,843,14355,3290,16.99,158
21,Iran,Middle East,837,837,17008,5419,20.32,159
22,Sweden,Western Europe,825,815,27426,4170,33.24,212
23,Romania,Eastern Europe,778,777,6313,2145,8.11,100
24,Turkey,Middle East,638,635,15064,3754,23.61,145
25,Hong Kong,Asiatic Region,615,612,20065,2413,32.63,203
26,Ukraine,Eastern Europe,610,608,8065,2722,13.22,118
27,Austria,Western Europe,591,587,17047,2574,28.84,181
28,Malaysia,Asiatic Region,583,580,8073,2569,13.85,117
29,Mexico,Latin America,575,568,8951,1490,15.57,123
30,Czech Republic,Eastern Europe,575,575,10738,2283,18.67,140
31,Israel,Middle East,561,557,13465,2203,24.0,173
32,Finland,Western Europe,485,481,10428,1739,21.5,156
33,Denmark,Western Europe,453,449,23233,2445,51.29,192
34,Ireland,Western Europe,412,408,10810,1377,26.24,144
35,Portugal,Western Europe,392,388,8954,1572,22.84,142
36,Greece,Western Europe,356,350,8211,1220,23.06,133
37,Egypt,Africa/Middle East,305,304,6750,1878,22.13,109
38,Thailand,Asiatic Region,286,285,3552,813,12.42,89
39,Argentina,Latin America,223,222,5149,817,23.09,104
40,Norway,Western Europe,214,213,6068,646,28.36,120
41,Hungary,Eastern Europe,210,209,4823,853,22.97,113
42,Chile,Latin America,195,195,3179,683,16.3,79
43,Slovenia,Eastern Europe,183,182,3294,652,18.0,91
44,Lithuania,Eastern Europe,178,178,1299,351,7.3,70
45,Saudi Arabia,Middle East,171,170,7521,1091,43.98,163
46,Bulgaria,Eastern Europe,160,160,3270,515,20.44,89
47,New Zealand,Pacific Region,152,150,3543,530,23.31,99
48,Belarus,Eastern Europe,148,146,1958,393,13.23,84
49,Slovakia,Eastern Europe,141,141,2094,464,14.85,76
50,South Africa,Africa,138,138,3236,693,23.45,118
51,Algeria,Africa,133,133,2328,481,17.5,74
52,Pakistan,Asiatic Region,115,115,2515,566,21.87,109
53,Tunisia,Africa,115,115,1669,522,14.51,74
