Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,20952,20816,421059,267355,20.1,422
2,United States,Northern America,8468,8349,237540,75123,28.05,643
3,Japan,Asiatic Region,4589,4525,78695,23249,17.15,377
4,Germany,Western Europe,3841,3794,90791,22826,23.64,380
5,India,Asiatic Region,3734,3720,100527,36806,26.92,283
6,South Korea,Asiatic Region,2991,2980,71455,15192,23.89,285
7,France,Western Europe,2449,2432,66498,13721,27.15,346
8,Russian Federation,Eastern Europe,2299,2293,22803,11074,9.92,183
9,United Kingdom,Western Europe,2189,2150,64381,11512,29.41,365
10,Iran,Middle East,1571,1568,40869,13553,26.01,173
11,Spain,Western Europe,1563,1549,41881,8533,26.8,249
12,Canada,Northern America,1537,1530,37712,7144,24.54,291
13,Italy,Western Europe,1431,1415,41190,9167,28.78,261
14,Taiwan,Asiatic Region,1301,1288,25163,4530,19.34,213
15,Poland,Eastern Europe,1272,1254,23279,6596,18.3,161
16,Australia,Pacific Region,1017,1007,33741,5398,33.18,266
17,Turkey,Middle East,986,985,18890,5104,19.16,151
18,Brazil,Latin America,851,847,16159,4114,18.99,175
19,Romania,Eastern Europe,759,754,8442,3381,11.12,107
20,Sweden,Western Europe,702,693,21461,3190,30.57,223
21,Czech Republic,Eastern Europe,618,611,12322,2962,19.94,150
22,Switzerland,Western Europe,603,597,20693,2941,34.32,252
23,Saudi Arabia,Middle East,578,576,18071,3155,31.26,162
24,Malaysia,Asiatic Region,538,534,16761,3226,31.15,137
25,Netherlands,Western Europe,527,525,16445,2419,31.2,240
26,Belgium,Western Europe,499,492,13247,1999,26.55,200
27,Ukraine,Eastern Europe,470,468,5244,1709,11.16,104
28,Austria,Western Europe,465,460,9370,1716,20.15,159
29,Portugal,Western Europe,449,440,16471,2933,36.68,168
30,Egypt,Africa/Middle East,437,436,11585,2918,26.51,123
31,Singapore,Asiatic Region,429,422,14548,1696,33.91,222
32,Mexico,Latin America,376,374,6317,1342,16.8,131
33,Hong Kong,Asiatic Region,368,362,12575,1292,34.17,194
34,South Africa,Africa,338,335,6604,1196,19.54,136
35,Thailand,Asiatic Region,326,325,6483,1146,19.89,114
36,Finland,Western Europe,324,320,8356,1479,25.79,152
37,Greece,Western Europe,284,278,6250,1315,22.01,154
38,Pakistan,Asiatic Region,282,280,6540,1837,23.19,108
39,Denmark,Western Europe,281,280,8011,1299,28.51,159
40,Morocco,Africa,278,278,3255,1047,11.71,87
41,Slovakia,Eastern Europe,258,254,3622,701,14.04,96
42,Algeria,Africa,230,230,3409,769,14.82,76
43,Israel,Middle East,224,220,6622,1084,29.56,181
44,Tunisia,Africa,204,203,4935,1451,24.19,79
45,Argentina,Latin America,201,200,5788,683,28.8,109
46,Norway,Western Europe,195,193,5000,623,25.64,133
47,Serbia,Eastern Europe,194,187,3135,727,16.16,73
48,Hungary,Eastern Europe,171,164,3222,622,18.84,117
49,New Zealand,Pacific Region,171,169,4944,434,28.91,125
50,Ireland,Western Europe,161,161,4275,611,26.55,134
51,Slovenia,Eastern Europe,138,134,3309,466,23.98,99
52,Chile,Latin America,135,134,2511,495,18.6,84
53,Belarus,Eastern Europe,92,92,951,291,10.34,82
54,Croatia,Eastern Europe,91,86,1396,188,15.34,72
55,Bulgaria,Eastern Europe,91,91,1408,260,15.47,94
56,Colombia,Latin America,85,85,1597,336,18.79,67
57,Viet Nam,Asiatic Region,83,83,2311,285,27.84,74
58,Lithuania,Eastern Europe,77,76,2065,275,26.82,65
59,United Arab Emirates,Middle East,63,61,1182,150,18.76,69
60,Estonia,Eastern Europe,58,57,961,225,16.57,75
61,Nigeria,Africa,57,57,882,189,15.47,66
62,Kazakhstan,Asiatic Region,49,41,522,100,10.65,44
63,Indonesia,Asiatic Region,48,48,2063,247,42.98,59
64,Bangladesh,Asiatic Region,43,43,2262,230,52.6,72
65,Qatar,Middle East,42,41,990,99,23.57,65
66,Latvia,Eastern Europe,41,41,543,121,13.24,54
67,Venezuela,Latin America,37,37,732,89,19.78,76
68,Jordan,Middle East,36,36,585,70,16.25,51
69,Iraq,Middle East,36,36,665,136,18.47,57
70,Luxembourg,Western Europe,35,34,677,49,19.34,48
71,Moldova,Eastern Europe,35,35,405,81,11.57,56
72,Azerbaijan,Eastern Europe,32,32,426,151,13.31,41
73,Cyprus,Western Europe,28,28,529,124,18.89,52
74,Puerto Rico,Latin America,28,28,413,12,14.75,51
75,Uruguay,Latin America,23,23,551,91,23.96,38
76,Palestine,Middle East,21,21,333,46,15.86,41
77,Uzbekistan,Asiatic Region,20,20,169,21,8.45,35
78,Oman,Middle East,19,19,458,38,24.11,46
79,Philippines,Asiatic Region,18,18,577,34,32.06,44
80,Liechtenstein,Western Europe,18,18,463,91,25.72,51
81,Kuwait,Middle East,17,17,260,42,15.29,45
82,Ghana,Africa,16,16,277,17,17.31,26
83,Peru,Latin America,16,16,283,17,17.69,37
84,Lebanon,Middle East,16,16,134,26,8.38,41
85,Sri Lanka,Asiatic Region,15,15,369,38,24.6,45
86,Cuba,Latin America,15,15,199,26,13.27,54
87,Nepal,Asiatic Region,14,14,289,30,20.64,34
88,Armenia,Eastern Europe,13,13,179,47,13.77,32
89,Bahrain,Middle East,12,12,421,35,35.08,30
90,Yemen,Middle East,12,12,324,19,27.0,33
91,Cameroon,Africa,11,11,266,65,24.18,37
92,Iceland,Western Europe,11,10,192,18,17.45,44
93,Macao,Asiatic Region,10,10,287,45,28.7,47
94,Ethiopia,Africa,10,10,94,6,9.4,31
95,Kenya,Africa,9,9,190,4,21.11,29
96,Macedonia,Eastern Europe,9,9,108,11,12.0,32
97,Tajikistan,Asiatic Region,9,9,82,11,9.11,17
98,Ecuador,Latin America,9,9,182,12,20.22,30
99,Brunei Darussalam,Asiatic Region,7,7,125,33,17.86,35
100,Bosnia and Herzegovina,Eastern Europe,7,7,6,1,0.86,18
101,Georgia,Eastern Europe,6,6,132,15,22.0,30
102,Libya,Africa,6,6,119,0,19.83,29
103,Syrian Arab Republic,Middle East,5,5,169,31,33.8,29
104,Guadeloupe,Latin America,5,5,15,3,3.0,7
105,Namibia,Africa,5,5,58,9,11.6,11
106,Sudan,Africa,5,5,23,2,4.6,21
107,Tanzania,Africa,5,5,109,3,21.8,17
108,Mongolia,Asiatic Region,4,4,85,16,21.25,26
109,Senegal,Africa,4,4,77,3,19.25,27
110,Montenegro,Eastern Europe,3,3,34,3,11.33,10
111,Niger,Africa,3,3,47,1,15.67,11
112,Malta,Western Europe,3,3,117,22,39.0,21
113,Uganda,Africa,3,3,29,1,9.67,17
114,Costa Rica,Latin America,3,3,44,8,14.67,31
115,Zambia,Africa,2,2,11,0,5.5,12
116,Togo,Africa,2,2,87,1,43.5,11
117,Bolivia,Latin America,2,2,97,0,48.5,22
118,Botswana,Africa,2,2,1,1,0.5,21
119,Malawi,Africa,2,2,4,0,2.0,7
120,Trinidad and Tobago,Latin America,2,2,30,1,15.0,16
121,Rwanda,Africa,2,2,25,1,12.5,8
122,Myanmar,Asiatic Region,2,2,30,0,15.0,12
123,Mali,Africa,2,2,33,3,16.5,8
124,Kyrgyzstan,Asiatic Region,2,2,71,1,35.5,12
125,Albania,Eastern Europe,1,0,0,0,0.0,17
126,Dominican Republic,Latin America,1,1,1,0,1.0,8
127,Grenada,Latin America,1,1,7,0,7.0,1
128,Fiji,Pacific Region,1,1,1,0,1.0,17
129,New Caledonia,Pacific Region,1,1,5,2,5.0,6
130,Mozambique,Africa,1,1,1,1,1.0,9
131,Greenland,Western Europe,1,1,34,3,34.0,4
132,Côte d’Ivoire,Africa,1,1,0,0,0.0,20
133,Congo,Africa,1,1,45,1,45.0,18
134,San Marino,Western Europe,1,1,20,2,20.0,3
135,El Salvador,Latin America,1,1,1,0,1.0,5
136,Maldives,Asiatic Region,1,1,115,7,115.0,5
137,Swaziland,Africa,1,1,9,0,9.0,6
138,Burundi,Africa,1,1,10,0,10.0,5
139,Mauritius,Africa,1,1,5,1,5.0,23
140,Mauritania,Africa,1,1,14,2,14.0,8
141,Barbados,Latin America,1,1,6,0,6.0,7
142,Zimbabwe,Africa,1,1,1,0,1.0,12
143,Guinea,Africa,1,1,29,1,29.0,4
144,Jamaica,Latin America,1,1,9,8,9.0,20
