Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,10645,10415,443915,0,41.7,884
2,Japan,Asiatic Region,5863,5791,114761,0,19.57,433
3,China,Asiatic Region,4722,4677,118219,0,25.04,636
4,Germany,Western Europe,4233,4168,136011,0,32.13,487
5,France,Western Europe,2843,2799,88187,0,31.02,387
6,United Kingdom,Western Europe,2815,2750,97506,0,34.64,485
7,India,Asiatic Region,1912,1895,58210,0,30.44,321
8,Russian Federation,Eastern Europe,1860,1850,22669,0,12.19,209
9,South Korea,Asiatic Region,1698,1686,50267,0,29.6,416
10,Canada,Northern America,1368,1350,41007,0,29.98,332
11,Italy,Western Europe,1368,1353,40580,0,29.66,303
12,Poland,Eastern Europe,1035,1022,16702,0,16.14,180
13,Spain,Western Europe,979,967,36348,0,37.13,330
14,Australia,Pacific Region,899,890,34446,0,38.32,369
15,Taiwan,Asiatic Region,840,836,24292,0,28.92,271
16,Brazil,Latin America,723,717,15116,0,20.91,192
17,Sweden,Western Europe,710,702,27107,0,38.18,259
18,Netherlands,Western Europe,631,628,33269,0,52.72,312
19,Switzerland,Western Europe,595,588,25745,0,43.27,327
20,Singapore,Asiatic Region,532,529,18868,0,35.47,369
21,Belgium,Western Europe,470,466,13855,0,29.48,234
22,Ukraine,Eastern Europe,438,438,4778,0,10.91,116
23,Romania,Eastern Europe,417,416,3134,0,7.52,109
24,Turkey,Middle East,414,410,13897,0,33.57,194
25,Austria,Western Europe,388,386,13996,0,36.07,202
26,Hong Kong,Asiatic Region,383,377,18878,0,49.29,299
27,Mexico,Latin America,378,370,9402,0,24.87,145
28,Finland,Western Europe,370,366,8281,0,22.38,174
29,Portugal,Western Europe,328,328,10522,0,32.08,196
30,Israel,Middle East,294,285,17431,0,59.29,231
31,Greece,Western Europe,277,273,9491,0,34.26,181
32,Czech Republic,Eastern Europe,270,270,6052,0,22.41,151
33,Egypt,Africa/Middle East,246,245,7689,0,31.26,166
34,Iran,Middle East,229,228,5549,0,24.23,200
35,Hungary,Eastern Europe,216,216,5767,0,26.7,121
36,Malaysia,Asiatic Region,199,197,2711,0,13.62,192
37,Denmark,Western Europe,198,192,11393,0,57.54,209
38,Argentina,Latin America,176,174,5003,0,28.43,116
39,Norway,Western Europe,156,155,5485,0,35.16,151
40,Slovakia,Eastern Europe,146,145,3376,0,23.12,82
41,Ireland,Western Europe,122,120,3287,0,26.94,188
42,Belarus,Eastern Europe,122,122,1957,0,16.04,84
43,Slovenia,Eastern Europe,121,120,4048,0,33.45,116
44,Bulgaria,Eastern Europe,106,106,4306,0,40.62,94
45,New Zealand,Pacific Region,103,101,3187,0,30.94,134
46,South Africa,Africa,102,98,2324,0,22.78,120
47,Tunisia,Africa,102,102,1732,0,16.98,96
48,Algeria,Africa,101,99,1969,0,19.5,108
49,Saudi Arabia,Middle East,96,94,3531,0,36.78,247
50,Morocco,Africa,90,90,2375,0,26.39,102
51,Thailand,Asiatic Region,85,84,3178,0,37.39,144
52,Venezuela,Latin America,77,76,822,0,10.68,54
53,Chile,Latin America,75,75,851,0,11.35,90
54,Lithuania,Eastern Europe,52,52,755,0,14.52,74
55,Croatia,Eastern Europe,50,50,1601,0,32.02,83
56,Serbia,Eastern Europe,42,39,816,0,19.43,86
57,Colombia,Latin America,40,40,533,0,13.33,80
58,Jordan,Middle East,40,40,1016,0,25.4,86
59,Puerto Rico,Latin America,36,36,414,0,11.5,70
60,Kazakhstan,Asiatic Region,34,34,168,0,4.94,53
61,Azerbaijan,Eastern Europe,33,33,415,0,12.58,32
62,Latvia,Eastern Europe,33,33,494,0,14.97,59
63,United Arab Emirates,Middle East,29,29,588,0,20.28,112
64,Kuwait,Middle East,29,28,341,0,11.76,71
65,Cuba,Latin America,28,28,419,0,14.96,60
66,Pakistan,Asiatic Region,28,28,1028,0,36.71,132
67,Estonia,Eastern Europe,24,24,325,0,13.54,70
68,Moldova,Eastern Europe,23,23,688,0,29.91,57
69,Oman,Middle East,21,21,645,0,30.71,73
70,Indonesia,Asiatic Region,21,21,613,0,29.19,79
71,Uzbekistan,Asiatic Region,19,19,162,0,8.53,33
72,Bangladesh,Asiatic Region,18,18,172,0,9.56,70
73,Bahrain,Middle East,15,15,292,0,19.47,48
74,Viet Nam,Asiatic Region,15,15,306,0,20.4,99
75,Nigeria,Africa,14,14,910,0,65.0,91
76,Armenia,Eastern Europe,13,13,53,0,4.08,29
77,Ghana,Africa,10,10,113,0,11.3,34
78,Libya,Africa,10,10,145,0,14.5,37
79,Georgia,Eastern Europe,10,10,140,0,14.0,33
80,Lebanon,Middle East,9,9,161,0,17.89,59
81,Philippines,Asiatic Region,8,8,95,0,11.88,46
82,Senegal,Africa,6,6,197,0,32.83,25
83,Sri Lanka,Asiatic Region,6,6,165,0,27.5,47
84,Peru,Latin America,6,6,50,0,8.33,35
85,Mongolia,Asiatic Region,5,5,101,0,20.2,22
86,Macedonia,Eastern Europe,5,5,99,0,19.8,34
87,Côte d’Ivoire,Africa,5,5,74,0,14.8,21
88,Palestine,Middle East,5,5,110,0,22.0,48
89,Albania,Eastern Europe,4,4,17,0,4.25,25
90,Costa Rica,Latin America,4,4,70,0,17.5,24
91,Iraq,Middle East,4,4,62,0,15.5,82
92,Cyprus,Western Europe,4,4,202,0,50.5,63
93,Iceland,Western Europe,4,3,39,0,9.75,41
94,Jamaica,Latin America,4,4,21,0,5.25,15
95,Kenya,Africa,3,3,101,0,33.67,29
96,Nepal,Asiatic Region,3,3,62,0,20.67,31
97,Syrian Arab Republic,Middle East,3,3,229,0,76.33,31
98,Bolivia,Latin America,3,3,20,0,6.67,11
99,Trinidad and Tobago,Latin America,3,3,44,0,14.67,19
100,Tanzania,Africa,3,3,73,0,24.33,26
101,Ecuador,Latin America,3,3,32,0,10.67,44
102,Ethiopia,Africa,3,3,71,0,23.67,52
103,Liechtenstein,Western Europe,3,3,16,0,5.33,45
104,Uruguay,Latin America,2,2,31,0,15.5,36
105,Luxembourg,Western Europe,2,2,4,0,2.0,61
106,Macao,Asiatic Region,2,2,81,0,40.5,84
107,Cameroon,Africa,2,2,39,0,19.5,38
108,Bosnia and Herzegovina,Eastern Europe,2,2,14,0,7.0,23
109,Burkina Faso,Africa,2,2,31,0,15.5,26
110,Sudan,Africa,2,2,8,0,4.0,30
111,Botswana,Africa,1,1,12,0,12.0,20
112,Togo,Africa,1,1,21,0,21.0,14
113,Niger,Africa,1,1,6,0,6.0,7
