Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,9053,8923,165498,97576,18.28,297
2,United States,Northern America,2723,2642,90117,26055,33.09,372
3,Japan,Asiatic Region,2393,2343,57172,14599,23.89,266
4,Germany,Western Europe,1671,1650,41027,9640,24.55,262
5,South Korea,Asiatic Region,1303,1279,41370,7729,31.75,203
6,India,Asiatic Region,1055,1024,33374,10868,31.63,199
7,Russian Federation,Eastern Europe,999,993,7155,2644,7.16,135
8,United Kingdom,Western Europe,967,941,36905,6545,38.16,263
9,Romania,Eastern Europe,904,904,2002,725,2.21,72
10,France,Western Europe,868,857,27000,5221,31.11,206
11,Taiwan,Asiatic Region,661,655,19563,3098,29.6,145
12,Canada,Northern America,615,606,15618,2451,25.4,175
13,Australia,Pacific Region,523,515,20350,3616,38.91,199
14,Italy,Western Europe,463,457,13706,2573,29.6,158
15,Poland,Eastern Europe,454,450,6627,2146,14.6,104
16,Spain,Western Europe,422,418,11518,2193,27.29,163
17,Iran,Middle East,402,401,13717,3694,34.12,124
18,Brazil,Latin America,357,344,6427,1460,18.0,109
19,Turkey,Middle East,355,353,11259,2631,31.72,116
20,Ukraine,Eastern Europe,309,305,2777,745,8.99,88
21,Sweden,Western Europe,269,263,6795,976,25.26,147
22,Austria,Western Europe,266,264,4777,1221,17.96,118
23,Czech Republic,Eastern Europe,258,257,3168,1048,12.28,96
24,Switzerland,Western Europe,218,216,9087,925,41.68,164
25,Netherlands,Western Europe,208,206,6861,803,32.99,155
26,Singapore,Asiatic Region,187,186,8909,825,47.64,156
27,Belgium,Western Europe,158,155,4263,623,26.98,140
28,Mexico,Latin America,146,145,2537,405,17.38,88
29,Hong Kong,Asiatic Region,146,143,9358,1167,64.1,139
30,Egypt,Africa/Middle East,135,133,5407,1039,40.05,95
31,Slovakia,Eastern Europe,127,127,1326,374,10.44,65
32,Portugal,Western Europe,120,120,4748,671,39.57,108
33,Finland,Western Europe,111,111,3376,536,30.41,96
34,South Africa,Africa,102,102,1151,210,11.28,89
35,Norway,Western Europe,92,90,1857,295,20.18,93
36,Greece,Western Europe,86,84,1371,176,15.94,80
37,Serbia,Eastern Europe,76,74,975,234,12.83,48
38,Malaysia,Asiatic Region,74,71,2069,409,27.96,93
39,Slovenia,Eastern Europe,69,68,863,174,12.51,64
40,Thailand,Asiatic Region,68,68,2362,304,34.74,72
41,Denmark,Western Europe,67,66,2204,348,32.9,103
42,Tunisia,Africa,65,63,1753,484,26.97,62
43,Israel,Middle East,61,60,2114,289,34.66,100
44,Ireland,Western Europe,59,57,2087,401,35.37,100
45,Hungary,Eastern Europe,52,52,1247,149,23.98,73
46,Algeria,Africa,51,51,1409,244,27.63,70
47,Saudi Arabia,Middle East,47,47,1632,408,34.72,109
48,Chile,Latin America,46,46,647,109,14.07,54
49,Pakistan,Asiatic Region,46,44,1116,348,24.26,76
50,Argentina,Latin America,45,44,1124,200,24.98,65
51,Belarus,Eastern Europe,45,45,272,68,6.04,50
52,Croatia,Eastern Europe,43,43,464,89,10.79,46
53,New Zealand,Pacific Region,40,40,894,165,22.35,71
54,Bulgaria,Eastern Europe,33,33,713,114,21.61,50
55,Lithuania,Eastern Europe,25,25,433,104,17.32,47
56,Azerbaijan,Eastern Europe,22,22,149,51,6.77,21
57,Nigeria,Africa,19,19,228,28,12.0,41
58,Venezuela,Latin America,19,19,162,19,8.53,36
59,Luxembourg,Western Europe,19,19,400,22,21.05,25
60,Morocco,Africa,17,17,413,51,24.29,51
61,Colombia,Latin America,17,17,279,28,16.41,40
62,Cuba,Latin America,16,16,194,16,12.13,31
63,Jordan,Middle East,15,15,358,45,23.87,40
64,Moldova,Eastern Europe,15,15,573,103,38.2,50
65,Kazakhstan,Asiatic Region,12,12,94,1,7.83,26
66,United Arab Emirates,Middle East,12,12,147,17,12.25,43
67,Estonia,Eastern Europe,12,12,299,59,24.92,50
68,Viet Nam,Asiatic Region,11,9,268,42,24.36,58
69,Georgia,Eastern Europe,10,10,9,5,0.9,11
70,Indonesia,Asiatic Region,10,10,148,18,14.8,38
71,Uzbekistan,Asiatic Region,8,8,31,2,3.88,20
72,Bahrain,Middle East,7,7,156,25,22.29,25
73,Latvia,Eastern Europe,7,7,160,5,22.86,30
74,Bangladesh,Asiatic Region,6,6,412,23,68.67,48
75,Senegal,Africa,5,5,59,58,11.8,15
76,Iraq,Middle East,5,5,70,19,14.0,46
77,Kuwait,Middle East,4,4,31,8,7.75,21
78,Cyprus,Western Europe,4,4,29,3,7.25,23
79,Iceland,Western Europe,4,4,125,26,31.25,19
80,Lebanon,Middle East,4,4,65,4,16.25,25
81,Liechtenstein,Western Europe,3,3,70,2,23.33,23
82,Montenegro,Eastern Europe,3,3,10,4,3.33,10
83,Malta,Western Europe,3,3,46,4,15.33,11
84,Oman,Middle East,3,3,197,1,65.67,27
85,Peru,Latin America,3,3,94,6,31.33,23
86,Ethiopia,Africa,3,3,19,2,6.33,19
87,Macao,Asiatic Region,3,3,102,12,34.0,34
88,Armenia,Eastern Europe,3,3,29,5,9.67,20
89,Macedonia,Eastern Europe,2,2,3,1,1.5,13
90,Bosnia and Herzegovina,Eastern Europe,2,2,5,0,2.5,14
91,Botswana,Africa,2,2,7,5,3.5,13
92,Cocos (Keeling) Islands,Pacific Region,2,2,1,0,0.5,1
93,Democratic Republic Congo,Africa,2,2,31,0,15.5,5
94,Dominican Republic,Latin America,2,2,3,0,1.5,6
95,Jamaica,Latin America,2,2,13,5,6.5,8
96,Sudan,Africa,1,1,0,0,0.0,14
97,Palestine,Middle East,1,1,2,0,2.0,23
98,Puerto Rico,Latin America,1,1,5,0,5.0,24
99,Philippines,Asiatic Region,1,1,4,0,4.0,26
100,Namibia,Africa,1,1,13,2,13.0,9
101,Mongolia,Asiatic Region,1,1,2,0,2.0,9
102,El Salvador,Latin America,1,1,11,0,11.0,4
103,Syrian Arab Republic,Middle East,1,1,97,0,97.0,16
104,Libya,Africa,1,1,15,0,15.0,17
105,Tajikistan,Asiatic Region,1,1,43,7,43.0,11
106,Sri Lanka,Asiatic Region,1,1,11,1,11.0,24
107,North Korea,Asiatic Region,1,1,5,3,5.0,12
108,Guadeloupe,Latin America,1,1,0,0,0.0,0
109,French Guiana,Latin America,1,1,49,0,49.0,1
110,Fiji,Pacific Region,1,1,1,1,1.0,10
111,Uruguay,Latin America,1,1,15,4,15.0,19
112,Ecuador,Latin America,1,1,40,7,40.0,19
113,Costa Rica,Latin America,1,1,8,0,8.0,10
114,Cameroon,Africa,1,1,23,6,23.0,15
115,Côte d’Ivoire,Africa,1,1,19,1,19.0,8
116,Zambia,Africa,1,1,13,0,13.0,10
