Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,15286,15243,527661,392838,34.52,591
2,United States,Northern America,7154,7065,222062,54906,31.04,751
3,South Korea,Asiatic Region,2284,2276,64950,12994,28.44,387
4,Germany,Western Europe,2201,2168,51213,10736,23.27,394
5,India,Asiatic Region,2126,2111,30492,9686,14.34,260
6,Japan,Asiatic Region,1716,1700,35518,7019,20.7,348
7,United Kingdom,Western Europe,1507,1490,40262,5675,26.72,365
8,France,Western Europe,1218,1205,21749,3827,17.86,278
9,Australia,Pacific Region,1074,1061,41207,5654,38.37,298
10,Russian Federation,Eastern Europe,977,962,11821,3607,12.1,159
11,Spain,Western Europe,876,864,20004,3328,22.84,254
12,Italy,Western Europe,861,851,18992,4117,22.06,249
13,Canada,Northern America,806,796,23515,2751,29.17,271
14,Singapore,Asiatic Region,751,742,39473,3577,52.56,341
15,Taiwan,Asiatic Region,675,672,15216,2205,22.54,246
16,Iran,Middle East,675,675,11010,3291,16.31,147
17,Hong Kong,Asiatic Region,604,602,27301,2622,45.2,260
18,Switzerland,Western Europe,559,546,14539,1804,26.01,277
19,Netherlands,Western Europe,510,505,13231,1602,25.94,262
20,Sweden,Western Europe,478,469,11893,1494,24.88,212
21,Saudi Arabia,Middle East,427,423,14388,1802,33.7,199
22,Poland,Eastern Europe,353,351,5943,1128,16.84,123
23,Brazil,Latin America,332,331,5215,1297,15.71,141
24,Belgium,Western Europe,329,325,7183,1028,21.83,177
25,Israel,Middle East,307,303,7620,1088,24.82,196
26,Malaysia,Asiatic Region,265,262,3471,771,13.1,112
27,Egypt,Africa/Middle East,259,257,4890,1232,18.88,102
28,Pakistan,Asiatic Region,257,255,4792,1182,18.65,89
29,Czech Republic,Eastern Europe,256,253,5498,875,21.48,126
30,Denmark,Western Europe,249,245,5817,699,23.36,160
31,Turkey,Middle East,226,225,4217,881,18.66,135
32,Mexico,Latin America,210,207,3192,385,15.2,111
33,Austria,Western Europe,208,207,4066,640,19.55,153
34,Finland,Western Europe,201,197,5413,624,26.93,137
35,Portugal,Western Europe,169,165,4768,643,28.21,141
36,Iraq,Middle East,162,162,1210,458,7.47,38
37,Viet Nam,Asiatic Region,137,137,1907,323,13.92,54
38,Ireland,Western Europe,123,120,3715,376,30.2,169
39,Thailand,Asiatic Region,114,113,1780,171,15.61,94
40,Greece,Western Europe,107,104,1680,282,15.7,116
41,Ukraine,Eastern Europe,106,106,1533,383,14.46,86
42,Belarus,Eastern Europe,101,101,438,99,4.34,62
43,Norway,Western Europe,100,97,2423,307,24.23,102
44,Romania,Eastern Europe,93,93,1139,240,12.25,79
45,South Africa,Africa,77,76,1574,238,20.44,78
46,Argentina,Latin America,75,73,902,187,12.03,81
47,United Arab Emirates,Middle East,71,69,1210,169,17.04,59
48,Hungary,Eastern Europe,64,63,1503,142,23.48,84
49,Chile,Latin America,63,63,1305,156,20.71,61
50,Indonesia,Asiatic Region,63,63,580,100,9.21,40
51,New Zealand,Pacific Region,57,57,2915,127,51.14,95
52,Macao,Asiatic Region,50,50,2597,92,51.94,72
53,Lithuania,Eastern Europe,48,48,632,99,13.17,57
54,Tunisia,Africa,44,44,424,99,9.64,49
55,Kuwait,Middle East,43,43,321,44,7.47,27
56,Kazakhstan,Asiatic Region,40,40,372,72,9.3,30
57,Bangladesh,Asiatic Region,36,36,513,162,14.25,39
58,Algeria,Africa,36,36,517,124,14.36,43
59,Slovenia,Eastern Europe,34,34,528,77,15.53,75
60,Colombia,Latin America,34,34,526,73,15.47,46
61,Slovakia,Eastern Europe,34,33,635,42,18.68,57
62,Serbia,Eastern Europe,30,30,426,44,14.2,60
63,Nigeria,Africa,29,29,402,40,13.86,31
64,Estonia,Eastern Europe,27,27,503,74,18.63,45
65,Qatar,Middle East,25,25,788,102,31.52,58
