Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,15990,15915,23120,16904,1.45,297
2,India,Asiatic Region,3238,3227,5133,2217,1.59,217
3,United States,Northern America,2973,2907,4884,1357,1.64,472
4,Germany,Western Europe,1698,1649,1889,528,1.11,305
5,Iran,Middle East,1578,1573,2401,869,1.52,131
6,South Korea,Asiatic Region,1421,1415,1924,458,1.35,215
7,Japan,Asiatic Region,1375,1358,1354,426,0.98,279
8,Russian Federation,Eastern Europe,1220,1214,1107,441,0.91,154
9,Saudi Arabia,Middle East,1188,1185,2738,990,2.3,96
10,France,Western Europe,1136,1122,1421,408,1.25,285
11,United Kingdom,Western Europe,1022,996,1652,291,1.62,278
12,Turkey,Middle East,953,952,1263,366,1.33,128
13,Egypt,Africa/Middle East,884,882,2001,741,2.26,104
14,Italy,Western Europe,830,814,1139,317,1.37,196
15,Spain,Western Europe,828,816,1011,263,1.22,179
16,Australia,Pacific Region,728,715,1745,316,2.4,228
17,Canada,Northern America,705,697,1231,280,1.75,230
18,Brazil,Latin America,689,688,741,205,1.08,155
19,Malaysia,Asiatic Region,644,639,1492,412,2.32,122
20,Pakistan,Asiatic Region,635,633,1198,452,1.89,73
21,Taiwan,Asiatic Region,569,569,636,164,1.12,157
22,Thailand,Asiatic Region,559,556,1048,343,1.87,106
23,Poland,Eastern Europe,553,551,832,222,1.5,130
24,Romania,Eastern Europe,408,403,480,174,1.18,80
25,Czech Republic,Eastern Europe,340,340,357,79,1.05,107
26,Netherlands,Western Europe,321,317,411,73,1.28,191
27,Mexico,Latin America,293,293,305,51,1.04,89
28,Portugal,Western Europe,288,282,376,86,1.31,130
29,Austria,Western Europe,282,276,321,90,1.14,127
30,Belgium,Western Europe,246,241,350,73,1.42,171
31,Singapore,Asiatic Region,240,238,507,88,2.11,144
32,Sweden,Western Europe,232,232,400,51,1.72,171
33,Switzerland,Western Europe,227,222,290,55,1.28,173
34,Indonesia,Asiatic Region,224,224,411,94,1.83,58
35,Iraq,Middle East,223,222,305,131,1.37,46
36,Hong Kong,Asiatic Region,219,218,496,68,2.26,132
37,South Africa,Africa,207,203,363,86,1.75,96
38,Viet Nam,Asiatic Region,172,172,219,36,1.27,48
39,Finland,Western Europe,150,149,183,31,1.22,135
40,Greece,Western Europe,149,148,182,50,1.22,128
41,Nigeria,Africa,146,146,288,129,1.97,47
42,Algeria,Africa,145,145,164,46,1.13,56
43,Tunisia,Africa,136,136,149,36,1.1,59
44,Hungary,Eastern Europe,125,120,157,43,1.26,95
45,United Arab Emirates,Middle East,124,124,292,52,2.35,48
46,Chile,Latin America,118,118,168,20,1.42,62
47,Bangladesh,Asiatic Region,113,113,245,64,2.17,46
48,Ethiopia,Africa,110,110,148,43,1.35,19
49,Israel,Middle East,108,108,97,18,0.9,112
50,Slovakia,Eastern Europe,108,108,157,37,1.45,71
51,Slovenia,Eastern Europe,107,107,117,19,1.09,68
52,Ireland,Western Europe,103,101,235,43,2.28,79
53,Ukraine,Eastern Europe,102,102,90,30,0.88,66
54,Argentina,Latin America,101,100,62,13,0.61,97
55,Denmark,Western Europe,95,94,158,24,1.66,106
56,Serbia,Eastern Europe,87,87,121,27,1.39,55
57,Morocco,Africa,86,85,144,48,1.67,50
58,Colombia,Latin America,86,86,99,21,1.15,49
59,Norway,Western Europe,77,76,161,24,2.09,119
60,Croatia,Eastern Europe,76,76,126,16,1.66,42
61,New Zealand,Pacific Region,70,69,145,12,2.07,96
62,Kazakhstan,Asiatic Region,70,70,58,12,0.83,31
63,Jordan,Middle East,62,62,153,53,2.47,35
64,Lithuania,Eastern Europe,61,61,78,18,1.28,39
65,Bulgaria,Eastern Europe,60,60,101,18,1.68,68
66,Qatar,Middle East,51,50,74,13,1.45,43
67,Belarus,Eastern Europe,42,42,32,8,0.76,47
68,Kuwait,Middle East,42,42,74,24,1.76,32
69,Yemen,Middle East,38,38,96,26,2.53,20
70,Uzbekistan,Asiatic Region,37,37,38,9,1.03,16
71,Latvia,Eastern Europe,36,36,62,21,1.72,37
72,Lebanon,Middle East,32,32,64,11,2.0,32
73,Ecuador,Latin America,29,29,56,6,1.93,25
74,Sri Lanka,Asiatic Region,26,26,58,5,2.23,28
75,Oman,Middle East,25,25,72,10,2.88,26
76,Luxembourg,Western Europe,24,24,27,3,1.13,36
77,Brunei Darussalam,Asiatic Region,21,21,12,3,0.57,12
78,Peru,Latin America,21,21,13,6,0.62,27
79,Kenya,Africa,19,19,14,2,0.74,22
80,Cyprus,Western Europe,18,18,33,6,1.83,46
81,Sudan,Africa,18,18,52,1,2.89,17
82,Estonia,Eastern Europe,18,18,26,4,1.44,34
83,Nepal,Asiatic Region,17,17,32,3,1.88,21
84,Ghana,Africa,16,16,43,5,2.69,15
85,Cameroon,Africa,16,16,12,3,0.75,20
86,Philippines,Asiatic Region,16,16,23,1,1.44,34
87,Macao,Asiatic Region,15,15,38,4,2.53,25
88,Azerbaijan,Eastern Europe,14,14,14,3,1.0,23
89,Syrian Arab Republic,Middle East,14,14,18,6,1.29,26
90,Palestine,Middle East,11,11,68,13,6.18,20
91,Bahrain,Middle East,11,11,8,1,0.73,13
92,Uruguay,Latin America,9,9,11,2,1.22,17
93,Costa Rica,Latin America,9,9,0,0,0.0,20
94,Bosnia and Herzegovina,Eastern Europe,8,8,3,1,0.38,13
95,Libya,Africa,8,8,64,0,8.0,23
96,Macedonia,Eastern Europe,8,8,10,2,1.25,24
97,Kyrgyzstan,Asiatic Region,7,7,14,7,2.0,7
98,Venezuela,Latin America,6,6,1,0,0.17,66
99,Tajikistan,Asiatic Region,6,6,1,0,0.17,9
100,Mauritius,Africa,6,6,5,0,0.83,18
101,Mongolia,Asiatic Region,6,6,2,0,0.33,14
102,Cuba,Latin America,6,6,15,1,2.5,39
103,Botswana,Africa,5,5,26,0,5.2,17
104,North Korea,Asiatic Region,5,5,5,2,1.0,12
105,Uganda,Africa,5,5,9,1,1.8,10
106,Georgia,Eastern Europe,4,4,8,0,2.0,17
107,Liechtenstein,Western Europe,4,4,3,2,0.75,30
108,Iceland,Western Europe,3,3,7,0,2.33,31
109,Afghanistan,Asiatic Region,3,3,2,0,0.67,1
110,Zimbabwe,Africa,3,3,3,0,1.0,4
111,Paraguay,Latin America,3,3,1,0,0.33,2
112,Puerto Rico,Latin America,3,3,0,0,0.0,27
113,Maldives,Asiatic Region,3,3,0,0,0.0,5
114,Fiji,Pacific Region,2,2,18,0,9.0,12
115,Moldova,Eastern Europe,2,2,1,0,0.5,12
116,Laos,Asiatic Region,2,2,0,0,0.0,5
117,Namibia,Africa,2,2,1,0,0.5,4
118,Democratic Republic Congo,Africa,2,2,4,0,2.0,4
119,Cambodia,Asiatic Region,2,2,0,0,0.0,7
120,Rwanda,Africa,2,2,2,1,1.0,7
121,Dominican Republic,Latin America,2,2,0,0,0.0,5
122,Togo,Africa,2,2,6,1,3.0,3
123,Malta,Western Europe,2,2,0,0,0.0,18
124,Trinidad and Tobago,Latin America,2,2,0,0,0.0,11
125,Tanzania,Africa,2,2,5,0,2.5,15
126,Albania,Eastern Europe,2,2,0,0,0.0,8
127,Zambia,Africa,2,2,3,0,1.5,5
128,Mauritania,Africa,1,1,0,0,0.0,3
129,French Polynesia,Pacific Region,1,1,0,0,0.0,3
130,Honduras,Latin America,1,1,0,0,0.0,2
131,Curaçao,Latin America,1,1,0,0,0.0,0
132,Armenia,Eastern Europe,1,1,0,0,0.0,13
133,Mali,Africa,1,1,0,0,0.0,9
134,Congo,Africa,1,1,2,0,2.0,11
135,Mozambique,Africa,1,1,0,0,0.0,6
136,Swaziland,Africa,1,1,0,0,0.0,5
137,El Salvador,Latin America,1,1,1,1,1.0,4
138,Senegal,Africa,1,1,1,0,1.0,18
139,Guatemala,Latin America,1,1,0,0,0.0,4
140,Papua New Guinea,Pacific Region,1,1,1,0,1.0,1
