Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,7732,7715,243629,144568,31.51,352
2,United States,Northern America,5377,5317,162124,51125,30.15,484
3,Germany,Western Europe,2501,2473,53713,13750,21.48,294
4,Japan,Asiatic Region,2393,2370,50090,14010,20.93,307
5,South Korea,Asiatic Region,1867,1862,43209,9050,23.14,219
6,France,Western Europe,1849,1832,44408,9956,24.02,252
7,India,Asiatic Region,1792,1787,51880,18809,28.95,237
8,United Kingdom,Western Europe,1374,1359,39617,7252,28.83,284
9,Taiwan,Asiatic Region,1171,1166,21143,3650,18.06,167
10,Russian Federation,Eastern Europe,1082,1081,13363,5394,12.35,143
11,Italy,Western Europe,1041,1032,25855,6831,24.84,204
12,Spain,Western Europe,986,984,25993,5448,26.36,202
13,Canada,Northern America,791,788,24907,4059,31.49,218
14,Australia,Pacific Region,704,700,23447,3833,33.31,211
15,Iran,Middle East,669,669,19190,5701,28.68,147
16,Poland,Eastern Europe,574,568,9977,2854,17.38,122
17,Czech Republic,Eastern Europe,509,509,7034,2109,13.82,121
18,Sweden,Western Europe,508,504,13496,2206,26.57,186
19,Romania,Eastern Europe,495,494,5738,2363,11.59,85
20,Brazil,Latin America,483,482,11927,2699,24.69,132
21,Turkey,Middle East,457,455,10261,2126,22.45,131
22,Netherlands,Western Europe,405,404,11542,1823,28.5,198
23,Singapore,Asiatic Region,397,392,14489,1713,36.5,180
24,Belgium,Western Europe,392,391,10700,1646,27.3,149
25,Switzerland,Western Europe,364,362,12822,1752,35.23,207
26,Malaysia,Asiatic Region,322,319,8398,1806,26.08,109
27,Portugal,Western Europe,268,268,7446,1318,27.78,135
28,Austria,Western Europe,267,263,6078,1180,22.76,123
29,Hong Kong,Asiatic Region,259,256,8821,833,34.06,154
30,Mexico,Latin America,219,218,4315,829,19.7,114
31,Saudi Arabia,Middle East,219,219,6457,1031,29.48,121
32,Thailand,Asiatic Region,204,204,5025,867,24.63,88
33,Denmark,Western Europe,188,186,5072,931,26.98,145
34,Ukraine,Eastern Europe,186,186,2524,780,13.57,86
35,Egypt,Africa/Middle East,177,177,4195,1041,23.7,101
36,Greece,Western Europe,175,174,3870,709,22.11,107
37,Israel,Middle East,174,174,5457,881,31.36,159
38,Finland,Western Europe,166,166,3624,477,21.83,118
39,Hungary,Eastern Europe,137,134,2481,394,18.11,85
40,Slovakia,Eastern Europe,131,128,2003,345,15.29,69
41,Argentina,Latin America,131,130,2429,488,18.54,85
42,Ireland,Western Europe,131,130,3863,543,29.49,113
