Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,917,915,23816,8023,25.97,204
2,Germany,Western Europe,309,309,6585,1507,21.31,132
3,France,Western Europe,294,294,10464,2538,35.59,143
4,Russian Federation,Eastern Europe,277,276,1941,569,7.01,66
5,Italy,Western Europe,267,267,5410,1674,20.26,129
6,China,Asiatic Region,224,224,5402,3150,24.12,158
7,Japan,Asiatic Region,204,204,3203,777,15.7,102
8,United Kingdom,Western Europe,133,133,3695,535,27.78,108
9,Spain,Western Europe,124,124,2591,747,20.9,106
10,Canada,Northern America,117,117,2219,282,18.97,108
11,Israel,Middle East,98,98,1799,320,18.36,68
12,Poland,Eastern Europe,88,88,1091,311,12.4,74
13,Ukraine,Eastern Europe,73,72,840,158,11.51,51
14,Brazil,Latin America,64,64,1117,399,17.45,83
15,Greece,Western Europe,63,63,813,161,12.9,60
16,Australia,Pacific Region,61,61,872,160,14.3,84
17,Belarus,Eastern Europe,58,57,193,58,3.33,24
18,India,Asiatic Region,58,58,1420,415,24.48,83
19,Netherlands,Western Europe,44,44,549,96,12.48,58
20,Sweden,Western Europe,43,43,604,112,14.05,61
21,Taiwan,Asiatic Region,42,42,646,166,15.38,83
22,Czech Republic,Eastern Europe,39,38,798,232,20.46,62
23,Romania,Eastern Europe,39,39,313,115,8.03,81
24,South Korea,Asiatic Region,36,36,747,288,20.75,75
25,Switzerland,Western Europe,33,33,1309,59,39.67,67
26,Hong Kong,Asiatic Region,32,32,606,118,18.94,80
27,Georgia,Eastern Europe,32,20,175,90,5.47,24
28,Hungary,Eastern Europe,30,30,322,86,10.73,41
29,Belgium,Western Europe,28,28,566,63,20.21,66
30,Bulgaria,Eastern Europe,28,28,207,46,7.39,45
31,Austria,Western Europe,27,27,501,82,18.56,65
32,Portugal,Western Europe,25,25,372,63,14.88,62
33,Turkey,Middle East,19,19,328,101,17.26,80
34,Finland,Western Europe,19,19,355,56,18.68,58
35,Mexico,Latin America,17,17,167,49,9.82,40
36,Singapore,Asiatic Region,17,17,1114,179,65.53,50
37,Morocco,Africa,17,17,249,86,14.65,44
38,South Africa,Africa,16,16,133,46,8.31,52
39,Venezuela,Latin America,16,16,188,24,11.75,24
40,Slovakia,Eastern Europe,16,16,241,44,15.06,42
41,Chile,Latin America,14,14,469,60,33.5,61
42,Croatia,Eastern Europe,13,13,162,39,12.46,33
43,Norway,Western Europe,12,12,264,44,22.0,54
44,Iran,Middle East,10,10,43,26,4.3,74
45,Ireland,Western Europe,10,10,201,42,20.1,49
46,Lithuania,Eastern Europe,9,9,2,0,0.22,23
47,Viet Nam,Asiatic Region,9,9,249,76,27.67,52
48,Saudi Arabia,Middle East,9,9,126,24,14.0,86
49,Tunisia,Africa,9,9,256,58,28.44,39
50,Argentina,Latin America,8,8,32,11,4.0,40
51,New Zealand,Pacific Region,7,7,147,20,21.0,31
52,Denmark,Western Europe,7,7,164,12,23.43,37
53,Azerbaijan,Eastern Europe,7,7,20,9,2.86,26
54,Uzbekistan,Asiatic Region,6,6,23,6,3.83,19
55,Egypt,Africa/Middle East,6,6,66,22,11.0,53
56,Estonia,Eastern Europe,5,5,6,4,1.2,23
57,Kuwait,Middle East,5,5,75,12,15.0,21
58,Latvia,Eastern Europe,5,5,18,6,3.6,9
59,Slovenia,Eastern Europe,5,5,60,2,12.0,35
60,Jordan,Middle East,4,4,76,38,19.0,40
61,Serbia,Eastern Europe,4,4,58,14,14.5,53
62,Nigeria,Africa,4,4,84,14,21.0,31
63,Algeria,Africa,4,4,17,6,4.25,47
64,Oman,Middle East,4,4,30,0,7.5,20
65,Iceland,Western Europe,3,3,19,1,6.33,13
66,Philippines,Asiatic Region,3,3,26,9,8.67,9
67,Uruguay,Latin America,3,3,17,4,5.67,18
68,Cyprus,Western Europe,2,2,6,0,3.0,20
69,Tajikistan,Asiatic Region,2,2,0,0,0.0,3
70,Puerto Rico,Latin America,2,2,89,6,44.5,13
71,Kazakhstan,Asiatic Region,2,2,2,1,1.0,25
72,Malaysia,Asiatic Region,2,2,8,0,4.0,36
73,Côte d’Ivoire,Africa,2,2,3,0,1.5,8
74,Colombia,Latin America,1,1,10,3,10.0,23
75,Brunei Darussalam,Asiatic Region,1,1,4,1,4.0,7
76,Bosnia and Herzegovina,Eastern Europe,1,1,18,0,18.0,14
77,Sri Lanka,Asiatic Region,1,1,15,0,15.0,7
78,Nepal,Asiatic Region,1,1,3,0,3.0,7
79,Pakistan,Asiatic Region,1,1,1,1,1.0,58
80,Mauritania,Africa,1,1,8,1,8.0,8
81,Macao,Asiatic Region,1,1,9,1,9.0,22
82,Paraguay,Latin America,1,1,0,0,0.0,2
83,Macedonia,Eastern Europe,1,1,0,0,0.0,13
84,Moldova,Eastern Europe,1,1,0,0,0.0,13
85,Libya,Africa,1,1,5,1,5.0,6
86,Luxembourg,Western Europe,1,1,0,0,0.0,13
87,Mozambique,Africa,1,1,2,0,2.0,2
88,Zimbabwe,Africa,1,1,34,0,34.0,9
89,Turkmenistan,Asiatic Region,1,1,0,0,0.0,17
90,United Arab Emirates,Middle East,1,1,1,0,1.0,37
