Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,13009,12910,353590,123893,27.18,663
2,China,Asiatic Region,5195,5189,51496,32789,9.91,333
3,Germany,Western Europe,2862,2853,55133,13522,19.26,299
4,Japan,Asiatic Region,2603,2561,29050,8621,11.16,204
5,Russian Federation,Eastern Europe,2551,2536,14496,5041,5.68,133
6,United Kingdom,Western Europe,2381,2365,65008,12788,27.3,329
7,France,Western Europe,2278,2252,50751,13512,22.28,288
8,Italy,Western Europe,1729,1712,35255,9973,20.39,239
9,Canada,Northern America,1460,1450,35708,5665,24.46,266
10,South Korea,Asiatic Region,998,984,14540,2782,14.57,182
11,Spain,Western Europe,990,985,19318,5145,19.51,213
12,India,Asiatic Region,917,913,11810,3446,12.88,178
13,Netherlands,Western Europe,774,767,20920,3222,27.03,218
14,Australia,Pacific Region,726,721,16747,3217,23.07,222
15,Taiwan,Asiatic Region,707,700,17020,2815,24.07,162
16,Poland,Eastern Europe,637,634,6495,2097,10.2,120
17,Israel,Middle East,496,494,16164,1959,32.59,178
18,Hong Kong,Asiatic Region,476,472,21130,2114,44.39,202
19,Singapore,Asiatic Region,474,474,11389,1131,24.03,194
20,Brazil,Latin America,435,433,8115,2011,18.66,144
21,Belgium,Western Europe,430,425,9102,1325,21.17,166
22,Sweden,Western Europe,405,403,12626,1803,31.18,181
23,Switzerland,Western Europe,393,393,8497,1077,21.62,201
24,Ukraine,Eastern Europe,361,361,2254,684,6.24,70
25,Greece,Western Europe,355,352,5775,1461,16.27,135
26,Mexico,Latin America,281,280,2297,539,8.17,101
27,Czech Republic,Eastern Europe,277,275,4620,817,16.68,103
28,Austria,Western Europe,274,274,7120,1030,25.99,147
29,Finland,Western Europe,272,270,16999,1287,62.5,136
30,Ireland,Western Europe,244,244,2374,337,9.73,93
31,Turkey,Middle East,228,228,4316,1001,18.93,149
32,Denmark,Western Europe,220,219,5600,779,25.45,145
33,Romania,Eastern Europe,216,214,2471,553,11.44,111
34,Belarus,Eastern Europe,205,204,1012,253,4.94,36
35,Egypt,Africa/Middle East,191,190,2595,585,13.59,115
36,Portugal,Western Europe,187,186,5212,807,27.87,135
37,Hungary,Eastern Europe,153,152,2735,545,17.88,94
