Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2159,2073,98304,40195,45.53,485
2,China,Asiatic Region,2121,2118,43935,26881,20.71,215
3,Germany,Western Europe,659,642,22910,6384,34.76,246
4,France,Western Europe,606,585,24530,6135,40.48,210
5,United Kingdom,Western Europe,500,481,22079,4230,44.16,237
6,Russian Federation,Eastern Europe,447,443,3050,1458,6.82,93
7,Italy,Western Europe,422,379,10928,3056,25.9,156
8,Spain,Western Europe,384,370,9095,2321,23.68,142
9,Canada,Northern America,351,342,14403,2036,41.03,158
10,India,Asiatic Region,300,299,5573,2018,18.58,119
11,Japan,Asiatic Region,275,269,7585,1703,27.58,136
12,South Korea,Asiatic Region,224,220,5485,962,24.49,107
13,Taiwan,Asiatic Region,210,209,6146,1243,29.27,99
14,Australia,Pacific Region,192,190,6456,969,33.63,149
15,Poland,Eastern Europe,176,172,7012,1147,39.84,80
16,Belgium,Western Europe,162,157,4122,753,25.44,105
17,Iran,Middle East,160,158,5521,1715,34.51,110
18,Brazil,Latin America,158,154,3538,830,22.39,81
19,Turkey,Middle East,154,154,4008,988,26.03,101
20,Netherlands,Western Europe,153,148,4684,756,30.61,126
21,Hong Kong,Asiatic Region,141,139,4108,463,29.13,113
22,Switzerland,Western Europe,119,115,4095,621,34.41,146
23,Austria,Western Europe,118,115,5398,750,45.75,107
24,Israel,Middle East,111,110,2729,533,24.59,114
25,Sweden,Western Europe,94,90,5664,567,60.26,111
26,Greece,Western Europe,92,86,1887,467,20.51,83
27,Singapore,Asiatic Region,88,87,2839,309,32.26,105
28,Romania,Eastern Europe,86,86,1391,415,16.17,63
29,Mexico,Latin America,81,79,1306,330,16.12,60
30,Norway,Western Europe,69,69,3939,557,57.09,97
31,Egypt,Africa/Middle East,69,69,1713,347,24.83,83
32,Finland,Western Europe,66,64,2501,272,37.89,80
33,Pakistan,Asiatic Region,61,61,1754,679,28.75,73
34,Czech Republic,Eastern Europe,60,58,952,312,15.87,75
35,Portugal,Western Europe,59,56,1438,356,24.37,72
36,Algeria,Africa,55,55,932,270,16.95,48
37,Serbia,Eastern Europe,46,46,1007,301,21.89,57
38,Hungary,Eastern Europe,46,44,752,158,16.35,61
39,Ireland,Western Europe,43,42,1844,220,42.88,64
40,South Africa,Africa,41,40,755,126,18.41,73
41,Chile,Latin America,38,38,911,195,23.97,52
42,Saudi Arabia,Middle East,38,38,970,173,25.53,101
43,Denmark,Western Europe,34,32,3635,204,106.91,90
44,Ukraine,Eastern Europe,30,30,393,83,13.1,39
45,Argentina,Latin America,30,30,698,67,23.27,53
46,New Zealand,Pacific Region,27,27,786,102,29.11,60
47,Morocco,Africa,27,26,483,96,17.89,36
48,Malaysia,Asiatic Region,26,26,738,171,28.38,57
49,Tunisia,Africa,25,25,789,148,31.56,41
50,Viet Nam,Asiatic Region,22,22,462,84,21.0,50
51,Bulgaria,Eastern Europe,22,22,260,72,11.82,41
52,Slovenia,Eastern Europe,21,21,294,71,14.0,46
53,Thailand,Asiatic Region,19,19,948,153,49.89,42
54,Jordan,Middle East,18,18,768,79,42.67,58
55,Belarus,Eastern Europe,17,17,67,37,3.94,16
56,Colombia,Latin America,16,16,554,132,34.63,31
57,United Arab Emirates,Middle East,15,14,318,14,21.2,40
58,Venezuela,Latin America,15,15,210,30,14.0,27
59,Slovakia,Eastern Europe,14,14,264,97,18.86,46
60,Cuba,Latin America,14,14,203,57,14.5,25
61,Lithuania,Eastern Europe,13,13,87,35,6.69,24
62,Cyprus,Western Europe,12,11,103,26,8.58,29
63,Qatar,Middle East,12,12,420,24,35.0,33
64,Croatia,Eastern Europe,11,11,108,52,9.82,37
65,Estonia,Eastern Europe,11,11,202,76,18.36,35
