Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1187,1178,11050,4931,9.31,157
2,China,Asiatic Region,1005,1002,7644,5062,7.61,85
3,France,Western Europe,549,543,4200,1300,7.65,88
4,Germany,Western Europe,364,356,3211,979,8.82,86
5,Canada,Northern America,280,275,2127,433,7.6,86
6,United Kingdom,Western Europe,274,273,2712,621,9.9,80
7,Italy,Western Europe,241,237,2347,857,9.74,64
8,Spain,Western Europe,216,212,1680,577,7.78,58
9,India,Asiatic Region,204,204,1449,591,7.1,52
10,Japan,Asiatic Region,183,180,1114,347,6.09,55
11,Poland,Eastern Europe,157,156,1174,376,7.48,45
12,Iran,Middle East,141,140,992,357,7.04,47
13,South Korea,Asiatic Region,138,137,835,294,6.05,45
14,Australia,Pacific Region,132,130,1082,240,8.2,57
15,Russian Federation,Eastern Europe,125,124,882,392,7.06,51
16,Israel,Middle East,118,117,848,208,7.19,64
17,Brazil,Latin America,115,114,886,249,7.7,44
18,Turkey,Middle East,110,110,1126,291,10.24,43
19,Saudi Arabia,Middle East,104,103,1292,386,12.42,37
20,Switzerland,Western Europe,94,91,701,170,7.46,41
21,Taiwan,Asiatic Region,90,90,511,130,5.68,47
22,Austria,Western Europe,88,86,767,131,8.72,44
23,Hungary,Eastern Europe,85,84,617,169,7.26,45
24,Czech Republic,Eastern Europe,84,82,586,148,6.98,48
25,Belgium,Western Europe,70,70,1004,143,14.34,46
26,Slovenia,Eastern Europe,67,66,743,231,11.09,47
27,South Africa,Africa,66,66,569,157,8.62,45
28,Netherlands,Western Europe,62,61,359,71,5.79,58
29,Mexico,Latin America,59,59,402,125,6.81,31
30,Portugal,Western Europe,56,55,472,104,8.43,34
31,Romania,Eastern Europe,49,49,412,112,8.41,34
32,Finland,Western Europe,47,46,377,106,8.02,37
33,Sweden,Western Europe,47,47,389,61,8.28,36
34,Thailand,Asiatic Region,46,46,421,139,9.15,25
35,Slovakia,Eastern Europe,46,46,336,83,7.3,38
36,Chile,Latin America,43,43,370,86,8.6,33
37,Algeria,Africa,41,41,273,69,6.66,25
38,Tunisia,Africa,39,38,203,67,5.21,20
39,Singapore,Asiatic Region,37,37,389,56,10.51,35
40,Hong Kong,Asiatic Region,36,33,533,97,14.81,49
41,Malaysia,Asiatic Region,36,36,252,64,7.0,21
42,Morocco,Africa,35,35,273,138,7.8,21
43,Serbia,Eastern Europe,34,33,524,98,15.41,44
44,Norway,Western Europe,34,32,282,48,8.29,38
45,Ukraine,Eastern Europe,34,34,188,107,5.53,26
46,Greece,Western Europe,31,31,347,102,11.19,31
47,Argentina,Latin America,30,30,204,44,6.8,25
48,Pakistan,Asiatic Region,29,29,235,110,8.1,33
49,Ireland,Western Europe,29,29,186,29,6.41,35
50,Viet Nam,Asiatic Region,28,27,119,40,4.25,19
51,New Zealand,Pacific Region,28,28,211,37,7.54,38
52,Croatia,Eastern Europe,24,24,103,36,4.29,24
53,Denmark,Western Europe,24,24,254,38,10.58,33
54,Egypt,Africa/Middle East,17,17,99,32,5.82,26
55,Colombia,Latin America,13,13,141,21,10.85,18
56,Bulgaria,Eastern Europe,12,12,112,21,9.33,22
57,United Arab Emirates,Middle East,9,9,63,8,7.0,15
58,Armenia,Eastern Europe,9,9,61,39,6.78,11
59,Luxembourg,Western Europe,8,8,38,6,4.75,10
60,Malta,Western Europe,8,8,56,26,7.0,13
61,Jordan,Middle East,7,7,41,20,5.86,21
62,Uzbekistan,Asiatic Region,7,7,73,26,10.43,14
63,Qatar,Middle East,6,6,58,13,9.67,9
64,Lebanon,Middle East,6,6,23,8,3.83,12
65,Azerbaijan,Eastern Europe,6,6,31,23,5.17,9
66,Bosnia and Herzegovina,Eastern Europe,5,5,16,3,3.2,9
67,Nigeria,Africa,5,5,29,10,5.8,11
68,Belarus,Eastern Europe,5,4,15,3,3.0,13
69,Moldova,Eastern Europe,5,5,18,10,3.6,13
70,Macao,Asiatic Region,4,4,19,2,4.75,10
71,Indonesia,Asiatic Region,4,4,17,8,4.25,18
72,Botswana,Africa,4,4,1,1,0.25,6
73,Kuwait,Middle East,4,4,22,1,5.5,16
74,Cyprus,Western Europe,4,4,13,0,3.25,8
75,Macedonia,Eastern Europe,3,3,13,7,4.33,9
76,Kazakhstan,Asiatic Region,3,3,22,2,7.33,10
77,Puerto Rico,Latin America,3,3,8,1,2.67,10
78,Philippines,Asiatic Region,3,3,15,10,5.0,14
79,Zimbabwe,Africa,2,2,23,0,11.5,4
80,Mongolia,Asiatic Region,2,2,6,3,3.0,5
81,Iceland,Western Europe,2,2,11,1,5.5,15
82,Iraq,Middle East,2,2,8,3,4.0,12
83,Oman,Middle East,2,2,9,1,4.5,7
84,French Polynesia,Pacific Region,2,2,12,0,6.0,3
85,Georgia,Eastern Europe,2,2,28,7,14.0,8
86,Benin,Africa,2,2,23,6,11.5,4
87,Venezuela,Latin America,2,2,13,1,6.5,16
88,Syrian Arab Republic,Middle East,1,1,10,0,10.0,3
89,Zambia,Africa,1,1,15,0,15.0,1
90,Bahrain,Middle East,1,1,2,1,2.0,3
91,Cape Verde,Africa,1,1,4,0,4.0,2
92,Burkina Faso,Africa,1,1,1,0,1.0,3
93,Ecuador,Latin America,1,1,2,2,2.0,5
94,French Guiana,Latin America,1,1,1,0,1.0,2
95,Uruguay,Latin America,1,1,4,0,4.0,11
96,Mozambique,Africa,1,1,1,1,1.0,1
97,Lithuania,Eastern Europe,1,1,12,0,12.0,10
98,Montenegro,Eastern Europe,1,1,3,1,3.0,5
99,Yemen,Middle East,1,1,3,1,3.0,10
100,Albania,Eastern Europe,1,1,0,0,0.0,6
101,Cameroon,Africa,1,1,6,2,6.0,8
102,Costa Rica,Latin America,1,1,1,0,1.0,3
