Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1213,1197,4310,1834,3.55,152
2,China,Asiatic Region,1079,1075,8461,5881,7.84,97
3,India,Asiatic Region,491,487,4695,2015,9.56,59
4,France,Western Europe,442,412,1384,489,3.13,99
5,Germany,Western Europe,405,394,1188,485,2.93,84
6,United Kingdom,Western Europe,328,308,1285,360,3.92,77
7,Italy,Western Europe,318,297,1408,540,4.43,63
8,Japan,Asiatic Region,311,305,812,324,2.61,59
9,Iran,Middle East,309,309,2467,797,7.98,57
10,Spain,Western Europe,259,253,1242,405,4.8,63
11,Canada,Northern America,245,233,1284,332,5.24,73
12,Turkey,Middle East,209,208,1252,436,5.99,54
13,South Korea,Asiatic Region,168,165,536,203,3.19,49
14,Poland,Eastern Europe,161,160,569,238,3.53,45
15,Brazil,Latin America,156,156,599,240,3.84,44
16,Russian Federation,Eastern Europe,154,148,587,306,3.81,50
17,Australia,Pacific Region,141,140,1032,181,7.32,56
18,Taiwan,Asiatic Region,122,118,949,262,7.78,50
19,Mexico,Latin America,117,116,593,168,5.07,39
20,Israel,Middle East,113,108,407,102,3.6,63
21,Saudi Arabia,Middle East,105,105,777,237,7.4,52
22,Austria,Western Europe,103,101,345,114,3.35,45
23,Czech Republic,Eastern Europe,102,99,368,131,3.61,40
24,Switzerland,Western Europe,96,95,361,69,3.76,47
25,Belgium,Western Europe,95,82,261,100,2.75,42
26,Romania,Eastern Europe,95,95,432,136,4.55,42
27,Pakistan,Asiatic Region,90,90,894,430,9.93,38
28,Netherlands,Western Europe,73,71,208,49,2.85,54
29,Ukraine,Eastern Europe,71,71,181,101,2.55,29
30,Hungary,Eastern Europe,67,66,198,78,2.96,38
31,Sweden,Western Europe,67,66,199,42,2.97,41
32,Finland,Western Europe,54,33,213,36,3.94,37
33,Portugal,Western Europe,53,52,208,50,3.92,35
34,South Africa,Africa,47,46,143,77,3.04,30
35,Viet Nam,Asiatic Region,45,45,334,107,7.42,28
36,Argentina,Latin America,45,44,107,35,2.38,25
37,Chile,Latin America,44,43,175,46,3.98,26
38,Thailand,Asiatic Region,44,44,232,109,5.27,33
39,Algeria,Africa,44,44,220,88,5.0,19
40,Slovenia,Eastern Europe,43,43,130,54,3.02,40
41,Egypt,Africa/Middle East,42,42,470,154,11.19,29
42,Tunisia,Africa,42,42,194,55,4.62,31
43,Serbia,Eastern Europe,41,41,264,85,6.44,42
44,Denmark,Western Europe,39,39,214,43,5.49,29
45,Hong Kong,Asiatic Region,38,38,257,42,6.76,43
46,Malaysia,Asiatic Region,34,34,766,403,22.53,32
47,Nigeria,Africa,34,34,132,41,3.88,20
48,Slovakia,Eastern Europe,33,33,99,29,3.0,29
49,Philippines,Asiatic Region,33,33,69,53,2.09,10
50,Norway,Western Europe,32,31,144,34,4.5,27
51,Ireland,Western Europe,31,30,120,22,3.87,28
52,New Zealand,Pacific Region,31,30,112,28,3.61,28
53,Colombia,Latin America,27,27,190,40,7.04,14
54,Greece,Western Europe,25,25,76,16,3.04,33
55,Morocco,Africa,23,23,54,19,2.35,19
56,Singapore,Asiatic Region,20,19,100,24,5.0,24
57,Kazakhstan,Asiatic Region,19,5,66,35,3.47,10
58,United Arab Emirates,Middle East,19,19,117,47,6.16,18
59,Croatia,Eastern Europe,18,16,46,25,2.56,21
60,Jordan,Middle East,18,18,402,73,22.33,36
61,Bulgaria,Eastern Europe,17,17,46,31,2.71,24
62,Iraq,Middle East,16,16,179,51,11.19,15
63,Burkina Faso,Africa,16,16,13,3,0.81,2
64,Bangladesh,Asiatic Region,11,9,108,41,9.82,12
65,Benin,Africa,11,11,36,3,3.27,4
66,Luxembourg,Western Europe,10,10,25,9,2.5,13
67,Georgia,Eastern Europe,10,9,10,3,1.0,11
68,Azerbaijan,Eastern Europe,9,9,29,15,3.22,11
69,Uruguay,Latin America,9,9,44,8,4.89,12
70,Kuwait,Middle East,8,8,26,7,3.25,12
71,Oman,Middle East,8,8,31,11,3.88,12
72,Qatar,Middle East,7,7,13,0,1.86,12
73,Uzbekistan,Asiatic Region,6,6,54,37,9.0,16
74,Cameroon,Africa,6,6,44,7,7.33,6
75,Senegal,Africa,6,6,5,3,0.83,4
76,North Korea,Asiatic Region,6,6,18,14,3.0,8
77,Macedonia,Eastern Europe,6,6,8,3,1.33,7
78,Yemen,Middle East,5,5,54,37,10.8,10
79,Macao,Asiatic Region,5,5,14,2,2.8,12
80,Armenia,Eastern Europe,4,4,8,1,2.0,8
81,Palestine,Middle East,4,4,159,11,39.75,8
82,Congo,Africa,4,4,2,0,0.5,1
83,Venezuela,Latin America,4,4,6,0,1.5,13
84,Indonesia,Asiatic Region,4,4,29,5,7.25,10
85,Ghana,Africa,4,4,0,0,0.0,3
86,Ethiopia,Africa,3,3,9,3,3.0,6
87,Bosnia and Herzegovina,Eastern Europe,3,3,30,5,10.0,9
88,Malta,Western Europe,3,3,1,0,0.33,11
89,Iceland,Western Europe,3,3,12,2,4.0,9
90,Belarus,Eastern Europe,3,3,12,5,4.0,11
91,Lebanon,Middle East,3,3,7,1,2.33,9
92,Botswana,Africa,3,3,1,0,0.33,9
93,Lithuania,Eastern Europe,3,3,44,7,14.67,11
94,Chad,Africa,2,2,0,0,0.0,1
