Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,204,203,6787,1318,33.27,109
2,Germany,Western Europe,78,77,1649,297,21.14,67
3,United Kingdom,Western Europe,51,51,1471,426,28.84,79
4,China,Asiatic Region,48,48,857,396,17.85,108
5,Japan,Asiatic Region,45,45,1064,177,23.64,58
6,France,Western Europe,40,40,1314,368,32.85,70
7,Italy,Western Europe,38,38,543,207,14.29,65
8,Canada,Northern America,37,37,1284,161,34.7,64
9,Australia,Pacific Region,28,28,767,115,27.39,52
10,Poland,Eastern Europe,27,27,317,59,11.74,54
11,Spain,Western Europe,27,27,843,212,31.22,85
12,Taiwan,Asiatic Region,24,24,1261,221,52.54,76
13,South Korea,Asiatic Region,23,23,592,95,25.74,50
14,India,Asiatic Region,21,21,452,147,21.52,55
15,Israel,Middle East,19,19,365,62,19.21,40
16,Netherlands,Western Europe,19,19,793,85,41.74,50
17,Russian Federation,Eastern Europe,19,18,110,46,5.79,33
18,Czech Republic,Eastern Europe,18,18,811,133,45.06,57
19,Belgium,Western Europe,15,15,463,38,30.87,55
20,Egypt,Africa/Middle East,14,14,205,16,14.64,25
21,Slovakia,Eastern Europe,13,13,371,97,28.54,42
22,Brazil,Latin America,11,11,100,20,9.09,39
23,Singapore,Asiatic Region,9,9,100,23,11.11,30
24,Hungary,Eastern Europe,9,9,155,24,17.22,39
25,Austria,Western Europe,8,8,97,23,12.13,43
26,Iran,Middle East,8,8,231,32,28.88,45
27,New Zealand,Pacific Region,8,8,197,47,24.63,28
28,Turkey,Middle East,7,7,492,36,70.29,37
29,Sweden,Western Europe,7,7,102,26,14.57,35
30,Switzerland,Western Europe,6,6,77,8,12.83,29
31,Finland,Western Europe,6,6,29,12,4.83,37
32,Norway,Western Europe,5,5,28,5,5.6,24
33,Argentina,Latin America,5,5,56,9,11.2,25
34,Portugal,Western Europe,4,4,24,9,6.0,27
35,Hong Kong,Asiatic Region,4,4,812,32,203.0,42
36,Bulgaria,Eastern Europe,4,4,255,5,63.75,21
37,Denmark,Western Europe,3,3,28,2,9.33,26
38,Greece,Western Europe,2,2,24,0,12.0,31
39,Estonia,Eastern Europe,2,2,8,2,4.0,10
40,Serbia,Eastern Europe,1,1,24,4,24.0,26
41,Romania,Eastern Europe,1,1,4,4,4.0,35
42,Saudi Arabia,Middle East,1,1,0,0,0.0,21
43,Oman,Middle East,1,1,163,0,163.0,8
44,Chile,Latin America,1,1,3,0,3.0,25
45,Macedonia,Eastern Europe,1,1,1,0,1.0,3
46,Tunisia,Africa,1,1,19,1,19.0,15
47,Cyprus,Western Europe,1,1,51,10,51.0,11
48,Bangladesh,Asiatic Region,1,1,2,0,2.0,7
49,Ukraine,Eastern Europe,1,1,4,0,4.0,14
50,Georgia,Eastern Europe,1,1,12,2,12.0,14
51,Venezuela,Latin America,1,1,1,0,1.0,12
