Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1126,1100,39712,14751,35.27,233
2,China,Asiatic Region,697,696,28254,12506,40.54,165
3,France,Western Europe,607,584,24389,7218,40.18,158
4,Germany,Western Europe,528,521,23174,7112,43.89,162
5,Russian Federation,Eastern Europe,504,502,18821,5588,37.34,118
6,United Kingdom,Western Europe,493,486,23599,5957,47.87,157
7,Italy,Western Europe,484,468,22015,7541,45.49,140
8,Spain,Western Europe,275,271,18013,4266,65.5,110
9,Japan,Asiatic Region,268,265,10336,2563,38.57,104
10,Canada,Northern America,239,236,10429,1743,43.64,112
11,Brazil,Latin America,196,188,14136,3239,72.12,85
12,India,Asiatic Region,185,185,8862,2358,47.9,90
13,Ukraine,Eastern Europe,177,177,9633,2064,54.42,73
14,Poland,Eastern Europe,169,165,15370,3611,90.95,92
15,Turkey,Middle East,153,153,12185,2667,79.64,92
16,Sweden,Western Europe,127,124,8943,1688,70.42,82
17,Australia,Pacific Region,126,126,8467,1405,67.2,94
18,Switzerland,Western Europe,120,114,16356,5191,136.3,114
19,Iran,Middle East,114,114,7696,1762,67.51,87
20,Mexico,Latin America,113,112,8158,1657,72.19,75
21,Israel,Middle East,111,107,6041,1176,54.42,77
22,Taiwan,Asiatic Region,91,91,13999,2234,153.84,81
23,Netherlands,Western Europe,87,86,14701,2229,168.98,91
24,Belgium,Western Europe,86,85,7163,1536,83.29,85
25,South Korea,Asiatic Region,86,86,8423,1916,97.94,84
26,Egypt,Africa/Middle East,84,84,1139,373,13.56,76
27,Czech Republic,Eastern Europe,82,81,7353,1675,89.67,75
28,Austria,Western Europe,77,77,13357,2297,173.47,87
29,Greece,Western Europe,77,76,12252,2476,159.12,69
30,Romania,Eastern Europe,71,68,14246,2088,200.65,74
31,Portugal,Western Europe,69,59,10313,2063,149.46,69
32,Argentina,Latin America,68,67,4799,900,70.57,46
33,South Africa,Africa,62,60,2442,552,39.39,65
34,Ireland,Western Europe,58,56,7955,1385,137.16,54
35,Hong Kong,Asiatic Region,54,54,1861,201,34.46,87
36,Chile,Latin America,46,46,5012,843,108.96,43
37,Denmark,Western Europe,44,44,6325,1140,143.75,62
38,Hungary,Eastern Europe,42,42,8118,1584,193.29,65
39,Finland,Western Europe,38,38,7530,1492,198.16,72
40,Saudi Arabia,Middle East,37,37,431,130,11.65,72
41,Bulgaria,Eastern Europe,32,32,5813,1136,181.66,53
42,Serbia,Eastern Europe,32,32,9793,1838,306.03,48
43,Pakistan,Asiatic Region,31,31,5957,1275,192.16,72
44,Norway,Western Europe,30,30,8266,1190,275.53,52
45,Slovakia,Eastern Europe,30,30,6169,1114,205.63,37
46,Singapore,Asiatic Region,27,27,457,43,16.93,51
47,Slovenia,Eastern Europe,26,25,4552,809,175.08,48
48,Morocco,Africa,25,25,4338,760,173.52,36
49,Tunisia,Africa,22,22,788,130,35.82,39
50,Algeria,Africa,22,22,405,107,18.41,37
51,Georgia,Eastern Europe,20,20,9468,1794,473.4,45
52,Armenia,Eastern Europe,19,19,11154,1988,587.05,48
53,New Zealand,Pacific Region,18,18,5440,963,302.22,58
54,Venezuela,Latin America,18,17,56,18,3.11,26
55,Colombia,Latin America,17,17,9630,1819,566.47,47
56,Croatia,Eastern Europe,14,14,7046,1305,503.29,49
57,Malaysia,Asiatic Region,14,14,244,47,17.43,46
58,Azerbaijan,Eastern Europe,13,13,4208,704,323.69,24
59,Belarus,Eastern Europe,12,12,9627,1809,802.25,46
60,Jordan,Middle East,11,11,396,48,36.0,37
