Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,6327,6193,40698,25423,6.43,163
2,United States,Northern America,5876,5424,57699,25770,9.82,347
3,Russian Federation,Eastern Europe,2416,2377,11318,7498,4.68,88
4,India,Asiatic Region,2291,2201,12026,5696,5.25,120
5,France,Western Europe,2022,1913,19009,5868,9.4,183
6,Germany,Western Europe,1990,1879,17858,5715,8.97,176
7,United Kingdom,Western Europe,1783,1678,22110,6303,12.4,227
8,Italy,Western Europe,1588,1405,17301,6558,10.89,157
9,Japan,Asiatic Region,1283,1224,7930,2920,6.18,125
10,Canada,Northern America,1083,1000,9669,1893,8.93,146
11,South Korea,Asiatic Region,1033,1016,5608,1920,5.43,90
12,Spain,Western Europe,1029,954,8346,2539,8.11,123
13,Poland,Eastern Europe,992,949,5536,2340,5.58,85
14,Iran,Middle East,808,792,4658,1922,5.76,86
15,Brazil,Latin America,762,704,4283,1678,5.62,94
16,Malaysia,Asiatic Region,699,685,2935,1208,4.2,63
17,Australia,Pacific Region,661,610,6852,1610,10.37,127
18,Turkey,Middle East,659,633,5003,1916,7.59,96
19,Israel,Middle East,469,443,4464,1074,9.52,127
20,Romania,Eastern Europe,418,410,2995,859,7.17,80
21,Ukraine,Eastern Europe,397,394,1378,849,3.47,48
22,Saudi Arabia,Middle East,395,389,4029,994,10.2,85
23,Portugal,Western Europe,382,353,2068,483,5.41,79
24,Taiwan,Asiatic Region,372,358,2456,472,6.6,87
25,Switzerland,Western Europe,367,346,4462,815,12.16,117
26,Indonesia,Asiatic Region,361,358,1075,658,2.98,35
27,Austria,Western Europe,348,327,2960,755,8.51,97
28,Czech Republic,Eastern Europe,329,318,2284,739,6.94,74
29,Thailand,Asiatic Region,320,319,852,347,2.66,40
30,Sweden,Western Europe,318,307,3224,678,10.14,99
31,Netherlands,Western Europe,312,293,2864,555,9.18,99
32,Mexico,Latin America,288,253,1549,535,5.38,64
33,South Africa,Africa,279,270,1696,394,6.08,68
34,Belgium,Western Europe,259,244,3235,552,12.49,92
35,Finland,Western Europe,258,240,2113,493,8.19,83
36,Hungary,Eastern Europe,251,247,1556,418,6.2,68
37,Greece,Western Europe,248,240,2265,565,9.13,75
38,Tunisia,Africa,221,201,1032,409,4.67,43
39,Norway,Western Europe,212,201,2591,459,12.22,80
40,Hong Kong,Asiatic Region,203,186,2457,344,12.1,107
41,Pakistan,Asiatic Region,197,196,1493,602,7.58,72
42,Egypt,Africa/Middle East,190,188,1768,681,9.31,79
43,Chile,Latin America,188,186,1441,418,7.66,61
44,Serbia,Eastern Europe,176,176,1129,340,6.41,51
45,Morocco,Africa,174,174,778,368,4.47,41
46,Viet Nam,Asiatic Region,172,166,1205,460,7.01,53
47,Algeria,Africa,171,170,705,287,4.12,47
48,Denmark,Western Europe,162,154,2237,387,13.81,80
49,Colombia,Latin America,157,152,733,265,4.67,29
50,Singapore,Asiatic Region,147,132,1830,163,12.45,78
51,New Zealand,Pacific Region,131,113,1320,204,10.08,71
52,Argentina,Latin America,127,122,836,271,6.58,57
53,Kazakhstan,Asiatic Region,122,122,494,276,4.05,31
54,Ireland,Western Europe,122,117,869,225,7.12,59
55,Croatia,Eastern Europe,107,87,414,194,3.87,40
56,Slovakia,Eastern Europe,94,92,458,201,4.87,43
57,Azerbaijan,Eastern Europe,93,91,466,252,5.01,32
58,Belarus,Eastern Europe,85,84,291,129,3.42,30
59,Slovenia,Eastern Europe,80,79,670,168,8.38,56
60,Nigeria,Africa,79,77,483,238,6.11,42
61,Georgia,Eastern Europe,79,79,215,94,2.72,33
62,Jordan,Middle East,74,74,570,209,7.7,47
63,Philippines,Asiatic Region,64,64,105,68,1.64,15
64,Lithuania,Eastern Europe,59,59,534,163,9.05,34
65,Bulgaria,Eastern Europe,56,56,265,140,4.73,38
66,United Arab Emirates,Middle East,55,47,429,81,7.8,43
67,Iraq,Middle East,54,54,434,252,8.04,38
68,Luxembourg,Western Europe,47,44,256,43,5.45,22
69,Macao,Asiatic Region,45,42,331,45,7.36,34
70,Uzbekistan,Asiatic Region,41,41,261,142,6.37,24
71,Venezuela,Latin America,38,31,138,29,3.63,29
72,Armenia,Eastern Europe,37,36,94,56,2.54,18
73,Oman,Middle East,32,31,188,24,5.88,29
74,Estonia,Eastern Europe,31,29,132,56,4.26,27
75,Lebanon,Middle East,30,30,121,55,4.03,21
76,Cyprus,Western Europe,29,28,184,22,6.34,35
77,Qatar,Middle East,27,25,230,15,8.52,27
78,Bosnia and Herzegovina,Eastern Europe,26,24,86,36,3.31,22
79,Bangladesh,Asiatic Region,23,23,303,25,13.17,33
80,Latvia,Eastern Europe,23,23,62,18,2.7,23
81,Uruguay,Latin America,22,22,139,39,6.32,26
82,Kuwait,Middle East,20,20,75,11,3.75,24
83,Moldova,Eastern Europe,19,19,72,34,3.79,13
