Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,185594,184561,1708613,1060383,9.21,252
2,United States,Northern America,166006,161430,3424855,1217589,20.63,454
3,Germany,Western Europe,51019,49245,813904,200736,15.95,251
4,United Kingdom,Western Europe,48611,46967,966825,199167,19.89,271
5,France,Western Europe,42561,41141,684155,175412,16.07,224
6,India,Asiatic Region,34797,34385,393640,148828,11.31,173
7,Italy,Western Europe,33474,31802,530555,139814,15.85,200
8,Japan,Asiatic Region,31154,30374,385677,89595,12.38,175
9,Canada,Northern America,28240,27597,507652,80155,17.98,214
10,Russian Federation,Eastern Europe,24769,24424,187343,74278,7.56,105
11,Spain,Western Europe,21950,21267,364362,79790,16.6,169
12,Australia,Pacific Region,20299,19760,323647,56900,15.94,173
13,South Korea,Asiatic Region,19511,19360,277405,48524,14.22,150
14,Netherlands,Western Europe,15323,14730,291931,43851,19.05,185
15,Iran,Middle East,14886,14818,275849,85994,18.53,152
16,Taiwan,Asiatic Region,14580,14389,249070,42756,17.08,162
17,Brazil,Latin America,12890,12615,153741,36798,11.93,119
18,Sweden,Western Europe,11026,10721,182065,28462,16.51,147
19,Poland,Eastern Europe,10945,10627,129183,33982,11.8,109
20,Turkey,Middle East,9903,9646,179448,34805,18.12,149
21,Switzerland,Western Europe,9730,9363,203466,26987,20.91,161
22,Hong Kong,Asiatic Region,8976,8857,210284,22088,23.43,159
23,Belgium,Western Europe,8711,8399,175736,23279,20.17,153
24,Singapore,Asiatic Region,8150,7919,165367,17047,20.29,154
25,Austria,Western Europe,7877,7503,120636,19172,15.31,121
26,Israel,Middle East,7170,6965,114381,16865,15.95,121
27,Portugal,Western Europe,7136,6857,129525,21252,18.15,133
28,Saudi Arabia,Middle East,7098,7032,88919,18853,12.53,110
29,Greece,Western Europe,6942,6685,110834,19195,15.97,123
30,Malaysia,Asiatic Region,6037,5958,83504,17921,13.83,108
31,Denmark,Western Europe,5793,5564,124142,16413,21.43,137
32,Norway,Western Europe,5784,5553,101047,15531,17.47,122
33,Mexico,Latin America,5695,5503,64061,13136,11.25,87
34,Finland,Western Europe,5576,5400,86836,14095,15.57,111
35,Czech Republic,Eastern Europe,5540,5441,54861,14458,9.9,81
36,Ukraine,Eastern Europe,5332,5196,28649,11055,5.37,53
37,Egypt,Africa/Middle East,5066,5039,68879,17591,13.6,98
38,Pakistan,Asiatic Region,4653,4617,55699,18719,11.97,88
39,Hungary,Eastern Europe,4139,4024,47042,9048,11.37,79
40,Romania,Eastern Europe,3958,3892,39469,8037,9.97,79
41,Algeria,Africa,3487,3475,28848,7322,8.27,63
42,Ireland,Western Europe,3364,3288,54255,5939,16.13,93
43,South Africa,Africa,3299,3227,44691,7596,13.55,84
44,Tunisia,Africa,3256,3223,29292,5868,9.0,67
45,New Zealand,Pacific Region,2978,2883,52854,6038,17.75,89
46,Morocco,Africa,2653,2616,19434,5028,7.33,52
