Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,9075,9016,104045,66377,11.47,252
2,United States,Northern America,7625,7325,143145,58246,18.77,454
3,Germany,Western Europe,2593,2504,39927,11885,15.4,251
4,France,Western Europe,2260,2158,36819,9657,16.29,224
5,United Kingdom,Western Europe,2245,2161,49450,11434,22.03,271
6,Italy,Western Europe,1853,1765,28089,8674,15.16,200
7,India,Asiatic Region,1322,1311,18342,7354,13.87,173
8,Canada,Northern America,1271,1229,21412,3838,16.85,214
9,Japan,Asiatic Region,1180,1149,13020,3658,11.03,175
10,Spain,Western Europe,1151,1108,21179,4860,18.4,169
11,Australia,Pacific Region,896,874,14919,3114,16.65,173
12,South Korea,Asiatic Region,851,843,14080,3229,16.55,150
13,Russian Federation,Eastern Europe,824,792,7133,4021,8.66,105
14,Netherlands,Western Europe,732,700,15453,2697,21.11,185
15,Iran,Middle East,708,705,19209,5870,27.13,152
16,Switzerland,Western Europe,619,598,14667,2104,23.69,161
17,Brazil,Latin America,584,570,8214,1978,14.07,119
18,Taiwan,Asiatic Region,556,532,11748,1609,21.13,162
19,Sweden,Western Europe,552,538,11409,2035,20.67,147
20,Belgium,Western Europe,464,442,7635,1262,16.45,153
21,Poland,Eastern Europe,447,425,4738,1660,10.6,109
22,Austria,Western Europe,425,409,6387,1237,15.03,121
23,Portugal,Western Europe,411,392,7238,1298,17.61,133
24,Hong Kong,Asiatic Region,400,392,8168,1207,20.42,159
25,Turkey,Middle East,392,341,6555,1309,16.72,149
26,Malaysia,Asiatic Region,389,368,5358,1157,13.77,108
27,Singapore,Asiatic Region,385,375,7205,1009,18.71,154
28,Israel,Middle East,354,331,4915,886,13.88,121
29,Denmark,Western Europe,334,314,9992,1326,29.92,137
30,Finland,Western Europe,314,294,4506,810,14.35,111
31,Saudi Arabia,Middle East,309,301,5432,1245,17.58,110
32,Greece,Western Europe,307,278,4118,755,13.41,123
33,Czech Republic,Eastern Europe,267,259,3158,730,11.83,81
34,Mexico,Latin America,267,228,2596,556,9.72,87
35,Norway,Western Europe,236,229,3877,743,16.43,122
36,Hungary,Eastern Europe,206,193,2450,467,11.89,79
37,New Zealand,Pacific Region,175,166,6311,493,36.06,89
38,Egypt,Africa/Middle East,173,171,2986,946,17.26,98
39,Ukraine,Eastern Europe,172,157,951,355,5.53,53
40,Romania,Eastern Europe,160,157,1715,427,10.72,79
41,Tunisia,Africa,151,147,1697,379,11.24,67
42,Ireland,Western Europe,146,143,2087,331,14.29,93
43,Serbia,Eastern Europe,145,143,1777,295,12.26,60
44,South Africa,Africa,140,127,2973,472,21.24,84
45,Colombia,Latin America,140,123,1008,277,7.2,52
46,Algeria,Africa,122,122,1451,347,11.89,63
47,Slovenia,Eastern Europe,120,114,1892,339,15.77,74
48,Pakistan,Asiatic Region,117,116,2077,750,17.75,88
49,Croatia,Eastern Europe,112,109,1172,285,10.46,55
50,Chile,Latin America,98,97,2475,245,25.26,69
51,Argentina,Latin America,93,93,1051,229,11.3,67
52,Thailand,Asiatic Region,85,85,747,146,8.79,65
