Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,5684,5406,86860,39031,15.28,578
2,China,Asiatic Region,2942,2909,36015,23054,12.24,209
3,United Kingdom,Western Europe,1733,1682,27963,7648,16.14,336
4,France,Western Europe,1543,1475,19264,5196,12.48,240
5,Germany,Western Europe,1497,1430,25780,6545,17.22,278
6,India,Asiatic Region,1070,1055,9819,4102,9.18,125
7,Italy,Western Europe,1029,991,14947,4044,14.53,183
8,Canada,Northern America,811,790,17125,2568,21.12,229
9,Russian Federation,Eastern Europe,702,686,4464,2261,6.36,123
10,Spain,Western Europe,655,642,8844,2023,13.5,183
11,Japan,Asiatic Region,652,646,6798,1807,10.43,166
12,Iran,Middle East,609,607,5729,1955,9.41,86
13,Australia,Pacific Region,577,562,10240,2014,17.75,195
14,Brazil,Latin America,513,509,4934,1602,9.62,114
15,Switzerland,Western Europe,453,415,12079,1606,26.66,178
16,South Korea,Asiatic Region,428,422,3787,872,8.85,105
17,Netherlands,Western Europe,427,408,6219,1213,14.56,178
18,Poland,Eastern Europe,412,409,3709,1303,9.0,103
19,Belgium,Western Europe,321,312,4159,651,12.96,144
20,Israel,Middle East,314,310,3953,649,12.59,164
21,Sweden,Western Europe,311,298,4731,715,15.21,132
22,Taiwan,Asiatic Region,287,283,2301,426,8.02,102
23,Turkey,Middle East,279,279,2762,667,9.9,88
24,Ukraine,Eastern Europe,262,256,1152,519,4.4,70
25,Hong Kong,Asiatic Region,220,220,2551,347,11.6,127
26,Austria,Western Europe,220,205,2574,457,11.7,127
27,Mexico,Latin America,206,191,1789,392,8.68,88
28,Denmark,Western Europe,191,173,13934,747,72.95,134
29,Pakistan,Asiatic Region,184,183,2410,776,13.1,65
30,Saudi Arabia,Middle East,180,178,3772,716,20.96,74
31,Hungary,Eastern Europe,159,159,1724,484,10.84,103
32,Singapore,Asiatic Region,158,155,2054,310,13.0,98
33,Finland,Western Europe,155,152,4098,405,26.44,112
34,Portugal,Western Europe,155,151,1602,298,10.34,98
35,Greece,Western Europe,152,147,2710,348,17.83,82
36,Czech Republic,Eastern Europe,133,131,1553,372,11.68,74
37,Chile,Latin America,132,130,1474,353,11.17,62
38,South Africa,Africa,129,127,2552,256,19.78,69
39,Argentina,Latin America,126,125,1572,219,12.48,85
40,Egypt,Africa/Middle East,125,125,1883,815,15.06,62
41,Norway,Western Europe,123,119,5060,460,41.14,109
42,Malaysia,Asiatic Region,110,110,1656,409,15.05,61
43,New Zealand,Pacific Region,92,90,1083,161,11.77,90
44,Algeria,Africa,73,72,726,179,9.95,38
45,Colombia,Latin America,68,66,736,141,10.82,34
46,Ireland,Western Europe,67,66,1157,130,17.27,81
47,Serbia,Eastern Europe,61,60,618,109,10.13,46
48,Viet Nam,Asiatic Region,60,60,759,237,12.65,48
49,Slovakia,Eastern Europe,56,56,505,212,9.02,42
50,Romania,Eastern Europe,54,53,663,124,12.28,62
51,Thailand,Asiatic Region,54,54,380,99,7.04,36
52,Morocco,Africa,47,47,543,154,11.55,37
53,Slovenia,Eastern Europe,47,47,946,113,20.13,84
54,Tunisia,Africa,45,45,580,81,12.89,32
55,Belarus,Eastern Europe,43,43,71,41,1.65,31
56,Croatia,Eastern Europe,42,41,284,54,6.76,43
57,Lithuania,Eastern Europe,32,25,257,65,8.03,41
58,Luxembourg,Western Europe,28,27,396,59,14.14,34
59,Macao,Asiatic Region,28,27,224,36,8.0,26
60,Bulgaria,Eastern Europe,27,27,287,37,10.63,41
61,Cyprus,Western Europe,27,25,432,44,16.0,42
62,Cuba,Latin America,27,27,139,29,5.15,25
63,Philippines,Asiatic Region,26,26,147,40,5.65,23
64,Nigeria,Africa,26,26,234,102,9.0,27
65,Kuwait,Middle East,23,23,145,8,6.3,32
66,Indonesia,Asiatic Region,22,22,101,53,4.59,28
67,Bangladesh,Asiatic Region,22,22,217,51,9.86,32
68,Georgia,Eastern Europe,21,21,196,17,9.33,27
69,Uruguay,Latin America,21,21,114,20,5.43,36
70,Jordan,Middle East,18,18,118,40,6.56,37
71,Afghanistan,Asiatic Region,17,17,110,0,6.47,10
72,Ecuador,Latin America,16,16,200,23,12.5,19
73,United Arab Emirates,Middle East,16,16,80,14,5.0,31
74,Estonia,Eastern Europe,15,14,171,10,11.4,36
75,Cameroon,Africa,15,15,104,47,6.93,26
76,Iraq,Middle East,15,15,160,46,10.67,32
77,Kazakhstan,Asiatic Region,13,13,137,9,10.54,25
78,Latvia,Eastern Europe,13,13,105,22,8.08,25
79,Peru,Latin America,12,12,89,11,7.42,18
80,Uzbekistan,Asiatic Region,11,11,39,15,3.55,21
81,Iceland,Western Europe,11,11,232,53,21.09,26
82,Armenia,Eastern Europe,10,10,68,10,6.8,36
83,Senegal,Africa,9,8,31,5,3.44,14
84,Venezuela,Latin America,9,9,27,6,3.0,37
85,Palestine,Middle East,9,9,42,3,4.67,12
86,Costa Rica,Latin America,8,8,290,3,36.25,13
87,Sri Lanka,Asiatic Region,8,8,25,10,3.13,17
88,Bosnia and Herzegovina,Eastern Europe,8,8,56,28,7.0,11
89,Azerbaijan,Eastern Europe,8,8,21,9,2.63,17
90,Qatar,Middle East,8,8,190,18,23.75,27
91,Macedonia,Eastern Europe,7,7,141,33,20.14,25
92,Lebanon,Middle East,7,7,31,11,4.43,18
93,Tanzania,Africa,7,7,85,3,12.14,14
94,Mauritius,Africa,7,7,73,30,10.43,10
95,Côte d’Ivoire,Africa,6,6,11,3,1.83,10
96,Ghana,Africa,6,6,71,18,11.83,19
97,Yemen,Middle East,6,6,167,1,27.83,14
98,Libya,Africa,6,6,4,0,0.67,7
99,Fiji,Pacific Region,5,5,151,23,30.2,22
100,Botswana,Africa,5,5,74,18,14.8,14
101,Malta,Western Europe,4,4,28,2,7.0,8
102,Benin,Africa,4,4,91,2,22.75,15
103,Ethiopia,Africa,4,4,10,2,2.5,15
104,Mozambique,Africa,4,4,4,1,1.0,4
105,Oman,Middle East,4,4,23,2,5.75,25
106,Panama,Latin America,3,3,106,8,35.33,11
107,Gabon,Africa,3,3,11,6,3.67,8
108,Nepal,Asiatic Region,3,3,162,18,54.0,8
109,Bolivia,Latin America,3,3,1335,12,445.0,8
110,Kenya,Africa,3,3,25,2,8.33,18
111,Moldova,Eastern Europe,3,3,6,4,2.0,12
112,Uganda,Africa,2,2,42,1,21.0,10
113,Malawi,Africa,2,2,31,6,15.5,8
114,Syrian Arab Republic,Middle East,2,2,9,7,4.5,6
115,Brunei Darussalam,Asiatic Region,2,2,7,2,3.5,5
116,North Korea,Asiatic Region,2,2,14,10,7.0,8
117,Trinidad and Tobago,Latin America,2,2,15,1,7.5,5
118,Montenegro,Eastern Europe,2,2,8,1,4.0,7
