Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,37731,37436,409718,267089,10.86,423
2,United States,Northern America,35504,34241,664221,258771,18.71,970
3,Germany,Western Europe,13182,12642,198497,56098,15.06,474
4,France,Western Europe,11781,11365,174965,49018,14.85,407
5,United Kingdom,Western Europe,10867,10448,201960,48295,18.58,529
6,Italy,Western Europe,9029,8435,123539,43303,13.68,346
7,Japan,Asiatic Region,7519,7344,65061,19932,8.65,295
8,India,Asiatic Region,7251,7122,85100,33958,11.74,252
9,Spain,Western Europe,6681,6459,97049,24049,14.53,315
10,Canada,Northern America,6464,6205,104013,18207,16.09,384
11,Russian Federation,Eastern Europe,5193,5093,43206,20597,8.32,199
12,South Korea,Asiatic Region,4843,4765,52363,12921,10.81,239
13,Australia,Pacific Region,4596,4441,74290,15018,16.16,326
14,Poland,Eastern Europe,3763,3655,34921,13977,9.28,193
15,Taiwan,Asiatic Region,3762,3702,40150,7791,10.67,229
16,Iran,Middle East,3442,3423,57647,19932,16.75,200
17,Brazil,Latin America,3306,3236,42914,12603,12.98,203
18,Netherlands,Western Europe,3120,2978,52928,9804,16.96,323
19,Turkey,Middle East,2747,2708,38866,11035,14.15,202
20,Switzerland,Western Europe,2557,2457,53834,9073,21.05,321
21,Austria,Western Europe,2265,2170,31364,6954,13.85,231
22,Portugal,Western Europe,2235,2012,28102,6416,12.57,196
23,Israel,Middle East,2144,2052,31991,5817,14.92,271
24,Belgium,Western Europe,2093,2015,34243,5896,16.36,269
25,Sweden,Western Europe,2081,2009,43490,6551,20.9,259
26,Czech Republic,Eastern Europe,1884,1835,18567,5986,9.86,157
27,Saudi Arabia,Middle East,1846,1829,32302,7738,17.5,164
28,Malaysia,Asiatic Region,1756,1693,18847,5283,10.73,144
29,Hong Kong,Asiatic Region,1739,1709,43375,4477,24.94,267
30,Mexico,Latin America,1700,1658,15471,4960,9.1,157
31,Singapore,Asiatic Region,1632,1576,32501,3857,19.91,255
32,Greece,Western Europe,1630,1567,22346,5308,13.71,192
33,Romania,Eastern Europe,1610,1597,17143,4643,10.65,139
34,Finland,Western Europe,1486,1452,22247,4510,14.97,213
35,Denmark,Western Europe,1272,1230,22660,3969,17.81,241
36,Norway,Western Europe,1271,1222,21075,3737,16.58,196
37,Ukraine,Eastern Europe,1090,1070,8605,3875,7.89,105
38,Hungary,Eastern Europe,1043,991,9970,2546,9.56,163
39,Egypt,Africa/Middle East,977,972,12941,4223,13.25,140
40,Thailand,Asiatic Region,934,924,6961,2105,7.45,102
41,Ireland,Western Europe,905,870,13589,1972,15.02,155
42,South Africa,Africa,862,834,10885,2640,12.63,144
43,Pakistan,Asiatic Region,842,833,12589,4794,14.95,130
44,New Zealand,Pacific Region,763,735,10013,1999,13.12,165
45,Tunisia,Africa,730,728,5085,1771,6.97,94
46,Chile,Latin America,690,671,9031,2284,13.09,122
47,Algeria,Africa,655,653,7637,1976,11.66,104
48,Serbia,Eastern Europe,652,642,7240,2034,11.1,112
49,Slovenia,Eastern Europe,613,587,11335,1997,18.49,130
50,Argentina,Latin America,597,576,5797,1429,9.71,121
51,Morocco,Africa,578,577,4769,1564,8.25,84
52,Viet Nam,Asiatic Region,524,513,5563,1801,10.62,106
53,Colombia,Latin America,511,498,7419,1374,14.52,90
54,Slovakia,Eastern Europe,508,501,5842,1933,11.5,103
55,Bulgaria,Eastern Europe,376,358,3045,1074,8.1,86
56,Croatia,Eastern Europe,363,357,4079,1427,11.24,87
57,Indonesia,Asiatic Region,341,334,2821,1142,8.27,65
58,Luxembourg,Western Europe,288,276,4409,600,15.31,80
59,United Arab Emirates,Middle East,270,267,3866,567,14.32,99
60,Cyprus,Western Europe,253,239,3433,729,13.57,81
61,Jordan,Middle East,252,249,3291,947,13.06,107
62,Lithuania,Eastern Europe,226,225,1950,714,8.63,76
63,Belarus,Eastern Europe,217,212,1602,641,7.38,71
64,Macao,Asiatic Region,184,177,2900,401,15.76,76
65,Georgia,Eastern Europe,178,176,1150,558,6.46,61
66,Qatar,Middle East,161,158,3121,431,19.39,85
67,Estonia,Eastern Europe,154,151,2151,630,13.97,80
68,Nigeria,Africa,149,149,1793,411,12.03,67
69,Kuwait,Middle East,148,137,1873,168,12.66,81
70,Bangladesh,Asiatic Region,147,146,1203,295,8.18,67
71,Venezuela,Latin America,144,140,1241,145,8.62,71
72,Kazakhstan,Asiatic Region,143,143,931,475,6.51,48
73,Latvia,Eastern Europe,142,137,866,218,6.1,46
74,Iraq,Middle East,137,136,1212,302,8.85,67
75,Cuba,Latin America,130,130,1186,342,9.12,52
76,Azerbaijan,Eastern Europe,125,125,1818,516,14.54,51
77,Lebanon,Middle East,119,117,1280,219,10.76,62
78,Armenia,Eastern Europe,119,119,1184,596,9.95,55
79,Uzbekistan,Asiatic Region,102,101,899,447,8.81,40
80,Oman,Middle East,86,85,892,95,10.37,63
81,Uruguay,Latin America,83,80,591,146,7.12,49
82,Cameroon,Africa,82,81,790,255,9.63,55
83,Iceland,Western Europe,65,62,718,107,11.05,54
84,Sri Lanka,Asiatic Region,50,50,946,72,18.92,46
85,Montenegro,Eastern Europe,47,47,365,131,7.77,33
86,Macedonia,Eastern Europe,44,43,443,84,10.07,43
87,Moldova,Eastern Europe,43,43,252,88,5.86,31
88,Philippines,Asiatic Region,42,38,286,69,6.81,42
89,Puerto Rico,Latin America,41,41,378,24,9.22,46
90,Bosnia and Herzegovina,Eastern Europe,41,41,490,112,11.95,38
91,Malta,Western Europe,40,39,416,111,10.4,33
92,Kenya,Africa,38,38,358,23,9.42,37
93,Senegal,Africa,36,36,252,30,7.0,32
94,Botswana,Africa,31,30,137,32,4.42,24
95,Peru,Latin America,29,29,365,158,12.59,38
96,Libya,Africa,29,29,160,5,5.52,30
97,Palestine,Middle East,28,28,363,31,12.96,40
98,Albania,Eastern Europe,27,27,105,40,3.89,25
99,Bahrain,Middle East,27,27,256,23,9.48,32
100,Benin,Africa,26,26,434,121,16.69,25
101,Yemen,Middle East,25,25,280,20,11.2,43
102,Sudan,Africa,22,22,196,16,8.91,26
103,Uganda,Africa,22,22,216,18,9.82,26
104,Burkina Faso,Africa,19,19,77,33,4.05,19
105,Fiji,Pacific Region,19,19,347,116,18.26,30
106,Ecuador,Latin America,19,19,263,50,13.84,48
107,Mongolia,Asiatic Region,17,12,72,13,4.24,21
108,Tajikistan,Asiatic Region,15,15,21,12,1.4,9
109,Ghana,Africa,15,15,455,12,30.33,33
110,Brunei Darussalam,Asiatic Region,15,15,127,30,8.47,27
111,Mauritius,Africa,15,15,100,30,6.67,27
112,Syrian Arab Republic,Middle East,14,13,158,6,11.29,26
113,Ethiopia,Africa,13,13,54,2,4.15,36
114,Costa Rica,Latin America,12,12,117,9,9.75,33
115,Turkmenistan,Asiatic Region,11,10,140,36,12.73,22
116,Côte d’Ivoire,Africa,11,11,66,17,6.0,23
117,Guadeloupe,Latin America,10,9,58,6,5.8,19
118,Zimbabwe,Africa,9,9,76,17,8.44,29
119,Jamaica,Latin America,9,9,54,15,6.0,19
120,Trinidad and Tobago,Latin America,9,9,60,9,6.67,19
121,Mali,Africa,8,8,34,2,4.25,9
122,New Caledonia,Pacific Region,8,8,24,2,3.0,13
