Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,806,766,43294,20358,53.71,280
2,China,Asiatic Region,403,403,2396,897,5.95,95
3,United Kingdom,Western Europe,208,198,10641,2672,51.16,176
4,Germany,Western Europe,193,187,11203,2381,58.05,165
5,Japan,Asiatic Region,187,183,4669,899,24.97,126
6,Italy,Western Europe,167,164,6471,1437,38.75,126
7,Brazil,Latin America,136,136,2833,700,20.83,72
8,France,Western Europe,118,117,4719,664,39.99,128
9,Spain,Western Europe,111,105,2483,478,22.37,105
10,Canada,Northern America,102,99,6502,918,63.75,142
11,India,Asiatic Region,74,72,751,228,10.15,45
12,Australia,Pacific Region,62,59,3340,403,53.87,116
13,Iran,Middle East,62,62,998,186,16.1,41
14,Turkey,Middle East,59,56,1075,136,18.22,56
15,Netherlands,Western Europe,54,51,3718,529,68.85,112
16,Poland,Eastern Europe,50,50,560,133,11.2,56
17,Switzerland,Western Europe,42,42,2620,222,62.38,107
18,Chile,Latin America,42,40,343,135,8.17,41
19,Czech Republic,Eastern Europe,33,33,352,88,10.67,63
20,Argentina,Latin America,32,32,743,224,23.22,50
21,Grenada,Latin America,28,26,545,53,19.46,40
22,South Korea,Asiatic Region,28,28,900,213,32.14,67
23,Belgium,Western Europe,27,26,1226,95,45.41,82
24,South Africa,Africa,27,27,694,155,25.7,60
25,Greece,Western Europe,26,25,581,49,22.35,44
26,New Zealand,Pacific Region,24,24,1231,152,51.29,60
27,Austria,Western Europe,24,23,1070,115,44.58,84
28,Israel,Middle East,20,19,606,67,30.3,65
29,Taiwan,Asiatic Region,20,20,965,49,48.25,64
30,Denmark,Western Europe,20,18,784,176,39.2,67
31,Russian Federation,Eastern Europe,19,19,552,105,29.05,42
32,Sweden,Western Europe,19,19,680,133,35.79,80
33,Portugal,Western Europe,18,18,904,104,50.22,55
34,Thailand,Asiatic Region,15,15,369,10,24.6,35
35,Finland,Western Europe,15,15,564,63,37.6,73
36,Mexico,Latin America,15,14,303,53,20.2,50
37,Bulgaria,Eastern Europe,14,12,142,12,10.14,24
38,Ireland,Western Europe,13,11,210,7,16.15,54
39,Hong Kong,Asiatic Region,11,9,306,31,27.82,65
40,Nigeria,Africa,11,11,151,28,13.73,24
41,Hungary,Eastern Europe,10,10,394,62,39.4,40
42,Slovakia,Eastern Europe,9,9,179,18,19.89,27
43,Kenya,Africa,7,7,77,7,11.0,22
44,Trinidad and Tobago,Latin America,7,7,44,1,6.29,12
45,Uruguay,Latin America,7,6,94,2,13.43,18
46,Singapore,Asiatic Region,6,6,431,26,71.83,48
47,Colombia,Latin America,6,6,136,31,22.67,26
48,Norway,Western Europe,6,6,142,19,23.67,55
49,Romania,Eastern Europe,5,5,69,1,13.8,36
50,Malaysia,Asiatic Region,5,5,58,2,11.6,26
51,Tanzania,Africa,4,4,55,0,13.75,18
52,Egypt,Africa/Middle East,4,4,40,6,10.0,26
53,Jordan,Middle East,4,4,97,3,24.25,19
54,Côte d’Ivoire,Africa,3,3,37,2,12.33,10
55,Bolivia,Latin America,3,3,207,28,69.0,27
56,Senegal,Africa,3,3,78,0,26.0,14
57,Bahrain,Middle East,3,2,57,0,19.0,13
58,Kuwait,Middle East,3,3,17,1,5.67,14
59,Croatia,Eastern Europe,2,2,37,7,18.5,37
60,Ukraine,Eastern Europe,2,2,10,8,5.0,16
61,United Arab Emirates,Middle East,2,2,10,1,5.0,23
62,Saudi Arabia,Middle East,2,2,38,0,19.0,44
63,Lithuania,Eastern Europe,2,2,22,0,11.0,17
64,Cuba,Latin America,2,2,101,11,50.5,24
65,Mongolia,Asiatic Region,2,2,51,1,25.5,7
66,Costa Rica,Latin America,2,2,15,1,7.5,14
67,Venezuela,Latin America,2,2,12,3,6.0,15
68,Serbia,Eastern Europe,2,2,12,5,6.0,30
69,Armenia,Eastern Europe,1,1,9,0,9.0,7
70,Georgia,Eastern Europe,1,1,1,1,1.0,12
71,Guatemala,Latin America,1,1,63,1,63.0,8
72,Ethiopia,Africa,1,1,49,0,49.0,14
73,Estonia,Eastern Europe,1,0,5,0,5.0,16
74,Algeria,Africa,1,1,29,9,29.0,8
75,Kazakhstan,Asiatic Region,1,1,10,1,10.0,7
76,Lebanon,Middle East,1,0,6,1,6.0,11
77,Latvia,Eastern Europe,1,1,13,0,13.0,6
78,Madagascar,Africa,1,1,20,0,20.0,12
79,Oman,Middle East,1,1,9,0,9.0,11
80,Peru,Latin America,1,1,6,3,6.0,26
81,Paraguay,Latin America,1,1,65,24,65.0,28
82,Congo,Africa,1,1,62,5,62.0,9
83,Slovenia,Eastern Europe,1,1,72,6,72.0,21
84,Netherlands Antilles,Latin America,1,1,46,0,46.0,17
85,Greenland,Western Europe,1,1,36,3,36.0,4
