Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1163,1099,1307,641,1.12,280
2,China,Asiatic Region,561,557,459,229,0.82,95
3,India,Asiatic Region,398,376,140,41,0.35,45
4,United Kingdom,Western Europe,314,304,653,159,2.08,176
5,Germany,Western Europe,301,293,559,180,1.86,165
6,Japan,Asiatic Region,248,235,243,42,0.98,126
7,Italy,Western Europe,241,230,454,98,1.88,126
8,Turkey,Middle East,227,223,144,32,0.63,56
9,Spain,Western Europe,221,215,372,71,1.68,105
10,Canada,Northern America,201,198,378,85,1.88,142
11,Brazil,Latin America,197,191,280,50,1.42,72
12,France,Western Europe,177,170,334,74,1.89,128
13,Australia,Pacific Region,175,164,443,102,2.53,116
14,Russian Federation,Eastern Europe,170,168,160,14,0.94,42
15,Poland,Eastern Europe,138,136,79,32,0.57,56
16,Egypt,Africa/Middle East,133,133,133,54,1.0,26
17,Saudi Arabia,Middle East,123,123,177,58,1.44,44
18,Netherlands,Western Europe,110,108,370,68,3.36,112
19,Pakistan,Asiatic Region,97,97,237,154,2.44,38
20,South Korea,Asiatic Region,94,91,101,17,1.07,67
21,South Africa,Africa,93,92,253,22,2.72,60
22,Chile,Latin America,91,89,47,10,0.52,41
23,Switzerland,Western Europe,82,78,217,36,2.65,107
24,Iran,Middle East,80,79,80,21,1.0,41
25,Nigeria,Africa,63,62,20,9,0.32,24
26,Grenada,Latin America,62,61,61,9,0.98,40
27,Austria,Western Europe,61,58,43,10,0.7,84
28,Belgium,Western Europe,58,55,144,13,2.48,82
29,Argentina,Latin America,47,47,39,15,0.83,50
30,Sweden,Western Europe,46,45,163,11,3.54,80
31,Mexico,Latin America,45,44,44,6,0.98,50
32,Greece,Western Europe,43,37,48,6,1.12,44
33,Portugal,Western Europe,39,39,53,6,1.36,55
34,Norway,Western Europe,37,37,234,37,6.32,55
35,Czech Republic,Eastern Europe,37,36,63,11,1.7,63
36,Romania,Eastern Europe,36,35,31,4,0.86,36
37,Ireland,Western Europe,36,35,187,11,5.19,54
38,Colombia,Latin America,33,33,31,2,0.94,26
39,Taiwan,Asiatic Region,30,27,37,3,1.23,64
40,Serbia,Eastern Europe,30,29,22,3,0.73,30
41,Denmark,Western Europe,29,29,28,5,0.97,67
42,Thailand,Asiatic Region,28,26,13,4,0.46,35
43,New Zealand,Pacific Region,26,25,29,1,1.12,60
44,Finland,Western Europe,24,24,50,7,2.08,73
45,Malaysia,Asiatic Region,22,22,40,5,1.82,26
46,United Arab Emirates,Middle East,20,19,10,4,0.5,23
47,Hungary,Eastern Europe,19,18,13,6,0.68,40
48,Bulgaria,Eastern Europe,19,16,7,4,0.37,24
49,Singapore,Asiatic Region,19,19,122,10,6.42,48
50,Hong Kong,Asiatic Region,18,18,24,0,1.33,65
51,Jordan,Middle East,17,17,22,2,1.29,19
52,Israel,Middle East,17,17,29,0,1.71,65
53,Indonesia,Asiatic Region,12,12,1,0,0.08,19
54,Slovenia,Eastern Europe,12,12,8,0,0.67,21
