Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3110,2353,106985,51478,34.4,361
2,United Kingdom,Western Europe,1169,812,29631,6316,25.35,261
3,Germany,Western Europe,836,690,26357,5823,31.53,225
4,Japan,Asiatic Region,736,672,7330,1517,9.96,135
5,France,Western Europe,710,509,13782,2604,19.41,193
6,India,Asiatic Region,604,401,4187,949,6.93,79
7,Canada,Northern America,589,473,21494,3434,36.49,225
8,Australia,Pacific Region,424,348,14546,2211,34.31,183
9,Italy,Western Europe,407,287,13204,2631,32.44,185
10,South Korea,Asiatic Region,383,359,5035,839,13.15,92
11,Spain,Western Europe,382,300,7909,1252,20.7,155
12,Turkey,Middle East,371,349,3715,815,10.01,80
13,Netherlands,Western Europe,322,260,15126,1935,46.98,193
14,China,Asiatic Region,202,151,6510,1962,32.23,105
15,Sweden,Western Europe,195,161,9408,1092,48.25,163
16,Switzerland,Western Europe,191,153,7518,680,39.36,158
17,Belgium,Western Europe,182,150,6652,737,36.55,155
18,Denmark,Western Europe,161,134,8748,1512,54.34,168
19,Brazil,Latin America,155,143,3625,881,23.39,95
20,Austria,Western Europe,113,100,6080,538,53.81,137
21,Taiwan,Asiatic Region,107,98,2349,302,21.95,87
22,Norway,Western Europe,107,77,3596,510,33.61,119
23,Mexico,Latin America,97,87,480,85,4.95,46
24,New Zealand,Pacific Region,96,76,3791,329,39.49,95
25,Czech Republic,Eastern Europe,84,67,1608,145,19.14,72
26,Egypt,Africa/Middle East,75,74,1146,79,15.28,53
27,Finland,Western Europe,75,59,2187,183,29.16,113
28,Israel,Middle East,73,57,3467,305,47.49,126
29,Ireland,Western Europe,71,51,1867,130,26.3,99
30,South Africa,Africa,66,53,753,89,11.41,75
31,Greece,Western Europe,54,42,1966,215,36.41,88
32,Colombia,Latin America,51,42,181,58,3.55,39
33,Hong Kong,Asiatic Region,43,38,2126,126,49.44,87
34,Iran,Middle East,41,38,660,124,16.1,50
35,Saudi Arabia,Middle East,35,33,431,25,12.31,57
36,Singapore,Asiatic Region,32,28,1612,132,50.38,73
37,Chile,Latin America,30,24,231,37,7.7,45
38,Poland,Eastern Europe,28,26,966,183,34.5,76
39,Pakistan,Asiatic Region,26,17,67,6,2.58,23
40,Portugal,Western Europe,26,22,1357,95,52.19,70
41,Romania,Eastern Europe,21,19,489,12,23.29,31
42,Morocco,Africa,20,6,77,9,3.85,20
43,Hungary,Eastern Europe,19,17,430,54,22.63,54
44,Lebanon,Middle East,19,12,378,13,19.89,53
45,Argentina,Latin America,18,15,938,37,52.11,47
46,Oman,Middle East,14,10,73,2,5.21,16
47,Sri Lanka,Asiatic Region,12,7,7,0,0.58,14
48,Nigeria,Africa,12,12,205,10,17.08,24
49,Tunisia,Africa,12,10,56,2,4.67,20
50,Iceland,Western Europe,10,6,348,9,34.8,36
51,Croatia,Eastern Europe,10,8,186,2,18.6,39
52,Thailand,Asiatic Region,10,6,139,5,13.9,43
53,Bulgaria,Eastern Europe,9,9,19,0,2.11,15
54,Russian Federation,Eastern Europe,8,8,81,11,10.13,46
55,United Arab Emirates,Middle East,7,5,29,2,4.14,26
56,Malaysia,Asiatic Region,7,6,48,6,6.86,30
57,Qatar,Middle East,6,6,127,12,21.17,25
58,Luxembourg,Western Europe,6,5,491,16,81.83,28
59,Uganda,Africa,6,6,192,60,32.0,28
60,Cuba,Latin America,5,3,12,1,2.4,8
61,Jordan,Middle East,5,5,113,1,22.6,23
62,Slovenia,Eastern Europe,5,4,94,16,18.8,31
63,Nepal,Asiatic Region,4,3,55,0,13.75,18
64,Serbia,Eastern Europe,4,4,152,12,38.0,30
65,Uruguay,Latin America,4,4,9,0,2.25,19
66,Viet Nam,Asiatic Region,4,4,69,20,17.25,15
67,Benin,Africa,3,1,37,2,12.33,10
68,Estonia,Eastern Europe,3,1,87,1,29.0,28
69,Venezuela,Latin America,3,3,38,0,12.67,20
70,Algeria,Africa,2,1,0,0,0.0,6
71,Albania,Eastern Europe,2,1,15,1,7.5,6
72,Reunion,Africa,2,2,7,3,3.5,3
73,Lithuania,Eastern Europe,2,2,34,1,17.0,26
74,Mongolia,Asiatic Region,2,2,7,2,3.5,7
75,Trinidad and Tobago,Latin America,2,2,4,1,2.0,8
76,Ghana,Africa,1,1,13,8,13.0,8
77,Gabon,Africa,1,0,0,0,0.0,2
78,Ethiopia,Africa,1,1,15,7,15.0,20
79,Slovakia,Eastern Europe,1,1,0,0,0.0,20
80,San Marino,Western Europe,1,1,63,5,63.0,4
81,Syrian Arab Republic,Middle East,1,1,25,0,25.0,4
82,Tonga,Pacific Region,1,1,3,0,3.0,2
83,Costa Rica,Latin America,1,1,55,0,55.0,14
84,Ukraine,Eastern Europe,1,1,4,0,4.0,19
85,Burkina Faso,Africa,1,0,0,0,0.0,7
86,Bangladesh,Asiatic Region,1,1,14,5,14.0,9
87,Zambia,Africa,1,1,52,9,52.0,16
88,Zimbabwe,Africa,1,1,15,1,15.0,9
89,Malawi,Africa,1,1,0,0,0.0,9
90,Malta,Western Europe,1,0,1,0,1.0,14
91,Peru,Latin America,1,1,20,0,20.0,12
92,Panama,Latin America,1,1,34,1,34.0,7
93,Philippines,Asiatic Region,1,1,12,0,12.0,13
94,Latvia,Eastern Europe,1,0,16,0,16.0,16
95,Puerto Rico,Latin America,1,1,234,5,234.0,13
96,Laos,Asiatic Region,1,1,0,0,0.0,0
97,Kazakhstan,Asiatic Region,1,1,10,0,10.0,6
98,Jamaica,Latin America,1,1,10,0,10.0,4
99,Rwanda,Africa,1,1,22,11,22.0,10
100,Indonesia,Asiatic Region,1,1,55,0,55.0,17
