Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,16514,12610,286358,117604,17.34,704
2,United Kingdom,Western Europe,3940,3262,100181,17905,25.43,469
3,Germany,Western Europe,3845,3152,80535,16377,20.95,466
4,Italy,Western Europe,3842,3029,69155,16238,18.0,427
5,Japan,Asiatic Region,3527,3093,42187,10884,11.96,321
6,China,Asiatic Region,3117,2728,43359,20063,13.91,215
7,Canada,Northern America,2647,2191,59800,9237,22.59,425
8,France,Western Europe,2192,1863,48154,6423,21.97,400
9,Netherlands,Western Europe,2109,1817,57052,7870,27.05,403
10,Spain,Western Europe,1917,1644,37069,5254,19.34,306
11,Australia,Pacific Region,1501,1270,41083,5021,27.37,303
12,Switzerland,Western Europe,1153,957,29639,3062,25.71,294
13,Turkey,Middle East,1152,885,9078,1286,7.88,145
14,South Korea,Asiatic Region,1101,958,16149,2855,14.67,193
15,Russian Federation,Eastern Europe,1092,1063,9249,2153,8.47,127
16,India,Asiatic Region,995,803,8263,1331,8.3,136
17,Brazil,Latin America,992,784,15282,2203,15.41,191
18,Sweden,Western Europe,963,844,28304,2909,29.39,306
19,Poland,Eastern Europe,955,802,14537,2277,15.22,217
20,Greece,Western Europe,852,632,17541,1983,20.59,220
21,Belgium,Western Europe,838,706,25167,2159,30.03,306
22,Denmark,Western Europe,788,708,24693,2783,31.34,258
23,Iran,Middle East,556,496,3965,1099,7.13,82
24,Czech Republic,Eastern Europe,545,496,8140,637,14.94,167
25,Austria,Western Europe,516,440,15435,1195,29.91,237
26,Portugal,Western Europe,498,385,9675,718,19.43,150
27,Taiwan,Asiatic Region,452,401,7492,1156,16.58,154
28,Norway,Western Europe,426,366,14977,1046,35.16,228
29,Israel,Middle East,399,344,10130,644,25.39,220
30,Finland,Western Europe,325,293,9140,660,28.12,231
31,Singapore,Asiatic Region,310,275,7244,531,23.37,141
32,Argentina,Latin America,300,246,3970,244,13.23,139
33,Egypt,Africa/Middle East,282,260,2751,248,9.76,82
34,Ireland,Western Europe,259,230,8623,420,33.29,158
35,Colombia,Latin America,235,225,1747,148,7.43,81
36,Mexico,Latin America,228,210,1972,164,8.65,102
37,Hungary,Eastern Europe,228,207,6960,590,30.53,154
38,Hong Kong,Asiatic Region,226,185,3815,338,16.88,141
39,Saudi Arabia,Middle East,225,205,3517,207,15.63,98
40,New Zealand,Pacific Region,193,178,5604,327,29.04,162
41,South Africa,Africa,171,151,3624,417,21.19,144
42,Romania,Eastern Europe,161,140,4201,314,26.09,121
43,Serbia,Eastern Europe,155,128,7530,342,48.58,109
44,Slovakia,Eastern Europe,122,106,2305,75,18.89,90
45,Georgia,Eastern Europe,113,99,5087,81,45.02,83
46,Thailand,Asiatic Region,108,96,1309,160,12.12,83
47,Chile,Latin America,89,77,2539,116,28.53,88
48,United Arab Emirates,Middle East,83,72,1129,59,13.6,68
49,Slovenia,Eastern Europe,83,74,3368,142,40.58,90
50,Lebanon,Middle East,79,67,2334,62,29.54,63
51,Malaysia,Asiatic Region,78,77,1317,154,16.88,67
52,Croatia,Eastern Europe,72,58,3374,153,46.86,87
53,Belarus,Eastern Europe,71,70,995,26,14.01,29
54,Qatar,Middle East,60,51,1094,52,18.23,54
55,Ukraine,Eastern Europe,54,49,1684,42,31.19,61
56,Cyprus,Western Europe,54,38,2156,94,39.93,69
57,Bulgaria,Eastern Europe,53,48,2074,47,39.13,72
58,Lithuania,Eastern Europe,53,49,2179,65,41.11,75
59,Indonesia,Asiatic Region,52,51,824,72,15.85,46
60,Pakistan,Asiatic Region,51,48,1117,78,21.9,55
61,Ecuador,Latin America,50,48,252,48,5.04,27
62,Nigeria,Africa,48,43,1005,77,20.94,43
63,Tunisia,Africa,40,38,994,22,24.85,48
64,Venezuela,Latin America,37,36,273,17,7.38,52
65,Jordan,Middle East,36,35,555,37,15.42,37
66,Morocco,Africa,36,35,1110,38,30.83,32
67,Peru,Latin America,32,29,436,23,13.63,47
68,Viet Nam,Asiatic Region,32,32,403,26,12.59,31
69,Iceland,Western Europe,31,30,1877,29,60.55,73
70,Oman,Middle East,29,24,383,30,13.21,31
71,Iraq,Middle East,26,23,254,17,9.77,26
72,Luxembourg,Western Europe,25,20,1372,24,54.88,49
73,Philippines,Asiatic Region,25,24,1016,31,40.64,59
74,Cameroon,Africa,24,22,304,76,12.67,30
75,Latvia,Eastern Europe,23,23,1731,26,75.26,65
76,Cuba,Latin America,23,20,310,17,13.48,32
77,Uganda,Africa,22,21,237,48,10.77,30
78,Kyrgyzstan,Asiatic Region,21,18,1227,7,58.43,25
79,Estonia,Eastern Europe,21,19,1350,22,64.29,58
80,Algeria,Africa,21,20,1277,13,60.81,26
81,Kuwait,Middle East,21,19,309,13,14.71,42
82,Uruguay,Latin America,21,18,370,24,17.62,52
83,Monaco,Western Europe,20,16,234,15,11.7,38
84,Kazakhstan,Asiatic Region,20,20,521,7,26.05,30
85,Macedonia,Eastern Europe,20,19,1170,15,58.5,41
86,Sudan,Africa,19,18,172,10,9.05,23
87,Ghana,Africa,18,16,515,120,28.61,29
88,Nepal,Asiatic Region,17,17,215,56,12.65,26
89,Bangladesh,Asiatic Region,16,16,470,37,29.38,30
90,Sri Lanka,Asiatic Region,15,13,324,9,21.6,22
91,Kenya,Africa,15,15,286,21,19.07,30
92,Mozambique,Africa,14,13,245,45,17.5,33
