Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,2915,2864,27476,18033,9.43,120
2,United States,Northern America,1176,992,16688,4954,14.19,179
3,India,Asiatic Region,522,500,7181,2530,13.76,124
4,South Korea,Asiatic Region,492,478,7169,2126,14.57,99
5,Brazil,Latin America,415,408,4605,1942,11.1,88
6,Germany,Western Europe,402,339,3832,992,9.53,117
7,Japan,Asiatic Region,313,308,3663,861,11.7,107
8,Australia,Pacific Region,285,255,3769,784,13.22,81
9,United Kingdom,Western Europe,236,191,2617,411,11.09,106
10,Iran,Middle East,223,216,4504,1635,20.2,82
11,Turkey,Middle East,183,179,2170,576,11.86,65
12,Taiwan,Asiatic Region,178,172,2626,529,14.75,89
13,Italy,Western Europe,178,165,3007,845,16.89,91
14,France,Western Europe,176,163,1519,282,8.63,75
15,Spain,Western Europe,164,146,2232,430,13.61,78
16,Malaysia,Asiatic Region,142,139,3805,638,26.8,82
17,Canada,Northern America,135,126,2045,304,15.15,93
18,Switzerland,Western Europe,125,112,1206,141,9.65,74
19,Hong Kong,Asiatic Region,119,115,1774,191,14.91,75
20,Egypt,Africa/Middle East,111,109,2063,566,18.59,61
21,Saudi Arabia,Middle East,110,109,2124,386,19.31,58
22,Nigeria,Africa,109,108,1302,295,11.94,55
23,Thailand,Asiatic Region,108,107,1711,431,15.84,71
24,South Africa,Africa,104,104,1359,405,13.07,63
25,Pakistan,Asiatic Region,90,83,1664,527,18.49,60
26,Austria,Western Europe,81,71,591,104,7.3,57
27,Mexico,Latin America,68,67,931,231,13.69,59
28,Russian Federation,Eastern Europe,51,48,628,217,12.31,41
29,Poland,Eastern Europe,49,48,864,193,17.63,50
30,Bangladesh,Asiatic Region,46,46,538,121,11.7,46
31,Portugal,Western Europe,44,43,687,119,15.61,52
32,Sweden,Western Europe,44,38,649,55,14.75,68
33,Belgium,Western Europe,43,41,723,89,16.81,65
34,Hungary,Eastern Europe,41,41,695,154,16.95,46
35,Argentina,Latin America,40,39,477,125,11.93,46
36,Norway,Western Europe,39,33,534,70,13.69,49
37,Algeria,Africa,38,35,361,112,9.5,32
38,Indonesia,Asiatic Region,38,38,451,114,11.87,53
39,Tunisia,Africa,38,37,412,65,10.84,35
40,Macao,Asiatic Region,36,36,891,50,24.75,47
41,Viet Nam,Asiatic Region,36,36,444,122,12.33,42
42,Cameroon,Africa,35,35,600,110,17.14,48
43,Netherlands,Western Europe,35,32,449,40,12.83,69
44,New Zealand,Pacific Region,34,28,424,50,12.47,53
45,Israel,Middle East,30,26,478,36,15.93,54
46,Denmark,Western Europe,28,26,555,115,19.82,58
47,Ethiopia,Africa,27,27,560,198,20.74,46
48,Greece,Western Europe,24,24,375,91,15.63,47
49,Chile,Latin America,23,23,198,33,8.61,33
50,Morocco,Africa,20,20,271,133,13.55,36
51,Czech Republic,Eastern Europe,20,20,323,82,16.15,39
52,Serbia,Eastern Europe,19,19,217,39,11.42,38
53,Colombia,Latin America,19,19,111,31,5.84,34
54,Ghana,Africa,18,18,198,72,11.0,25
55,Finland,Western Europe,18,17,429,30,23.83,40
56,Cuba,Latin America,17,17,132,16,7.76,25
57,Kenya,Africa,16,16,327,57,20.44,39
58,Singapore,Asiatic Region,15,13,300,47,20.0,45
59,Sri Lanka,Asiatic Region,14,14,300,29,21.43,27
60,Lebanon,Middle East,14,13,278,43,19.86,25
61,Iraq,Middle East,12,12,323,75,26.92,23
62,Jordan,Middle East,11,11,144,33,13.09,30
63,Zimbabwe,Africa,11,11,45,9,4.09,15
64,Ireland,Western Europe,10,9,98,12,9.8,28
65,Philippines,Asiatic Region,10,10,120,10,12.0,31
66,Romania,Eastern Europe,10,9,156,38,15.6,31
67,Lithuania,Eastern Europe,10,10,157,34,15.7,25
68,Cyprus,Western Europe,9,9,70,2,7.78,17
69,United Arab Emirates,Middle East,9,9,241,20,26.78,25
70,Oman,Middle East,9,8,87,8,9.67,21
71,Peru,Latin America,9,9,81,36,9.0,28
72,Ecuador,Latin America,8,8,282,42,35.25,20
73,Croatia,Eastern Europe,7,7,71,13,10.14,24
74,Bulgaria,Eastern Europe,7,6,117,22,16.71,36
75,Nepal,Asiatic Region,7,7,179,28,25.57,33
76,Palestine,Middle East,7,6,183,40,26.14,26
77,Sudan,Africa,7,7,167,7,23.86,25
78,Slovakia,Eastern Europe,7,7,49,12,7.0,23
79,Tanzania,Africa,7,7,100,9,14.29,31
80,Slovenia,Eastern Europe,6,6,76,17,12.67,20
81,Venezuela,Latin America,6,6,7,2,1.17,21
82,Mongolia,Asiatic Region,6,6,100,14,16.67,16
83,Iceland,Western Europe,5,3,67,6,13.4,20
84,Mauritius,Africa,5,5,97,19,19.4,16
85,Qatar,Middle East,5,5,190,22,38.0,13
86,Kuwait,Middle East,5,5,93,3,18.6,14
87,Luxembourg,Western Europe,4,4,329,2,82.25,10
88,Costa Rica,Latin America,4,4,69,0,17.25,24
89,Uruguay,Latin America,4,4,12,2,3.0,14
90,Uganda,Africa,4,4,169,50,42.25,24
91,Ukraine,Eastern Europe,4,4,68,8,17.0,23
92,French Polynesia,Pacific Region,3,3,51,10,17.0,10
93,Madagascar,Africa,3,3,18,4,6.0,31
94,Mali,Africa,3,3,32,1,10.67,21
95,Malawi,Africa,3,3,8,1,2.67,8
96,New Caledonia,Pacific Region,3,3,18,0,6.0,20
97,Panama,Latin America,3,3,84,2,28.0,33
98,Botswana,Africa,3,3,36,0,12.0,19
99,Bhutan,Asiatic Region,3,3,39,17,13.0,11
100,Bolivia,Latin America,3,3,56,5,18.67,24
101,Togo,Africa,3,3,5,2,1.67,10
102,Trinidad and Tobago,Latin America,3,2,24,0,8.0,23
103,Bosnia and Herzegovina,Eastern Europe,3,3,26,2,8.67,9
104,Antigua and Barbuda,Latin America,3,3,4,0,1.33,2
105,Uzbekistan,Asiatic Region,3,3,24,4,8.0,19
106,Burkina Faso,Africa,2,2,9,3,4.5,17
107,Paraguay,Latin America,2,2,11,2,5.5,13
108,Lesotho,Africa,2,2,28,5,14.0,4
109,Macedonia,Eastern Europe,2,2,14,2,7.0,12
110,Namibia,Africa,2,2,61,6,30.5,11
111,Belarus,Eastern Europe,2,2,28,1,14.0,13
112,Georgia,Eastern Europe,2,2,47,15,23.5,13
113,Laos,Asiatic Region,2,2,33,0,16.5,15
114,Myanmar,Asiatic Region,2,2,19,5,9.5,13
115,Fiji,Pacific Region,2,2,16,1,8.0,11
116,Benin,Africa,2,2,30,3,15.0,19
117,Estonia,Eastern Europe,2,2,11,3,5.5,15
118,Libya,Africa,2,2,28,8,14.0,9
119,Dominican Republic,Latin America,2,2,29,1,14.5,9
120,Sierra Leone,Africa,1,1,26,8,26.0,6
121,Senegal,Africa,1,1,6,1,6.0,6
122,Suriname,Latin America,1,1,5,0,5.0,15
123,El Salvador,Latin America,1,1,27,1,27.0,3
124,Brunei Darussalam,Asiatic Region,1,1,3,2,3.0,9
125,Kazakhstan,Asiatic Region,1,1,8,0,8.0,11
126,Malta,Western Europe,1,1,4,1,4.0,8
127,Gambia,Africa,1,1,38,0,38.0,1
128,Guinea,Africa,1,1,22,5,22.0,5
129,Gabon,Africa,1,1,18,2,18.0,10
130,Cambodia,Asiatic Region,1,1,52,4,52.0,6
131,Papua New Guinea,Pacific Region,1,1,9,0,9.0,22
132,Dominica,Latin America,1,1,8,0,8.0,1
133,Angola,Africa,1,1,26,15,26.0,6
134,Côte d’Ivoire,Africa,1,1,1,1,1.0,19
135,Palau,Pacific Region,1,1,27,0,27.0,4
136,Mozambique,Africa,1,1,18,2,18.0,14
137,Congo,Africa,1,1,0,0,0.0,17
138,Democratic Republic Congo,Africa,1,0,1,0,1.0,7
139,Rwanda,Africa,1,1,52,0,52.0,5
140,Azerbaijan,Eastern Europe,1,1,31,0,31.0,6
141,Yemen,Middle East,1,1,12,0,12.0,20
142,North Korea,Asiatic Region,1,1,3,1,3.0,1
143,Haïti,Latin America,1,1,10,0,10.0,1
144,Armenia,Eastern Europe,1,1,8,1,8.0,23
