Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2519,2299,83720,38313,33.24,444
2,Germany,Western Europe,506,485,9770,2565,19.31,245
3,United Kingdom,Western Europe,460,414,16501,3845,35.87,301
4,France,Western Europe,409,360,11497,2063,28.11,268
5,Canada,Northern America,298,281,16125,2387,54.11,294
6,Spain,Western Europe,211,197,4635,856,21.97,215
7,Japan,Asiatic Region,184,174,4837,1097,26.29,172
8,Italy,Western Europe,171,161,4556,713,26.64,234
9,Australia,Pacific Region,140,127,4067,636,29.05,207
10,Netherlands,Western Europe,139,131,5425,767,39.03,216
11,Belgium,Western Europe,87,80,11389,896,130.91,210
12,Sweden,Western Europe,82,77,3529,415,43.04,166
13,Switzerland,Western Europe,67,60,3075,227,45.9,180
14,Austria,Western Europe,63,54,1496,83,23.75,140
15,Israel,Middle East,58,47,1552,173,26.76,129
16,Taiwan,Asiatic Region,44,43,1149,125,26.11,94
17,Finland,Western Europe,38,36,1372,174,36.11,107
18,Hong Kong,Asiatic Region,36,31,717,90,19.92,90
19,China,Asiatic Region,35,34,273,49,7.8,130
20,Brazil,Latin America,28,27,624,52,22.29,142
21,Greece,Western Europe,25,25,373,50,14.92,115
22,India,Asiatic Region,24,20,377,96,15.71,96
23,New Zealand,Pacific Region,24,20,1123,90,46.79,95
24,South Africa,Africa,22,21,1043,115,47.41,93
25,Ireland,Western Europe,21,19,551,44,26.24,89
26,Denmark,Western Europe,19,18,957,69,50.37,134
27,Turkey,Middle East,19,18,275,31,14.47,88
28,Mexico,Latin America,17,17,997,105,58.65,82
29,Norway,Western Europe,13,13,211,24,16.23,104
30,Serbia,Eastern Europe,12,12,231,12,19.25,34
31,Argentina,Latin America,11,11,84,1,7.64,85
32,Saudi Arabia,Middle East,10,8,344,24,34.4,73
33,Morocco,Africa,9,9,11,1,1.22,23
34,Poland,Eastern Europe,9,9,189,41,21.0,90
35,South Korea,Asiatic Region,8,7,396,41,49.5,97
36,Hungary,Eastern Europe,8,8,162,21,20.25,63
37,Russian Federation,Eastern Europe,8,8,33,2,4.13,38
38,Philippines,Asiatic Region,8,8,0,0,0.0,20
39,Bulgaria,Eastern Europe,7,7,140,7,20.0,23
40,Côte d’Ivoire,Africa,6,6,2,0,0.33,4
41,Czech Republic,Eastern Europe,6,6,93,27,15.5,74
42,Slovenia,Eastern Europe,6,5,96,0,16.0,55
43,Croatia,Eastern Europe,5,5,92,5,18.4,46
44,Pakistan,Asiatic Region,5,5,97,17,19.4,29
45,Colombia,Latin America,4,4,240,6,60.0,61
46,Chile,Latin America,4,4,336,7,84.0,70
47,Tunisia,Africa,4,3,40,0,10.0,42
48,Egypt,Africa/Middle East,3,3,0,0,0.0,48
49,Singapore,Asiatic Region,3,3,151,6,50.33,81
50,Venezuela,Latin America,3,3,0,0,0.0,31
51,Luxembourg,Western Europe,2,1,42,0,21.0,22
52,Lebanon,Middle East,2,2,16,0,8.0,38
53,Macedonia,Eastern Europe,2,2,0,0,0.0,13
54,Malawi,Africa,2,2,0,0,0.0,21
55,Kuwait,Middle East,2,2,28,1,14.0,23
56,Malaysia,Asiatic Region,2,2,36,0,18.0,40
57,Iran,Middle East,2,1,0,0,0.0,60
58,Ghana,Africa,2,2,19,5,9.5,16
59,Thailand,Asiatic Region,2,2,5,5,2.5,60
60,Lithuania,Eastern Europe,2,2,0,0,0.0,26
61,Paraguay,Latin America,1,1,31,0,31.0,7
62,Cuba,Latin America,1,1,1,0,1.0,10
63,Puerto Rico,Latin America,1,1,0,0,0.0,31
64,Bahrain,Middle East,1,1,0,0,0.0,6
65,Senegal,Africa,1,1,29,0,29.0,9
66,Latvia,Eastern Europe,1,1,0,0,0.0,14
67,French Guiana,Latin America,1,1,0,0,0.0,5
68,Jamaica,Latin America,1,1,34,0,34.0,7
69,Trinidad and Tobago,Latin America,1,1,69,0,69.0,13
70,Cameroon,Africa,1,1,6,0,6.0,8
71,Martinique,Latin America,1,0,1,0,1.0,5
72,Georgia,Eastern Europe,1,1,22,0,22.0,13
73,Fiji,Pacific Region,1,1,0,0,0.0,2
