Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2444,2184,93003,38575,38.05,310
2,Germany,Western Europe,1113,964,26833,6690,24.11,215
3,United Kingdom,Western Europe,858,675,30568,5685,35.63,208
4,Japan,Asiatic Region,818,683,15791,3250,19.3,156
5,Italy,Western Europe,631,542,15195,2628,24.08,164
6,France,Western Europe,615,523,15476,2109,25.16,186
7,South Korea,Asiatic Region,475,451,3543,1129,7.46,98
8,Spain,Western Europe,405,332,6912,1193,17.07,130
9,India,Asiatic Region,358,261,4722,1350,13.19,94
10,Turkey,Middle East,255,220,4961,660,19.45,88
11,Brazil,Latin America,186,171,3643,1241,19.59,102
12,Canada,Northern America,181,165,9096,909,50.25,153
13,Netherlands,Western Europe,159,145,7699,936,48.42,160
14,Austria,Western Europe,156,126,6188,630,39.67,132
15,Switzerland,Western Europe,153,132,7397,622,48.35,135
16,Australia,Pacific Region,139,126,4597,651,33.07,139
17,Sweden,Western Europe,136,122,6105,644,44.89,132
18,China,Asiatic Region,121,113,2011,597,16.62,96
19,Poland,Eastern Europe,117,110,1215,299,10.38,97
20,Belgium,Western Europe,112,95,3898,438,34.8,113
21,Denmark,Western Europe,99,88,4572,649,46.18,139
22,Israel,Middle East,86,80,2214,172,25.74,98
23,Mexico,Latin America,79,73,1054,105,13.34,64
24,Taiwan,Asiatic Region,78,66,2420,195,31.03,90
25,Czech Republic,Eastern Europe,58,56,1111,81,19.16,58
26,Greece,Western Europe,53,42,1611,75,30.4,85
27,Pakistan,Asiatic Region,47,43,305,127,6.49,39
28,Argentina,Latin America,46,41,665,37,14.46,62
29,Iran,Middle East,46,40,1158,220,25.17,71
30,Finland,Western Europe,43,38,1777,116,41.33,93
31,Croatia,Eastern Europe,40,37,375,47,9.38,46
32,Hungary,Eastern Europe,38,28,1165,126,30.66,66
33,Singapore,Asiatic Region,33,26,882,50,26.73,76
34,Hong Kong,Asiatic Region,32,26,926,143,28.94,61
35,Portugal,Western Europe,30,25,910,119,30.33,71
36,Norway,Western Europe,29,25,1605,77,55.34,78
37,Ireland,Western Europe,27,22,1252,48,46.37,81
38,Tunisia,Africa,25,25,127,18,5.08,35
39,Saudi Arabia,Middle East,24,20,323,24,13.46,51
40,South Africa,Africa,21,18,567,74,27.0,67
41,Morocco,Africa,20,19,80,16,4.0,27
42,Bulgaria,Eastern Europe,19,15,732,16,38.53,47
43,Thailand,Asiatic Region,17,15,684,65,40.24,62
44,New Zealand,Pacific Region,16,16,459,12,28.69,48
45,Slovenia,Eastern Europe,14,14,428,33,30.57,46
46,Kuwait,Middle East,12,10,266,12,22.17,34
47,Egypt,Africa/Middle East,12,12,369,41,30.75,57
48,Jordan,Middle East,11,11,110,20,10.0,27
49,Slovakia,Eastern Europe,10,9,292,2,29.2,26
50,Russian Federation,Eastern Europe,10,9,335,50,33.5,58
51,Cambodia,Asiatic Region,9,9,120,12,13.33,15
52,Colombia,Latin America,8,7,195,22,24.38,42
53,Uruguay,Latin America,7,7,149,4,21.29,21
54,Chile,Latin America,7,5,174,23,24.86,47
55,Nigeria,Africa,7,6,195,43,27.86,34
56,Kenya,Africa,7,7,192,35,27.43,43
57,Serbia,Eastern Europe,7,6,97,8,13.86,35
58,United Arab Emirates,Middle East,7,7,70,2,10.0,29
59,Tanzania,Africa,6,6,244,54,40.67,36
60,Peru,Latin America,6,6,266,57,44.33,33
61,Nepal,Asiatic Region,5,3,40,1,8.0,27
62,Indonesia,Asiatic Region,5,5,274,18,54.8,30
63,Venezuela,Latin America,5,4,25,10,5.0,27
64,Ethiopia,Africa,5,5,100,15,20.0,31
65,Iceland,Western Europe,5,4,385,9,77.0,43
66,Estonia,Eastern Europe,5,4,51,8,10.2,36
67,Bangladesh,Asiatic Region,5,4,132,33,26.4,28
68,Lebanon,Middle East,5,5,96,3,19.2,35
69,Uganda,Africa,5,4,45,14,9.0,37
70,Senegal,Africa,5,4,94,4,18.8,19
71,Puerto Rico,Latin America,5,5,53,1,10.6,26
72,Philippines,Asiatic Region,5,5,162,24,32.4,34
73,Ghana,Africa,4,4,232,15,58.0,21
74,Malta,Western Europe,4,3,66,2,16.5,25
75,Cameroon,Africa,3,1,32,1,10.67,20
76,French Guiana,Latin America,3,3,147,7,49.0,10
77,Viet Nam,Asiatic Region,3,3,124,31,41.33,24
78,Yemen,Middle East,3,2,23,4,7.67,12
79,Burkina Faso,Africa,3,3,84,20,28.0,17
80,Georgia,Eastern Europe,3,2,25,4,8.33,23
81,Martinique,Latin America,2,2,49,1,24.5,9
82,Ecuador,Latin America,2,2,105,13,52.5,16
83,Mali,Africa,2,2,32,0,16.0,16
84,Oman,Middle East,2,2,106,1,53.0,16
85,Panama,Latin America,2,2,93,1,46.5,13
86,Qatar,Middle East,2,2,13,3,6.5,26
87,Sudan,Africa,2,1,36,18,18.0,15
88,Botswana,Africa,2,1,13,7,6.5,13
89,Togo,Africa,2,1,31,0,15.5,12
90,Zambia,Africa,2,2,29,9,14.5,18
91,Zimbabwe,Africa,2,1,72,24,36.0,29
92,Guinea,Africa,1,1,31,0,31.0,8
93,Romania,Eastern Europe,1,0,2,0,2.0,42
94,Guyana,Latin America,1,1,0,0,0.0,5
95,Mongolia,Asiatic Region,1,1,24,0,24.0,12
96,Rwanda,Africa,1,1,16,0,16.0,17
97,Belarus,Eastern Europe,1,1,93,5,93.0,21
98,Samoa,Pacific Region,1,1,15,2,15.0,2
99,Guadeloupe,Latin America,1,1,5,0,5.0,15
100,Bolivia,Latin America,1,1,70,2,70.0,19
101,Macedonia,Eastern Europe,1,0,16,0,16.0,16
102,Madagascar,Africa,1,0,5,0,5.0,14
103,Monaco,Western Europe,1,1,34,9,34.0,19
104,Bosnia and Herzegovina,Eastern Europe,1,1,5,0,5.0,16
105,Algeria,Africa,1,0,0,0,0.0,16
106,Benin,Africa,1,1,31,1,31.0,14
107,Bahrain,Middle East,1,1,9,0,9.0,18
108,Latvia,Eastern Europe,1,1,91,1,91.0,24
109,Luxembourg,Western Europe,1,1,68,8,68.0,15
110,Ukraine,Eastern Europe,1,1,12,1,12.0,25
111,Sri Lanka,Asiatic Region,1,1,6,0,6.0,19
112,Laos,Asiatic Region,1,1,7,0,7.0,10
113,Jamaica,Latin America,1,1,11,2,11.0,16
114,Iraq,Middle East,1,1,43,6,43.0,26
115,Malaysia,Asiatic Region,1,0,2,0,2.0,37
116,Costa Rica,Latin America,1,1,63,0,63.0,20
117,Côte d’Ivoire,Africa,1,1,28,0,28.0,18
118,Malawi,Africa,1,0,4,1,4.0,24
119,Congo,Africa,1,1,0,0,0.0,9
120,Paraguay,Latin America,1,1,70,1,70.0,9
