Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,India,Asiatic Region,160,65,196,166,1.23,17
2,United States,Northern America,58,8,50,20,0.86,21
3,Iran,Middle East,30,30,20,16,0.67,5
4,United Kingdom,Western Europe,21,15,25,15,1.19,29
5,Italy,Western Europe,6,2,3,0,0.5,5
6,Canada,Northern America,5,4,8,1,1.6,13
7,Hong Kong,Asiatic Region,3,2,17,2,5.67,8
8,Ireland,Western Europe,3,1,0,0,0.0,7
9,Sweden,Western Europe,2,2,2,2,1.0,7
10,Norway,Western Europe,2,2,3,0,1.5,6
11,Pakistan,Asiatic Region,1,1,2,0,2.0,2
12,Saudi Arabia,Middle East,1,0,0,0,0.0,1
13,Singapore,Asiatic Region,1,0,0,0,0.0,3
14,Japan,Asiatic Region,1,0,1,0,1.0,4
15,Czech Republic,Eastern Europe,1,1,0,0,0.0,3
16,Germany,Western Europe,1,0,2,1,2.0,8
17,Denmark,Western Europe,1,1,2,0,2.0,7
18,United Arab Emirates,Middle East,1,1,0,0,0.0,1
19,Sri Lanka,Asiatic Region,1,1,0,0,0.0,0
20,Mexico,Latin America,1,0,2,1,2.0,2
21,Malaysia,Asiatic Region,1,1,2,0,2.0,3
22,New Zealand,Pacific Region,1,1,4,0,4.0,6
23,Oman,Middle East,1,0,1,0,1.0,1
