Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,274,243,6379,2694,23.28,155
2,China,Asiatic Region,202,202,1370,590,6.78,61
3,Romania,Eastern Europe,195,195,1429,534,7.33,36
4,United Kingdom,Western Europe,102,90,2503,626,24.54,135
5,Italy,Western Europe,69,60,1238,248,17.94,77
6,Australia,Pacific Region,58,51,1576,315,27.17,93
7,Japan,Asiatic Region,54,52,867,186,16.06,79
8,Canada,Northern America,53,52,1470,242,27.74,88
9,Germany,Western Europe,42,40,889,158,21.17,95
10,Spain,Western Europe,32,31,728,136,22.75,73
11,France,Western Europe,26,24,606,97,23.31,93
12,Brazil,Latin America,23,20,620,106,26.96,44
13,Netherlands,Western Europe,21,21,584,82,27.81,73
14,Switzerland,Western Europe,19,18,453,62,23.84,54
15,Argentina,Latin America,18,18,399,100,22.17,40
16,Poland,Eastern Europe,17,17,213,32,12.53,36
17,India,Asiatic Region,16,15,354,45,22.13,43
18,Israel,Middle East,14,13,530,46,37.86,59
19,Denmark,Western Europe,13,13,210,37,16.15,56
20,Belgium,Western Europe,12,12,381,79,31.75,57
21,South Korea,Asiatic Region,11,11,279,38,25.36,37
22,Taiwan,Asiatic Region,9,9,251,16,27.89,31
23,Mexico,Latin America,9,9,118,25,13.11,38
24,New Zealand,Pacific Region,8,7,117,25,14.63,47
25,Turkey,Middle East,8,6,54,10,6.75,30
26,Sweden,Western Europe,8,8,193,17,24.13,58
27,Greece,Western Europe,8,7,76,9,9.5,30
28,Saudi Arabia,Middle East,8,8,117,21,14.63,20
29,Hong Kong,Asiatic Region,7,7,130,25,18.57,28
30,Portugal,Western Europe,6,6,108,21,18.0,36
31,Grenada,Latin America,6,6,41,0,6.83,9
32,Iran,Middle East,6,6,25,10,4.17,28
33,Hungary,Eastern Europe,6,6,25,0,4.17,29
34,Chile,Latin America,5,5,53,10,10.6,29
35,Ireland,Western Europe,5,4,90,11,18.0,50
36,Finland,Western Europe,5,5,151,6,30.2,47
37,Egypt,Africa/Middle East,5,5,39,6,7.8,24
38,Czech Republic,Eastern Europe,5,5,371,9,74.2,37
39,South Africa,Africa,4,4,64,12,16.0,25
40,Austria,Western Europe,4,4,99,11,24.75,37
41,Georgia,Eastern Europe,4,4,75,1,18.75,13
42,Serbia,Eastern Europe,4,4,44,7,11.0,10
43,Russian Federation,Eastern Europe,4,4,78,19,19.5,24
44,Thailand,Asiatic Region,4,4,116,9,29.0,17
45,Singapore,Asiatic Region,3,3,100,5,33.33,27
46,Slovakia,Eastern Europe,3,3,52,1,17.33,14
47,United Arab Emirates,Middle East,3,3,156,1,52.0,14
48,Malaysia,Asiatic Region,3,3,26,10,8.67,15
49,Uruguay,Latin America,2,2,12,3,6.0,11
50,Viet Nam,Asiatic Region,2,2,33,2,16.5,5
51,Tunisia,Africa,2,2,52,5,26.0,15
52,Nigeria,Africa,2,2,5,0,2.5,13
53,Bangladesh,Asiatic Region,2,2,34,5,17.0,5
54,Cuba,Latin America,2,2,27,2,13.5,2
55,Honduras,Latin America,1,1,25,2,25.0,2
56,Slovenia,Eastern Europe,1,1,34,0,34.0,12
57,Colombia,Latin America,1,1,6,0,6.0,15
58,Trinidad and Tobago,Latin America,1,1,7,5,7.0,5
59,Tanzania,Africa,1,1,0,0,0.0,5
60,Ukraine,Eastern Europe,1,1,3,2,3.0,12
61,Bosnia and Herzegovina,Eastern Europe,1,1,3,0,3.0,2
62,Moldova,Eastern Europe,1,1,7,0,7.0,5
63,Montenegro,Eastern Europe,1,1,12,3,12.0,1
64,Latvia,Eastern Europe,1,1,34,0,34.0,3
65,Malta,Western Europe,1,1,34,0,34.0,9
66,Luxembourg,Western Europe,1,1,0,0,0.0,2
67,Sri Lanka,Asiatic Region,1,1,38,0,38.0,11
68,Panama,Latin America,1,1,36,0,36.0,4
69,Philippines,Asiatic Region,1,1,25,2,25.0,7
70,Lebanon,Middle East,1,1,15,0,15.0,9
71,Jamaica,Latin America,1,1,7,4,7.0,2
72,Qatar,Middle East,1,1,29,3,29.0,4
73,Indonesia,Asiatic Region,1,1,25,0,25.0,8
74,Venezuela,Latin America,1,1,26,1,26.0,8
