Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2116,1779,46409,22880,21.93,221
2,Germany,Western Europe,704,644,6710,2212,9.53,118
3,United Kingdom,Western Europe,654,539,9973,2024,15.25,140
4,Australia,Pacific Region,316,246,4567,1056,14.45,112
5,France,Western Europe,287,255,1614,370,5.62,86
6,China,Asiatic Region,256,253,1438,597,5.62,66
7,Canada,Northern America,233,189,5870,1238,25.19,122
8,Turkey,Middle East,215,191,2281,615,10.61,66
9,Italy,Western Europe,185,149,3712,672,20.06,101
10,Taiwan,Asiatic Region,158,146,2127,315,13.46,69
11,Japan,Asiatic Region,108,100,1632,308,15.11,75
12,Netherlands,Western Europe,86,76,2197,239,25.55,98
13,Switzerland,Western Europe,82,76,1544,138,18.83,83
14,Spain,Western Europe,81,73,644,91,7.95,69
15,Austria,Western Europe,68,60,1060,154,15.59,79
16,Israel,Middle East,60,57,932,139,15.53,62
17,India,Asiatic Region,59,46,1078,244,18.27,66
18,Greece,Western Europe,59,54,1094,76,18.54,59
19,Hong Kong,Asiatic Region,59,46,310,38,5.25,48
20,Belgium,Western Europe,57,53,1092,88,19.16,72
21,Sweden,Western Europe,53,48,1775,317,33.49,92
22,Norway,Western Europe,51,45,1522,302,29.84,80
23,South Korea,Asiatic Region,47,40,905,118,19.26,57
24,Poland,Eastern Europe,46,41,150,14,3.26,36
25,Ireland,Western Europe,41,37,652,45,15.9,57
26,Brazil,Latin America,39,38,1325,252,33.97,64
27,Iran,Middle East,36,32,797,204,22.14,56
28,New Zealand,Pacific Region,34,25,553,43,16.26,49
29,South Africa,Africa,30,29,748,122,24.93,50
30,Qatar,Middle East,29,29,43,7,1.48,27
31,Finland,Western Europe,26,26,912,135,35.08,67
32,Singapore,Asiatic Region,24,24,835,61,34.79,55
33,Denmark,Western Europe,23,20,533,67,23.17,63
34,Pakistan,Asiatic Region,12,11,334,54,27.83,30
35,Slovenia,Eastern Europe,11,6,38,9,3.45,33
36,Mexico,Latin America,10,7,135,9,13.5,28
37,Croatia,Eastern Europe,8,5,29,2,3.63,33
38,Thailand,Asiatic Region,8,8,212,7,26.5,37
39,Czech Republic,Eastern Europe,8,5,69,7,8.63,38
40,Malaysia,Asiatic Region,7,6,12,0,1.71,34
41,Nigeria,Africa,7,6,106,21,15.14,24
42,Saudi Arabia,Middle East,7,6,33,7,4.71,31
43,Hungary,Eastern Europe,6,6,443,25,73.83,32
44,Argentina,Latin America,5,5,42,5,8.4,27
45,Sri Lanka,Asiatic Region,5,5,186,7,37.2,16
46,Tunisia,Africa,5,5,44,5,8.8,20
47,Portugal,Western Europe,5,4,51,9,10.2,35
48,Iraq,Middle East,4,3,34,0,8.5,14
49,Romania,Eastern Europe,4,4,41,7,10.25,29
50,Viet Nam,Asiatic Region,4,4,112,14,28.0,15
51,Lebanon,Middle East,4,4,52,0,13.0,26
52,United Arab Emirates,Middle East,4,3,42,0,10.5,40
53,Jordan,Middle East,3,3,18,8,6.0,14
54,Morocco,Africa,3,2,4,0,1.33,16
55,Bulgaria,Eastern Europe,3,3,24,1,8.0,35
56,Egypt,Africa/Middle East,3,3,10,2,3.33,39
57,Serbia,Eastern Europe,3,1,19,11,6.33,26
58,Bangladesh,Asiatic Region,3,3,132,33,44.0,15
59,Iceland,Western Europe,2,2,7,2,3.5,16
60,Georgia,Eastern Europe,2,2,5,0,2.5,22
61,Norfolk Island,Pacific Region,2,2,1,0,0.5,1
62,Nepal,Asiatic Region,2,1,33,3,16.5,21
63,Dominican Republic,Latin America,2,2,9,1,4.5,11
64,Cuba,Latin America,2,2,0,0,0.0,7
65,Palau,Pacific Region,2,2,4,0,2.0,2
66,Reunion,Africa,2,2,8,0,4.0,4
67,Chile,Latin America,2,2,119,2,59.5,28
68,Venezuela,Latin America,2,1,11,0,5.5,8
69,Algeria,Africa,1,1,14,2,14.0,7
70,Indonesia,Asiatic Region,1,1,11,1,11.0,19
71,Colombia,Latin America,1,1,0,0,0.0,34
72,Guam,Pacific Region,1,1,8,0,8.0,4
73,Ecuador,Latin America,1,1,21,5,21.0,15
74,Yemen,Middle East,1,1,0,0,0.0,4
75,Russian Federation,Eastern Europe,1,1,4,0,4.0,30
76,Netherlands Antilles,Latin America,1,1,29,0,29.0,1
77,Sudan,Africa,1,1,0,0,0.0,10
78,Jamaica,Latin America,1,1,7,3,7.0,12
79,Belarus,Eastern Europe,1,1,0,0,0.0,23
80,Brunei Darussalam,Asiatic Region,1,1,17,1,17.0,11
81,Somalia,Africa,1,1,8,0,8.0,4
82,Malta,Western Europe,1,1,6,0,6.0,8
83,Lithuania,Eastern Europe,1,1,11,2,11.0,11
84,Kuwait,Middle East,1,1,11,0,11.0,19
85,Bosnia and Herzegovina,Eastern Europe,1,1,0,0,0.0,12
86,Oman,Middle East,1,1,25,1,25.0,14
87,Peru,Latin America,1,1,0,0,0.0,12
88,Cambodia,Asiatic Region,1,1,20,1,20.0,5
89,Costa Rica,Latin America,1,1,33,0,33.0,8
90,Palestine,Middle East,1,1,10,0,10.0,7
