Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3019,2921,174446,76131,57.78,601
2,United Kingdom,Western Europe,1004,954,46861,10184,46.67,402
3,Japan,Asiatic Region,977,958,26637,6365,27.26,252
4,Italy,Western Europe,682,652,27513,5372,40.34,316
5,Germany,Western Europe,635,613,28374,5474,44.68,320
6,France,Western Europe,603,583,24731,4196,41.01,292
7,Canada,Northern America,397,389,20698,3577,52.14,316
8,Sweden,Western Europe,350,341,17778,3110,50.79,267
9,Australia,Pacific Region,293,287,16964,2477,57.9,290
10,Spain,Western Europe,266,251,6334,1299,23.81,238
11,Netherlands,Western Europe,248,241,12106,1602,48.81,291
12,Denmark,Western Europe,241,239,12428,2111,51.57,269
13,Belgium,Western Europe,172,166,7410,905,43.08,232
14,Switzerland,Western Europe,154,153,9507,948,61.73,241
15,Finland,Western Europe,153,151,10035,1304,65.59,220
16,Israel,Middle East,127,122,4744,536,37.35,165
17,Brazil,Latin America,65,64,2373,386,36.51,167
18,Poland,Eastern Europe,64,64,1984,217,31.0,141
19,Austria,Western Europe,59,55,3261,256,55.27,176
20,New Zealand,Pacific Region,56,56,2266,278,40.46,138
21,Taiwan,Asiatic Region,55,55,1488,212,27.05,123
22,India,Asiatic Region,53,53,1825,528,34.43,153
23,Greece,Western Europe,53,53,2281,279,43.04,168
24,Argentina,Latin America,49,49,1797,308,36.67,117
25,Czech Republic,Eastern Europe,48,48,1490,152,31.04,115
26,Turkey,Middle East,48,46,1567,118,32.65,122
27,Hungary,Eastern Europe,45,41,1781,109,39.58,116
28,Norway,Western Europe,39,37,2402,187,61.59,160
29,Hong Kong,Asiatic Region,32,32,1216,205,38.0,121
30,South Korea,Asiatic Region,27,27,722,133,26.74,166
31,Mexico,Latin America,25,23,1409,137,56.36,116
32,Ireland,Western Europe,23,22,783,59,34.04,124
33,China,Asiatic Region,23,23,457,63,19.87,187
34,Croatia,Eastern Europe,22,22,1179,35,53.59,62
35,Slovakia,Eastern Europe,20,20,1243,138,62.15,73
36,Chile,Latin America,20,20,1510,138,75.5,99
37,South Africa,Africa,18,16,675,91,37.5,97
38,Romania,Eastern Europe,13,13,654,18,50.31,66
39,Saudi Arabia,Middle East,12,12,913,114,76.08,89
40,Nigeria,Africa,11,11,70,10,6.36,43
41,Portugal,Western Europe,9,9,1053,32,117.0,105
42,Morocco,Africa,9,9,34,1,3.78,41
43,Bulgaria,Eastern Europe,9,8,20,2,2.22,54
44,Russian Federation,Eastern Europe,8,8,1033,58,129.13,84
45,Egypt,Africa/Middle East,8,8,246,13,30.75,77
46,Iran,Middle East,7,7,73,37,10.43,103
47,Venezuela,Latin America,7,7,279,10,39.86,44
48,Thailand,Asiatic Region,7,7,220,32,31.43,74
49,Ukraine,Eastern Europe,7,7,108,2,15.43,42
50,Colombia,Latin America,6,6,196,1,32.67,58
51,Tunisia,Africa,6,6,56,0,9.33,51
52,Cuba,Latin America,5,5,113,3,22.6,23
53,Oman,Middle East,4,4,113,7,28.25,34
54,Malaysia,Asiatic Region,4,4,87,21,21.75,66
55,Slovenia,Eastern Europe,4,4,66,26,16.5,69
56,Pakistan,Asiatic Region,4,4,86,17,21.5,70
57,Côte d’Ivoire,Africa,3,3,22,0,7.33,11
58,Jordan,Middle East,3,3,25,2,8.33,44
59,Estonia,Eastern Europe,2,1,13,0,6.5,61
60,Bangladesh,Asiatic Region,2,2,5,0,2.5,48
61,Guatemala,Latin America,2,2,17,0,8.5,18
62,Malta,Western Europe,2,2,85,2,42.5,26
63,Serbia,Eastern Europe,2,2,28,1,14.0,60
64,Tanzania,Africa,2,2,29,9,14.5,30
65,Macedonia,Eastern Europe,1,1,18,0,18.0,32
66,Monaco,Western Europe,1,1,54,2,54.0,13
67,Nepal,Asiatic Region,1,1,4,2,4.0,25
68,Libya,Africa,1,1,69,3,69.0,13
69,Lithuania,Eastern Europe,1,1,10,6,10.0,40
70,Papua New Guinea,Pacific Region,1,1,10,0,10.0,3
71,Philippines,Asiatic Region,1,1,10,3,10.0,42
72,Lebanon,Middle East,1,1,41,0,41.0,68
73,Kuwait,Middle East,1,1,41,28,41.0,46
74,Puerto Rico,Latin America,1,1,156,1,156.0,31
75,Palestine,Middle East,1,1,19,3,19.0,18
76,Jamaica,Latin America,1,1,3,0,3.0,27
77,Iceland,Western Europe,1,1,12,3,12.0,52
78,Zambia,Africa,1,1,7,1,7.0,12
79,Indonesia,Asiatic Region,1,1,14,4,14.0,48
80,Gambia,Africa,1,1,117,12,117.0,19
81,Sudan,Africa,1,1,72,19,72.0,23
82,Georgia,Eastern Europe,1,1,3,0,3.0,21
83,Singapore,Asiatic Region,1,1,12,1,12.0,122
84,Gabon,Africa,1,1,1,1,1.0,3
85,Federated States of Micronesia,Pacific Region,1,1,176,0,176.0,2
86,Senegal,Africa,1,1,0,0,0.0,15
87,El Salvador,Latin America,1,1,22,0,22.0,6
88,Syrian Arab Republic,Middle East,1,1,10,0,10.0,14
89,Fiji,Pacific Region,1,1,18,1,18.0,23
90,United Arab Emirates,Middle East,1,0,16,0,16.0,71
91,Ecuador,Latin America,1,1,0,0,0.0,30
92,Trinidad and Tobago,Latin America,1,1,30,11,30.0,22
93,Algeria,Africa,1,1,35,0,35.0,32
94,Zimbabwe,Africa,1,1,5,1,5.0,14
95,Dominican Republic,Latin America,1,1,62,3,62.0,10
96,Cook Islands,Pacific Region,1,1,80,0,80.0,1
97,Bolivia,Latin America,1,1,13,2,13.0,9
98,Barbados,Latin America,1,1,30,5,30.0,17
