Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3239,3010,248596,102521,76.75,601
2,United Kingdom,Western Europe,1107,972,72124,13051,65.15,402
3,Japan,Asiatic Region,989,942,38197,7361,38.62,252
4,Italy,Western Europe,797,742,44497,7721,55.83,316
5,Germany,Western Europe,676,633,39637,6423,58.63,320
6,France,Western Europe,609,583,32862,5087,53.96,292
7,Canada,Northern America,444,421,32144,5191,72.4,316
8,Australia,Pacific Region,322,303,24229,3495,75.25,290
9,Sweden,Western Europe,312,303,21471,2969,68.82,267
10,Spain,Western Europe,305,279,16087,2487,52.74,238
11,Netherlands,Western Europe,295,282,25456,2629,86.29,291
12,Denmark,Western Europe,269,256,24438,3299,90.85,269
13,Finland,Western Europe,205,198,16781,1860,81.86,220
14,Belgium,Western Europe,160,155,13804,1388,86.28,232
15,Switzerland,Western Europe,149,141,9558,853,64.15,241
16,Poland,Eastern Europe,147,145,2664,478,18.12,141
17,Austria,Western Europe,125,118,4107,411,32.86,176
18,Israel,Middle East,110,104,5825,489,52.95,165
19,Taiwan,Asiatic Region,96,91,3295,442,34.32,123
20,Brazil,Latin America,92,89,5651,802,61.42,167
21,Czech Republic,Eastern Europe,91,91,2032,295,22.33,115
22,Argentina,Latin America,89,86,3542,508,39.8,117
23,India,Asiatic Region,88,84,2526,858,28.7,153
24,Turkey,Middle East,79,73,2169,360,27.46,122
25,Greece,Western Europe,76,68,3483,307,45.83,168
26,South Korea,Asiatic Region,59,57,2325,245,39.41,166
27,Hungary,Eastern Europe,54,48,1824,156,33.78,116
28,Norway,Western Europe,52,50,4173,278,80.25,160
29,New Zealand,Pacific Region,50,44,3851,340,77.02,138
30,Mexico,Latin America,47,47,1774,376,37.74,116
31,China,Asiatic Region,46,46,2177,466,47.33,187
32,Hong Kong,Asiatic Region,39,35,1512,356,38.77,121
33,South Africa,Africa,28,26,1340,179,47.86,97
34,Slovakia,Eastern Europe,27,25,348,123,12.89,73
35,Ireland,Western Europe,26,25,1093,70,42.04,124
36,Singapore,Asiatic Region,24,24,1835,129,76.46,122
37,Chile,Latin America,20,19,1660,123,83.0,99
38,Russian Federation,Eastern Europe,19,17,474,70,24.95,84
39,Portugal,Western Europe,18,18,737,69,40.94,105
40,Nigeria,Africa,12,12,305,56,25.42,43
41,Croatia,Eastern Europe,11,9,227,13,20.64,62
42,Thailand,Asiatic Region,11,11,495,26,45.0,74
43,Romania,Eastern Europe,9,9,32,0,3.56,66
44,Kuwait,Middle East,9,9,239,15,26.56,46
45,Bulgaria,Eastern Europe,9,9,170,5,18.89,54
46,Slovenia,Eastern Europe,9,6,179,19,19.89,69
47,Lebanon,Middle East,8,8,663,64,82.88,68
48,Saudi Arabia,Middle East,8,7,109,13,13.63,89
49,Venezuela,Latin America,7,6,142,0,20.29,44
50,Malaysia,Asiatic Region,6,6,259,143,43.17,66
51,Egypt,Africa/Middle East,6,6,146,14,24.33,77
52,Ukraine,Eastern Europe,6,6,190,4,31.67,42
53,Colombia,Latin America,6,6,90,3,15.0,58
54,Serbia,Eastern Europe,6,6,281,14,46.83,60
55,United Arab Emirates,Middle East,4,4,69,26,17.25,71
56,Morocco,Africa,4,4,68,12,17.0,41
57,Pakistan,Asiatic Region,4,4,48,8,12.0,70
58,Iran,Middle East,3,3,122,21,40.67,103
59,Estonia,Eastern Europe,3,3,117,5,39.0,61
60,Zimbabwe,Africa,3,3,158,0,52.67,14
61,Guatemala,Latin America,3,3,3,0,1.0,18
62,Sudan,Africa,3,2,20,5,6.67,23
63,Lithuania,Eastern Europe,3,3,80,7,26.67,40
64,Tunisia,Africa,3,3,54,5,18.0,51
65,Ecuador,Latin America,3,3,90,2,30.0,30
66,Cuba,Latin America,3,3,127,23,42.33,23
67,Indonesia,Asiatic Region,2,2,52,13,26.0,48
68,Jamaica,Latin America,2,2,133,24,66.5,27
69,New Caledonia,Pacific Region,2,2,53,0,26.5,5
70,Iceland,Western Europe,2,2,182,13,91.0,52
71,Oman,Middle East,2,2,89,0,44.5,34
72,Peru,Latin America,2,2,97,0,48.5,38
73,Ghana,Africa,2,2,83,10,41.5,24
74,Cyprus,Western Europe,2,2,742,5,371.0,44
75,Cameroon,Africa,2,2,64,5,32.0,39
76,Belarus,Eastern Europe,2,2,22,4,11.0,28
77,Bangladesh,Asiatic Region,2,2,38,2,19.0,48
78,Bahrain,Middle East,1,1,24,8,24.0,29
79,Georgia,Eastern Europe,1,1,2,0,2.0,21
80,Ethiopia,Africa,1,1,29,0,29.0,34
81,Latvia,Eastern Europe,1,1,31,11,31.0,36
82,Niger,Africa,1,1,5,0,5.0,4
83,Sri Lanka,Asiatic Region,1,1,21,4,21.0,36
84,Algeria,Africa,1,1,69,8,69.0,32
85,Dominican Republic,Latin America,1,1,3,0,3.0,10
86,Uruguay,Latin America,1,0,2,0,2.0,20
87,Mauritius,Africa,1,1,112,0,112.0,26
88,San Marino,Western Europe,1,0,10,0,10.0,13
89,Senegal,Africa,1,1,16,0,16.0,15
90,Costa Rica,Latin America,1,1,0,0,0.0,25
91,Macedonia,Eastern Europe,1,1,13,0,13.0,32
92,Barbados,Latin America,1,1,48,0,48.0,17
93,Trinidad and Tobago,Latin America,1,1,22,15,22.0,22
94,Côte d’Ivoire,Africa,1,1,51,1,51.0,11
95,Liberia,Africa,1,1,1,0,1.0,4
96,Papua New Guinea,Pacific Region,1,1,4,0,4.0,3
97,Philippines,Asiatic Region,1,1,25,4,25.0,42
98,Nepal,Asiatic Region,1,1,13,6,13.0,25
99,Guadeloupe,Latin America,1,1,10,3,10.0,10
100,Palestine,Middle East,1,1,15,7,15.0,18
