Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3622,3148,189287,95703,52.26,549
2,United Kingdom,Western Europe,874,748,49042,11041,56.11,356
3,Canada,Northern America,552,491,32480,5746,58.84,258
4,China,Asiatic Region,439,421,9311,4136,21.21,164
5,Italy,Western Europe,404,345,16463,3197,40.75,191
6,France,Western Europe,402,349,20105,4017,50.01,220
7,Australia,Pacific Region,386,350,21417,4650,55.48,238
8,Germany,Western Europe,365,323,29813,3412,81.68,214
9,Netherlands,Western Europe,357,315,27026,4971,75.7,255
10,Sweden,Western Europe,298,267,14127,2030,47.41,190
11,Japan,Asiatic Region,292,275,7866,1959,26.94,148
12,Spain,Western Europe,239,213,14083,1979,58.92,180
13,India,Asiatic Region,235,223,5302,1842,22.56,113
14,Denmark,Western Europe,200,183,12436,2138,62.18,182
15,Brazil,Latin America,192,172,7154,2136,37.26,138
16,Switzerland,Western Europe,149,130,8270,1077,55.5,183
17,Norway,Western Europe,146,138,7946,884,54.42,156
18,Finland,Western Europe,140,135,7844,1149,56.03,168
19,Belgium,Western Europe,121,110,6575,846,54.34,144
20,Iran,Middle East,103,102,2542,1422,24.68,82
21,Turkey,Middle East,93,91,2822,522,30.34,79
22,South Korea,Asiatic Region,83,78,2385,489,28.73,97
23,Taiwan,Asiatic Region,79,73,2944,542,37.27,94
24,Greece,Western Europe,79,69,4427,527,56.04,128
25,Thailand,Asiatic Region,73,67,2035,521,27.88,89
26,Israel,Middle East,73,61,3555,317,48.7,104
27,New Zealand,Pacific Region,61,49,2327,402,38.15,107
28,Ireland,Western Europe,60,57,3385,259,56.42,100
29,Poland,Eastern Europe,60,59,2113,158,35.22,99
30,Singapore,Asiatic Region,59,46,1720,236,29.15,95
31,Czech Republic,Eastern Europe,52,50,1339,119,25.75,76
32,Malaysia,Asiatic Region,48,46,1091,302,22.73,57
33,Hong Kong,Asiatic Region,48,44,2127,453,44.31,118
34,Portugal,Western Europe,46,41,2257,253,49.07,86
35,Austria,Western Europe,45,38,2388,243,53.07,110
36,South Africa,Africa,43,38,2784,537,64.74,108
37,Nigeria,Africa,42,39,752,226,17.9,60
38,Russian Federation,Eastern Europe,41,38,1297,167,31.63,84
39,Cuba,Latin America,40,38,873,85,21.83,43
40,Mexico,Latin America,38,33,1421,186,37.39,95
41,Croatia,Eastern Europe,35,34,1095,97,31.29,50
42,Argentina,Latin America,34,30,1521,257,44.74,79
