Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1014,758,26500,13455,26.13,189
2,United Kingdom,Western Europe,493,361,9755,3223,19.79,144
3,Spain,Western Europe,267,189,2581,1205,9.67,59
4,Australia,Pacific Region,265,199,2917,1045,11.01,75
5,Germany,Western Europe,230,221,1279,360,5.56,80
6,Canada,Northern America,159,109,2670,538,16.79,100
7,Netherlands,Western Europe,142,128,1893,525,13.33,92
8,South Africa,Africa,114,96,182,99,1.6,33
9,Hong Kong,Asiatic Region,73,44,92,50,1.26,30
10,Switzerland,Western Europe,26,24,188,13,7.23,48
11,Saudi Arabia,Middle East,24,18,100,61,4.17,31
12,Sweden,Western Europe,16,14,394,64,24.63,54
13,New Zealand,Pacific Region,15,13,593,29,39.53,43
14,Belgium,Western Europe,15,13,134,28,8.93,56
15,France,Western Europe,15,13,536,105,35.73,45
16,Japan,Asiatic Region,12,9,285,79,23.75,33
17,Israel,Middle East,12,11,112,12,9.33,37
18,Italy,Western Europe,10,5,144,17,14.4,44
19,Denmark,Western Europe,9,7,250,43,27.78,47
20,Greece,Western Europe,9,8,139,55,15.44,30
21,Norway,Western Europe,7,7,207,17,29.57,44
22,Austria,Western Europe,6,4,14,3,2.33,29
23,Ireland,Western Europe,6,3,128,32,21.33,45
24,China,Asiatic Region,5,4,68,8,13.6,36
25,Finland,Western Europe,5,4,86,7,17.2,30
26,Brazil,Latin America,4,3,63,19,15.75,23
27,Mexico,Latin America,4,4,60,4,15.0,19
28,Slovenia,Eastern Europe,4,4,99,26,24.75,22
29,Estonia,Eastern Europe,3,1,3,0,1.0,13
30,Turkey,Middle East,3,1,44,16,14.67,22
31,Singapore,Asiatic Region,3,3,265,17,88.33,28
32,Bahrain,Middle East,2,2,8,0,4.0,9
33,Iraq,Middle East,2,2,6,0,3.0,5
34,Malta,Western Europe,2,1,26,7,13.0,14
35,Nepal,Asiatic Region,2,0,3,2,1.5,7
36,Argentina,Latin America,2,2,6,1,3.0,10
37,Pakistan,Asiatic Region,2,1,25,0,12.5,14
38,Poland,Eastern Europe,1,0,7,0,7.0,26
39,Cuba,Latin America,1,1,0,0,0.0,4
40,Afghanistan,Asiatic Region,1,1,5,0,5.0,2
41,Trinidad and Tobago,Latin America,1,1,64,2,64.0,7
42,Kuwait,Middle East,1,0,14,6,14.0,8
43,South Korea,Asiatic Region,1,1,108,4,108.0,31
44,Lithuania,Eastern Europe,1,1,5,1,5.0,11
45,Latvia,Eastern Europe,1,1,36,0,36.0,5
46,Uzbekistan,Asiatic Region,1,1,0,0,0.0,1
47,Malaysia,Asiatic Region,1,1,0,0,0.0,27
48,Nigeria,Africa,1,1,0,0,0.0,17
49,Grenada,Latin America,1,1,2,0,2.0,2
50,Cyprus,Western Europe,1,1,5,2,5.0,6
51,Oman,Middle East,1,1,30,3,30.0,10
