Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,103806,86799,3406172,1278859,32.81,473
2,Japan,Asiatic Region,52318,47821,896224,258000,17.13,255
3,China,Asiatic Region,46886,44020,543162,218987,11.58,187
4,Germany,Western Europe,26649,22809,780200,131318,29.28,293
5,United Kingdom,Western Europe,25946,21161,973706,149142,37.53,326
6,Italy,Western Europe,25499,20383,779816,139888,30.58,293
7,France,Western Europe,24983,21081,593993,85094,23.78,280
8,Spain,Western Europe,20868,16176,402200,56446,19.27,239
9,South Korea,Asiatic Region,13114,11659,252957,42694,19.29,149
10,Canada,Northern America,12817,11202,561655,60837,43.82,283
11,Netherlands,Western Europe,11360,9987,460870,49389,40.57,254
12,Australia,Pacific Region,9575,8047,365165,41051,38.14,232
13,India,Asiatic Region,8232,6478,128324,23332,15.59,131
14,Turkey,Middle East,7955,6209,103652,12672,13.03,101
15,Brazil,Latin America,7104,6459,98068,14854,13.8,105
16,Belgium,Western Europe,6613,5709,306879,25621,46.41,240
17,Sweden,Western Europe,6021,5500,267794,25327,44.48,213
18,Taiwan,Asiatic Region,5789,4888,131171,17789,22.66,131
19,Poland,Eastern Europe,5336,5004,89245,10919,16.73,126
20,Greece,Western Europe,5047,4208,123747,7744,24.52,133
21,Switzerland,Western Europe,5036,4473,200036,13886,39.72,198
22,Denmark,Western Europe,4411,3978,186153,19843,42.2,176
23,Israel,Middle East,3649,3232,135898,8238,37.24,155
24,Portugal,Western Europe,3356,2538,69820,4621,20.8,109
25,Austria,Western Europe,2968,2540,122364,6830,41.23,161
26,Iran,Middle East,2890,2611,41337,10283,14.3,81
27,Hong Kong,Asiatic Region,2881,2485,125911,9638,43.7,152
28,Mexico,Latin America,2795,2461,34410,3345,12.31,71
29,Ireland,Western Europe,2563,2124,114839,7148,44.81,149
30,Norway,Western Europe,2417,2156,101206,9050,41.87,141
31,Czech Republic,Eastern Europe,2397,2086,40977,3054,17.1,89
32,Romania,Eastern Europe,2159,1855,37201,2664,17.23,83
33,Finland,Western Europe,2061,1945,119348,8709,57.91,144
34,Singapore,Asiatic Region,2019,1687,62574,3340,30.99,108
35,Egypt,Africa/Middle East,1939,1786,29629,4065,15.28,67
36,Argentina,Latin America,1891,1642,37510,2206,19.84,91
37,Russian Federation,Eastern Europe,1880,1782,24209,1603,12.88,69
38,Hungary,Eastern Europe,1424,1253,59235,3319,41.6,110
39,Colombia,Latin America,1321,1196,10297,1130,7.79,44
40,Thailand,Asiatic Region,1292,1123,35071,2813,27.14,76
41,New Zealand,Pacific Region,1286,1122,48603,4533,37.79,106
42,Saudi Arabia,Middle East,1131,995,20959,1887,18.53,64
43,Malaysia,Asiatic Region,820,685,32069,2004,39.11,75
44,Chile,Latin America,778,691,18023,1579,23.17,67
45,Morocco,Africa,649,552,2856,246,4.4,23
46,South Africa,Africa,646,580,16811,729,26.02,65
47,Croatia,Eastern Europe,617,562,27471,1252,44.52,73
48,Tunisia,Africa,616,529,4143,439,6.73,29
49,Serbia,Eastern Europe,601,523,12973,383,21.59,48
