Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,5192,4179,82698,28575,15.93,473
2,China,Asiatic Region,2999,2743,28731,14948,9.58,187
3,Japan,Asiatic Region,1976,1664,20591,6664,10.42,255
4,Italy,Western Europe,1241,948,20173,4548,16.26,293
5,United Kingdom,Western Europe,1220,966,24805,4336,20.33,326
6,Germany,Western Europe,1160,892,17373,3078,14.98,293
7,Spain,Western Europe,1014,850,12521,1827,12.35,239
8,France,Western Europe,988,825,17034,1996,17.24,280
9,South Korea,Asiatic Region,774,693,11014,1874,14.23,149
10,Canada,Northern America,682,579,15514,1792,22.75,283
11,Netherlands,Western Europe,568,477,13302,1588,23.42,254
12,Australia,Pacific Region,467,379,9511,1075,20.37,232
13,India,Asiatic Region,409,325,4877,722,11.92,131
14,Belgium,Western Europe,351,280,9080,836,25.87,240
15,Brazil,Latin America,350,305,4306,515,12.3,105
16,Turkey,Middle East,319,249,2326,259,7.29,101
17,Sweden,Western Europe,314,277,8169,702,26.02,213
18,Portugal,Western Europe,294,228,4064,304,13.82,109
19,Switzerland,Western Europe,263,218,5948,486,22.62,198
20,Iran,Middle East,250,231,1757,488,7.03,81
21,Denmark,Western Europe,246,214,6693,751,27.21,176
22,Taiwan,Asiatic Region,246,175,3666,449,14.9,131
23,Israel,Middle East,193,177,5561,343,28.81,155
24,Poland,Eastern Europe,189,170,3260,302,17.25,126
25,Greece,Western Europe,185,152,3805,232,20.57,133
26,Egypt,Africa/Middle East,179,167,1716,183,9.59,67
27,Hong Kong,Asiatic Region,148,118,4097,323,27.68,152
28,Austria,Western Europe,143,123,3173,193,22.19,161
29,Norway,Western Europe,133,112,3515,262,26.43,141
30,Mexico,Latin America,129,115,815,96,6.32,71
31,Singapore,Asiatic Region,128,107,1843,143,14.4,108
32,Russian Federation,Eastern Europe,121,111,1684,175,13.92,69
33,Ireland,Western Europe,113,100,3902,196,34.53,149
34,Argentina,Latin America,112,99,2281,80,20.37,91
35,Thailand,Asiatic Region,105,97,1976,106,18.82,76
36,Romania,Eastern Europe,100,77,1784,97,17.84,83
37,Czech Republic,Eastern Europe,100,92,1335,80,13.35,89
38,Colombia,Latin America,90,82,602,39,6.69,44
39,Finland,Western Europe,88,84,1998,144,22.7,144
40,New Zealand,Pacific Region,87,75,2001,272,23.0,106
41,Saudi Arabia,Middle East,68,56,829,128,12.19,64
42,Hungary,Eastern Europe,65,58,1813,86,27.89,110
43,Chile,Latin America,50,47,1127,47,22.54,67
44,South Africa,Africa,39,37,722,29,18.51,65
45,Lithuania,Eastern Europe,38,28,782,54,20.58,50
46,Malaysia,Asiatic Region,38,27,1239,69,32.61,75
47,Lebanon,Middle East,37,32,433,13,11.7,47
48,Croatia,Eastern Europe,33,33,642,28,19.45,73
49,Georgia,Eastern Europe,32,28,996,4,31.13,43
50,Pakistan,Asiatic Region,30,28,308,24,10.27,47
51,Indonesia,Asiatic Region,30,27,670,19,22.33,41
52,Serbia,Eastern Europe,29,25,406,15,14.0,48
53,Slovenia,Eastern Europe,28,23,839,22,29.96,55
54,United Arab Emirates,Middle East,26,21,763,15,29.35,38
55,Tunisia,Africa,24,23,32,4,1.33,29
56,Malta,Western Europe,22,18,1153,23,52.41,29
57,Philippines,Asiatic Region,22,20,1219,10,55.41,47
58,Venezuela,Latin America,18,16,152,6,8.44,23
59,Bulgaria,Eastern Europe,18,14,152,11,8.44,33
60,Latvia,Eastern Europe,17,12,1549,27,91.12,39
61,Slovakia,Eastern Europe,17,16,124,17,7.29,44
62,Peru,Latin America,17,13,69,5,4.06,26
63,Ecuador,Latin America,16,14,380,5,23.75,16
64,Cyprus,Western Europe,14,14,522,15,37.29,30
65,Iraq,Middle East,13,11,42,8,3.23,15
66,Ukraine,Eastern Europe,12,11,413,5,34.42,32
67,Iceland,Western Europe,12,11,170,10,14.17,49
68,Jordan,Middle East,10,10,42,8,4.2,25
69,Qatar,Middle East,10,7,127,9,12.7,23
70,Sri Lanka,Asiatic Region,10,10,213,4,21.3,32
71,Viet Nam,Asiatic Region,10,9,207,12,20.7,26
72,Grenada,Latin America,9,4,32,0,3.56,14
73,Bangladesh,Asiatic Region,9,8,98,13,10.89,33
74,Uruguay,Latin America,8,4,25,1,3.13,23
75,Kenya,Africa,8,6,135,5,16.88,19
76,Kuwait,Middle East,8,8,116,1,14.5,30
77,Nepal,Asiatic Region,7,7,46,0,6.57,16
78,Estonia,Eastern Europe,7,7,351,14,50.14,35
79,Cuba,Latin America,7,7,124,0,17.71,22
80,Nigeria,Africa,7,6,100,12,14.29,27
81,Syrian Arab Republic,Middle East,7,7,79,5,11.29,16
82,Mongolia,Asiatic Region,6,6,61,7,10.17,14
83,Costa Rica,Latin America,6,6,10,0,1.67,14
84,Armenia,Eastern Europe,6,6,71,3,11.83,6
85,Tanzania,Africa,5,5,88,1,17.6,15
86,Ethiopia,Africa,5,5,48,13,9.6,17
87,Malawi,Africa,4,4,36,6,9.0,16
88,Kazakhstan,Asiatic Region,4,3,2,1,0.5,9
89,Belarus,Eastern Europe,4,3,47,1,11.75,13
90,Namibia,Africa,4,3,16,2,4.0,5
